DATE,DEDU,DEDU_peak,DUDE,DEDU_peak
2020-03-22 12:55:00,1.2442927339e+10,1.2442927339e+10,6.5331360737e+09,6.5331360737e+09
2020-03-22 13:00:00,1.6342794333e+10,1.6342794333e+10,4.9116198148e+09,4.9116198148e+09
2020-03-22 13:05:00,1.8628130191e+10,1.8628130191e+10,4.9907738463e+09,4.9907738463e+09
2020-03-22 13:10:00,2.2238279600e+10,2.2238279600e+10,5.6054486132e+09,5.6054486132e+09
2020-03-22 13:15:00,2.1336913567e+10,2.1336913567e+10,6.3485794576e+09,6.3485794576e+09
2020-03-22 13:20:00,1.7167967926e+10,1.7167967926e+10,5.6675525227e+09,5.6675525227e+09
2020-03-22 13:25:00,1.6412765920e+10,1.6412765920e+10,4.6800101289e+09,4.6800101289e+09
2020-03-22 13:30:00,1.2672032457e+10,1.2672032457e+10,4.4615648197e+09,4.4615648197e+09
2020-03-22 13:35:00,1.7979956536e+10,1.7979956536e+10,4.1770198556e+09,4.1770198556e+09
2020-03-22 13:40:00,2.2556699593e+10,2.2556699593e+10,6.8813773522e+09,6.8813773522e+09
2020-03-22 13:45:00,1.9373957790e+10,1.9373957790e+10,5.4788298757e+09,5.4788298757e+09
2020-03-22 13:50:00,2.6282729560e+10,2.6282729560e+10,5.1598411244e+09,5.1598411244e+09
2020-03-22 13:55:00,2.6097752014e+10,2.6097752014e+10,4.5845100926e+09,4.5845100926e+09
2020-03-22 14:00:00,2.6397273689e+10,2.6397273689e+10,4.8508299977e+09,4.8508299977e+09
2020-03-22 14:05:00,2.5684460068e+10,2.5684460068e+10,6.1021710921e+09,6.1021710921e+09
2020-03-22 14:10:00,2.2415153190e+10,2.2415153190e+10,6.5751988078e+09,6.5751988078e+09
2020-03-22 14:15:00,1.3963868677e+10,1.3963868677e+10,6.7863750543e+09,6.7863750543e+09
2020-03-22 14:20:00,9.3206047222e+09,9.3206047222e+09,7.9995907979e+09,7.9995907979e+09
2020-03-22 14:25:00,1.0944272605e+10,1.0944272605e+10,4.9379434807e+09,4.9379434807e+09
2020-03-22 14:30:00,1.0959872186e+10,1.0959872186e+10,4.1926963368e+09,4.1926963368e+09
2020-03-22 14:35:00,1.1421877336e+10,1.1421877336e+10,3.7724503699e+09,3.7724503699e+09
2020-03-22 14:40:00,1.6784123540e+10,1.6784123540e+10,4.7473002577e+09,4.7473002577e+09
2020-03-22 14:45:00,9.5914225092e+09,9.5914225092e+09,5.5233115771e+09,5.5233115771e+09
2020-03-22 14:50:00,1.1454430205e+10,1.1454430205e+10,5.3202350271e+09,5.3202350271e+09
2020-03-22 14:55:00,1.0961845579e+10,1.0961845579e+10,4.9571420350e+09,4.9571420350e+09
2020-03-22 15:00:00,1.0549529951e+10,1.0549529951e+10,4.7164397457e+09,4.7164397457e+09
2020-03-22 15:05:00,2.0214849229e+10,2.0214849229e+10,4.4645513098e+09,4.4645513098e+09
2020-03-22 15:10:00,1.9888862953e+10,1.9888862953e+10,4.5269850433e+09,4.5269850433e+09
2020-03-22 15:15:00,1.9573004939e+10,1.9573004939e+10,4.9037468360e+09,4.9037468360e+09
2020-03-22 15:20:00,2.1802624103e+10,2.1802624103e+10,5.5168461492e+09,5.5168461492e+09
2020-03-22 15:25:00,2.0455127953e+10,2.0455127953e+10,4.9138694500e+09,4.9138694500e+09
2020-03-22 15:30:00,1.0651494667e+10,1.0651494667e+10,2.9433046236e+09,2.9433046236e+09
2020-03-22 15:35:00,1.0523837519e+10,1.0523837519e+10,3.2966457105e+09,3.2966457105e+09
2020-03-22 15:40:00,1.0112935630e+10,1.0112935630e+10,3.9834019219e+09,3.9834019219e+09
2020-03-22 15:45:00,1.6431660886e+10,1.6431660886e+10,4.0411388690e+09,4.0411388690e+09
2020-03-22 15:50:00,1.3939870287e+10,1.3939870287e+10,4.9671132311e+09,4.9671132311e+09
2020-03-22 15:55:00,1.2741695725e+10,1.2741695725e+10,4.8542107309e+09,4.8542107309e+09
2020-03-22 16:00:00,2.0637220099e+10,2.0637220099e+10,5.5764569645e+09,5.5764569645e+09
2020-03-22 16:05:00,2.2377489073e+10,2.2377489073e+10,3.8434038717e+09,3.8434038717e+09
2020-03-22 16:10:00,1.8364051667e+10,1.8364051667e+10,3.6737806629e+09,3.6737806629e+09
2020-03-22 16:15:00,1.1411770726e+10,1.1411770726e+10,4.5419273264e+09,4.5419273264e+09
2020-03-22 16:20:00,1.0559813701e+10,1.0559813701e+10,4.3552573781e+09,4.3552573781e+09
2020-03-22 16:25:00,1.2818225023e+10,1.2818225023e+10,6.1156051485e+09,6.1156051485e+09
2020-03-22 16:30:00,9.9859140472e+09,9.9859140472e+09,5.9919982131e+09,5.9919982131e+09
2020-03-22 16:35:00,9.4171692135e+09,9.4171692135e+09,7.1728345679e+09,7.1728345679e+09
2020-03-22 16:40:00,1.0223519498e+10,1.0223519498e+10,4.3577201274e+09,4.3577201274e+09
2020-03-22 16:45:00,8.6495556477e+09,8.6495556477e+09,4.7527716988e+09,4.7527716988e+09
2020-03-22 16:50:00,9.7311574109e+09,9.7311574109e+09,3.9470439870e+09,3.9470439870e+09
2020-03-22 16:55:00,9.9781432591e+09,9.9781432591e+09,3.8071003436e+09,3.8071003436e+09
2020-03-22 17:00:00,1.0524205761e+10,1.0524205761e+10,4.9556410684e+09,4.9556410684e+09
2020-03-22 17:05:00,1.1026558834e+10,1.1026558834e+10,5.0771579339e+09,5.0771579339e+09
2020-03-22 17:10:00,1.3404049489e+10,1.3404049489e+10,3.6124883955e+09,3.6124883955e+09
2020-03-22 17:15:00,1.0740815727e+10,1.0740815727e+10,4.7414524273e+09,4.7414524273e+09
2020-03-22 17:20:00,1.0518479193e+10,1.0518479193e+10,5.0843917225e+09,5.0843917225e+09
