DATE,ITAT,ITAT_peak,ATIT,ATIT_peak
2020-03-24 14:15:00,5.4345313773e+09,5.4345313773e+09,1.7014492113e+10,1.7014492113e+10
2020-03-24 14:20:00,5.5348304921e+09,5.5348304921e+09,1.8311573396e+10,1.8311573396e+10
2020-03-24 14:25:00,4.9734645993e+09,4.9734645993e+09,1.8069444791e+10,1.8069444791e+10
2020-03-24 14:30:00,5.8032472689e+09,5.8032472689e+09,1.8616898444e+10,1.8616898444e+10
2020-03-24 14:35:00,6.1042451777e+09,6.1042451777e+09,2.3798202794e+10,2.3798202794e+10
2020-03-24 14:40:00,1.0004719318e+10,1.0004719318e+10,1.9944081506e+10,1.9944081506e+10
2020-03-24 14:45:00,1.2802114601e+10,1.2802114601e+10,1.7516419442e+10,1.7516419442e+10
2020-03-24 14:50:00,6.1534048414e+09,6.1534048414e+09,1.6087561746e+10,1.6087561746e+10
2020-03-24 14:55:00,5.6977914924e+09,5.6977914924e+09,1.4770611915e+10,1.4770611915e+10
2020-03-24 15:00:00,5.6288651323e+09,5.6288651323e+09,1.4575151460e+10,1.4575151460e+10
2020-03-24 15:05:00,5.6125852331e+09,5.6125852331e+09,1.7593870231e+10,1.7593870231e+10
2020-03-24 15:10:00,5.4027701329e+09,5.4027701329e+09,1.9928929696e+10,1.9928929696e+10
2020-03-24 15:15:00,5.6175838885e+09,5.6175838885e+09,1.9639103881e+10,1.9639103881e+10
2020-03-24 15:20:00,5.2138079606e+09,5.2138079606e+09,2.3482472614e+10,2.3482472614e+10
2020-03-24 15:25:00,5.8564975351e+09,5.8564975351e+09,2.2016166714e+10,2.2016166714e+10
2020-03-24 15:30:00,4.9032446580e+09,4.9032446580e+09,2.1819532012e+10,2.1819532012e+10
2020-03-24 15:35:00,5.6403580825e+09,5.6403580825e+09,2.0318265986e+10,2.0318265986e+10
2020-03-24 15:40:00,8.1819561953e+09,8.1819561953e+09,2.1038038749e+10,2.1038038749e+10
2020-03-24 15:45:00,6.4559244525e+09,6.4559244525e+09,2.0028562502e+10,2.0028562502e+10
2020-03-24 15:50:00,5.8179656508e+09,5.8179656508e+09,2.2198836905e+10,2.2198836905e+10
2020-03-24 15:55:00,5.1167457435e+09,5.1167457435e+09,2.0434488154e+10,2.0434488154e+10
2020-03-24 16:00:00,5.2939985277e+09,5.2939985277e+09,1.7980410750e+10,1.7980410750e+10
2020-03-24 16:05:00,5.5777500773e+09,5.5777500773e+09,1.9394768685e+10,1.9394768685e+10
2020-03-24 16:10:00,5.1154628214e+09,5.1154628214e+09,1.9444349011e+10,1.9444349011e+10
2020-03-24 16:15:00,5.3921047028e+09,5.3921047028e+09,1.8892433863e+10,1.8892433863e+10
2020-03-24 16:20:00,4.9562822212e+09,4.9562822212e+09,1.9874160623e+10,1.9874160623e+10
2020-03-24 16:25:00,5.4014281527e+09,5.4014281527e+09,1.7364674896e+10,1.7364674896e+10
2020-03-24 16:30:00,5.8120128064e+09,5.8120128064e+09,1.8242037053e+10,1.8242037053e+10
2020-03-24 16:35:00,6.2182985521e+09,6.2182985521e+09,1.9469066785e+10,1.9469066785e+10
2020-03-24 16:40:00,5.3990821417e+09,5.3990821417e+09,2.3120329826e+10,2.3120329826e+10
2020-03-24 16:45:00,5.0040733446e+09,5.0040733446e+09,2.2767268346e+10,2.2767268346e+10
2020-03-24 16:50:00,6.4784328171e+09,6.4784328171e+09,2.3328197833e+10,2.3328197833e+10
2020-03-24 16:55:00,7.5008963635e+09,7.5008963635e+09,3.1985174332e+10,3.1985174332e+10
2020-03-24 17:00:00,7.0782318865e+09,7.0782318865e+09,2.2613491399e+10,2.2613491399e+10
2020-03-24 17:05:00,7.1698208417e+09,7.1698208417e+09,2.8829629188e+10,2.8829629188e+10
2020-03-24 17:10:00,4.4972528679e+09,4.4972528679e+09,3.1268201188e+10,3.1268201188e+10
2020-03-24 17:15:00,4.8144596462e+09,4.8144596462e+09,2.6032255304e+10,2.6032255304e+10
2020-03-24 17:20:00,5.3225864893e+09,5.3225864893e+09,2.1128399593e+10,2.1128399593e+10
2020-03-24 17:25:00,5.3903421255e+09,5.3903421255e+09,2.1736851344e+10,2.1736851344e+10
2020-03-24 17:30:00,6.1093623445e+09,6.1093623445e+09,2.0528078452e+10,2.0528078452e+10
2020-03-24 17:35:00,6.3051050602e+09,6.3051050602e+09,2.2485147034e+10,2.2485147034e+10
2020-03-24 17:40:00,6.2085966867e+09,6.2085966867e+09,2.2595237208e+10,2.2595237208e+10
2020-03-24 17:45:00,5.8860577083e+09,5.8860577083e+09,2.4709336321e+10,2.4709336321e+10
2020-03-24 17:50:00,6.2382633132e+09,6.2382633132e+09,2.2822781085e+10,2.2822781085e+10
2020-03-24 17:55:00,4.6678254591e+09,4.6678254591e+09,2.0565034419e+10,2.0565034419e+10
2020-03-24 18:00:00,5.2025314052e+09,5.2025314052e+09,2.0935227449e+10,2.0935227449e+10
2020-03-24 18:05:00,4.1435896444e+09,4.1435896444e+09,2.2265820231e+10,2.2265820231e+10
2020-03-24 18:10:00,5.7836362370e+09,5.7836362370e+09,2.1771980519e+10,2.1771980519e+10
