DATE,ROBG,ROBG_peak,BGRO,BGRO_peak
2020-03-22 07:55:00,2.0495722672e+09,2.0495722672e+09,2.9583322935e+09,2.9583322935e+09
2020-03-22 08:00:00,1.7436982239e+09,1.7436982239e+09,2.9991295916e+09,2.9991295916e+09
2020-03-22 08:05:00,1.9615311875e+09,1.9615311875e+09,2.1758001676e+09,2.1758001676e+09
2020-03-22 08:10:00,1.8326870557e+09,1.8326870557e+09,5.6544156777e+09,5.6544156777e+09
2020-03-22 08:15:00,1.9361225350e+09,1.9361225350e+09,3.2722066306e+09,3.2722066306e+09
2020-03-22 08:20:00,1.7084237614e+09,1.7084237614e+09,2.4044182986e+09,2.4044182986e+09
2020-03-22 08:25:00,1.7584758436e+09,1.7584758436e+09,1.7123754821e+09,1.7123754821e+09
2020-03-22 08:30:00,3.5344113555e+09,3.5344113555e+09,2.7452811303e+09,2.7452811303e+09
2020-03-22 08:35:00,7.6929730892e+09,7.6929730892e+09,2.0188436754e+09,2.0188436754e+09
2020-03-22 08:40:00,3.4431497273e+09,3.4431497273e+09,2.1355106210e+09,2.1355106210e+09
2020-03-22 08:45:00,7.2588948580e+09,7.2588948580e+09,1.8971396913e+09,1.8971396913e+09
2020-03-22 08:50:00,2.8690225654e+09,2.8690225654e+09,6.0413958456e+09,6.0413958456e+09
2020-03-22 08:55:00,3.0875659067e+09,3.0875659067e+09,5.6138811964e+09,5.6138811964e+09
2020-03-22 09:00:00,3.9315457874e+09,3.9315457874e+09,3.3612328573e+09,3.3612328573e+09
2020-03-22 09:05:00,5.7059592153e+09,5.7059592153e+09,2.1361725847e+09,2.1361725847e+09
2020-03-22 09:10:00,2.9626923174e+09,2.9626923174e+09,1.4911628382e+09,1.4911628382e+09
2020-03-22 09:15:00,3.8861741251e+09,3.8861741251e+09,1.7981884455e+09,1.7981884455e+09
2020-03-22 09:20:00,2.4680660401e+09,2.4680660401e+09,2.0651425181e+09,2.0651425181e+09
2020-03-22 09:25:00,1.7734008189e+09,1.7734008189e+09,1.4333952460e+09,1.4333952460e+09
2020-03-22 09:30:00,4.2380042215e+09,4.2380042215e+09,1.6231467705e+09,1.6231467705e+09
2020-03-22 09:35:00,3.3912653652e+09,3.3912653652e+09,2.6714584910e+09,2.6714584910e+09
2020-03-22 09:40:00,2.8095635915e+09,2.8095635915e+09,2.6511077295e+09,2.6511077295e+09
2020-03-22 09:45:00,1.5307725523e+09,1.5307725523e+09,2.3449294637e+09,2.3449294637e+09
2020-03-22 09:50:00,1.7149904968e+09,1.7149904968e+09,2.1640200401e+09,2.1640200401e+09
2020-03-22 09:55:00,1.4606164529e+09,1.4606164529e+09,2.1318953221e+09,2.1318953221e+09
2020-03-22 10:00:00,1.2498134053e+09,1.2498134053e+09,2.1799075001e+09,2.1799075001e+09
