DATE,SKHU,SKHU_peak,HUSK,HUSK_peak
2020-03-23 05:40:00,4.2035135363e+06,4.2035135363e+06,2.9071202747e+08,2.9071202747e+08
2020-03-23 05:45:00,3.4104118875e+06,3.4104118875e+06,3.6614204210e+08,3.6614204210e+08
2020-03-23 05:50:00,4.7010971900e+06,4.7010971900e+06,3.4826690955e+08,3.4826690955e+08
2020-03-23 05:55:00,5.4677473584e+06,5.4677473584e+06,2.6003036654e+08,2.6003036654e+08
2020-03-23 06:00:00,5.1616047360e+06,5.1616047360e+06,2.2422752734e+08,2.2422752734e+08
2020-03-23 06:05:00,7.2522464303e+06,7.2522464303e+06,2.1474010762e+08,2.1474010762e+08
2020-03-23 06:10:00,5.7151719800e+06,5.7151719800e+06,1.8961013359e+08,1.8961013359e+08
2020-03-23 06:15:00,7.2808946114e+06,7.2808946114e+06,1.9843711838e+08,1.9843711838e+08
2020-03-23 06:20:00,8.9038263733e+06,8.9038263733e+06,2.0257155406e+08,2.0257155406e+08
2020-03-23 06:25:00,8.4991400396e+06,8.4991400396e+06,1.4354918650e+08,1.4354918650e+08
2020-03-23 06:30:00,8.2145386640e+06,8.2145386640e+06,1.2435499896e+08,1.2435499896e+08
2020-03-23 06:35:00,1.0105285682e+07,1.0105285682e+07,1.2446761707e+08,1.2446761707e+08
2020-03-23 06:40:00,6.0830095083e+06,6.0830095083e+06,1.1774828800e+08,1.1774828800e+08
2020-03-23 06:45:00,8.4934750901e+06,8.4934750901e+06,9.7593054413e+07,9.7593054413e+07
2020-03-23 06:50:00,1.1627348737e+07,1.1627348737e+07,5.9847805198e+07,5.9847805198e+07
2020-03-23 06:55:00,1.1740032489e+07,1.1740032489e+07,6.3846655374e+07,6.3846655374e+07
2020-03-23 07:00:00,1.2608781861e+07,1.2608781861e+07,6.9037859769e+07,6.9037859769e+07
2020-03-23 07:05:00,1.1847091718e+07,1.1847091718e+07,7.5430039611e+07,7.5430039611e+07
2020-03-23 07:10:00,1.5014014233e+07,1.5014014233e+07,2.6030694869e+08,2.6030694869e+08
2020-03-23 07:15:00,1.3322447430e+07,1.3322447430e+07,6.3002818719e+07,6.3002818719e+07
2020-03-23 07:20:00,1.1112907523e+07,1.1112907523e+07,6.5344096769e+07,6.5344096769e+07
2020-03-23 07:25:00,1.1817216336e+07,1.1817216336e+07,4.4648307537e+07,4.4648307537e+07
2020-03-23 07:30:00,3.9865986469e+07,3.9865986469e+07,6.3828215895e+07,6.3828215895e+07
2020-03-23 07:35:00,2.0215753032e+07,2.0215753032e+07,7.6699704386e+07,7.6699704386e+07
2020-03-23 07:40:00,2.0689777546e+07,2.0689777546e+07,8.3174193118e+07,8.3174193118e+07
2020-03-23 07:45:00,5.8587104770e+07,5.8587104770e+07,8.9494111492e+07,8.9494111492e+07
2020-03-23 07:50:00,3.6052021540e+07,3.6052021540e+07,9.5648099719e+07,9.5648099719e+07
2020-03-23 07:55:00,3.0258164666e+07,3.0258164666e+07,9.7405769341e+07,9.7405769341e+07
2020-03-23 08:00:00,2.6296283973e+07,2.6296283973e+07,1.1032744981e+08,1.1032744981e+08
2020-03-23 08:05:00,3.3917441973e+07,3.3917441973e+07,1.1902127195e+08,1.1902127195e+08
2020-03-23 08:10:00,3.7852811131e+07,3.7852811131e+07,1.2857048345e+08,1.2857048345e+08
2020-03-23 08:15:00,3.4503306690e+07,3.4503306690e+07,1.2969640454e+08,1.2969640454e+08
2020-03-23 08:20:00,3.4117030189e+07,3.4117030189e+07,1.2281580195e+08,1.2281580195e+08
2020-03-23 08:25:00,3.5874187180e+07,3.5874187180e+07,1.0608141155e+08,1.0608141155e+08
2020-03-23 08:30:00,3.5988517013e+07,3.5988517013e+07,1.1434580663e+08,1.1434580663e+08
2020-03-23 08:35:00,3.8120413999e+07,3.8120413999e+07,1.0873972174e+08,1.0873972174e+08
2020-03-23 08:40:00,4.0129977562e+07,4.0129977562e+07,7.6024748837e+07,7.6024748837e+07
2020-03-23 08:45:00,4.0104588165e+07,4.0104588165e+07,8.7739668468e+07,8.7739668468e+07
2020-03-23 08:50:00,2.9420516207e+07,2.9420516207e+07,8.8688750474e+07,8.8688750474e+07
2020-03-23 08:55:00,1.5200487447e+07,1.5200487447e+07,9.2052143852e+07,9.2052143852e+07
2020-03-23 09:00:00,1.6135821385e+07,1.6135821385e+07,6.0265081671e+07,6.0265081671e+07
2020-03-23 09:05:00,1.2708638624e+07,1.2708638624e+07,4.7681376231e+07,4.7681376231e+07
2020-03-23 09:10:00,4.6056833611e+07,4.6056833611e+07,4.3587008339e+07,4.3587008339e+07
2020-03-23 09:15:00,3.5288063819e+07,3.5288063819e+07,4.4167742460e+07,4.4167742460e+07
2020-03-23 09:20:00,3.8598568189e+07,3.8598568189e+07,4.1908525689e+07,4.1908525689e+07
2020-03-23 09:25:00,5.3889590712e+07,5.3889590712e+07,4.6766114221e+07,4.6766114221e+07
2020-03-23 09:30:00,3.1240301824e+07,3.1240301824e+07,1.2360774615e+08,1.2360774615e+08
2020-03-23 09:35:00,3.7402921794e+07,3.7402921794e+07,1.3124281831e+08,1.3124281831e+08
2020-03-23 09:40:00,2.1816221348e+07,2.1816221348e+07,7.6741958825e+07,7.6741958825e+07
2020-03-23 09:45:00,1.8699789853e+07,1.8699789853e+07,8.6589146867e+07,8.6589146867e+07
2020-03-23 09:50:00,2.3168212629e+07,2.3168212629e+07,1.0996273657e+08,1.0996273657e+08
2020-03-23 09:55:00,3.6978401810e+07,3.6978401810e+07,1.1666573552e+08,1.1666573552e+08
2020-03-23 10:00:00,2.3295718307e+07,2.3295718307e+07,9.1451631845e+07,9.1451631845e+07
2020-03-23 10:05:00,3.5279131533e+07,3.5279131533e+07,7.6684965798e+07,7.6684965798e+07
2020-03-23 10:10:00,3.3780064713e+07,3.3780064713e+07,5.3503864291e+07,5.3503864291e+07
2020-03-23 10:15:00,3.1254935904e+07,3.1254935904e+07,4.3790559791e+07,4.3790559791e+07
2020-03-23 10:20:00,2.9415152694e+07,2.9415152694e+07,3.9945784749e+07,3.9945784749e+07
2020-03-23 10:25:00,1.7425406493e+07,1.7425406493e+07,3.7809868504e+07,3.7809868504e+07
2020-03-23 10:30:00,1.4814960097e+07,1.4814960097e+07,4.8413448961e+07,4.8413448961e+07
2020-03-23 10:35:00,1.9032367691e+07,1.9032367691e+07,5.5763187329e+07,5.5763187329e+07
2020-03-23 10:40:00,2.4751749753e+07,2.4751749753e+07,4.5415714812e+07,4.5415714812e+07
2020-03-23 10:45:00,1.6016248573e+07,1.6016248573e+07,4.0590088786e+07,4.0590088786e+07
2020-03-23 10:50:00,2.2023546790e+07,2.2023546790e+07,4.2792340321e+07,4.2792340321e+07
2020-03-23 10:55:00,2.7265627255e+07,2.7265627255e+07,5.2291600162e+07,5.2291600162e+07
2020-03-23 11:00:00,3.2063420887e+07,3.2063420887e+07,4.7368652994e+07,4.7368652994e+07
2020-03-23 11:05:00,3.5861878015e+07,3.5861878015e+07,4.2471627893e+07,4.2471627893e+07
2020-03-23 11:10:00,3.4339279417e+07,3.4339279417e+07,3.7859070161e+07,3.7859070161e+07
2020-03-23 11:15:00,1.8367758704e+07,1.8367758704e+07,3.1044877757e+07,3.1044877757e+07
2020-03-23 11:20:00,1.5332731000e+07,1.5332731000e+07,2.9855668538e+07,2.9855668538e+07
2020-03-23 11:25:00,2.2998952319e+07,2.2998952319e+07,7.0870072248e+07,7.0870072248e+07
2020-03-23 11:30:00,1.5259841552e+07,1.5259841552e+07,1.0052265511e+08,1.0052265511e+08
2020-03-23 11:35:00,1.3321946855e+07,1.3321946855e+07,9.2112516926e+07,9.2112516926e+07
2020-03-23 11:40:00,2.5535789824e+07,2.5535789824e+07,9.4796174134e+07,9.4796174134e+07
2020-03-23 11:45:00,3.7878192935e+07,3.7878192935e+07,1.0561686932e+08,1.0561686932e+08
2020-03-23 11:50:00,1.5908137010e+07,1.5908137010e+07,8.7812810166e+07,8.7812810166e+07
2020-03-23 11:55:00,1.5512616154e+07,1.5512616154e+07,1.0538138578e+08,1.0538138578e+08
2020-03-23 12:00:00,2.3992832147e+07,2.3992832147e+07,1.1824584372e+08,1.1824584372e+08
2020-03-23 12:05:00,1.7571241754e+07,1.7571241754e+07,1.2543300160e+08,1.2543300160e+08
2020-03-23 12:10:00,1.7373538813e+07,1.7373538813e+07,1.7672139550e+08,1.7672139550e+08
2020-03-23 12:15:00,2.1642111341e+07,2.1642111341e+07,2.0251383713e+08,2.0251383713e+08
2020-03-23 12:20:00,2.4766070271e+07,2.4766070271e+07,1.9903710064e+08,1.9903710064e+08
2020-03-23 12:25:00,1.8147338175e+07,1.8147338175e+07,2.7192419049e+08,2.7192419049e+08
2020-03-23 12:30:00,1.2118063874e+07,1.2118063874e+07,3.2126488071e+08,3.2126488071e+08
2020-03-23 12:35:00,2.1394193917e+07,2.1394193917e+07,3.4185717854e+08,3.4185717854e+08
2020-03-23 12:40:00,1.8002142608e+07,1.8002142608e+07,2.8982559675e+08,2.8982559675e+08
2020-03-23 12:45:00,2.1503531338e+07,2.1503531338e+07,4.1183168043e+08,4.1183168043e+08
2020-03-23 12:50:00,2.5825761043e+07,2.5825761043e+07,3.6895966241e+08,3.6895966241e+08
2020-03-23 12:55:00,4.0323122031e+07,4.0323122031e+07,3.7726150654e+08,3.7726150654e+08
2020-03-23 13:00:00,2.1973344231e+07,2.1973344231e+07,3.9030628530e+08,3.9030628530e+08
2020-03-23 13:05:00,3.5509533365e+07,3.5509533365e+07,3.9835367898e+08,3.9835367898e+08
2020-03-23 13:10:00,1.6723606918e+07,1.6723606918e+07,3.9075369561e+08,3.9075369561e+08
2020-03-23 13:15:00,1.5674102470e+07,1.5674102470e+07,3.8389508013e+08,3.8389508013e+08
2020-03-23 13:20:00,3.0800355297e+07,3.0800355297e+07,4.1680320926e+08,4.1680320926e+08
2020-03-23 13:25:00,9.4572586307e+06,9.4572586307e+06,4.2051683173e+08,4.2051683173e+08
2020-03-23 13:30:00,2.7973874077e+07,2.7973874077e+07,4.8191032563e+08,4.8191032563e+08
2020-03-23 13:35:00,1.0386930506e+07,1.0386930506e+07,4.6810105569e+08,4.6810105569e+08
2020-03-23 13:40:00,1.5121916284e+07,1.5121916284e+07,4.7779386142e+08,4.7779386142e+08
2020-03-23 13:45:00,1.0202474629e+07,1.0202474629e+07,4.5319158601e+08,4.5319158601e+08
2020-03-23 13:50:00,1.1515906415e+07,1.1515906415e+07,4.8954812295e+08,4.8954812295e+08
2020-03-23 13:55:00,2.2193454629e+07,2.2193454629e+07,4.6265137958e+08,4.6265137958e+08
