DATE,IRUI,IRUI_peak,UIIR,IRUI_peak
2020-03-22 07:55:00,7.7864322907e+06,7.7864322907e+06,4.2571704841e+07,4.2571704841e+07
2020-03-22 08:00:00,5.8510274924e+06,5.8510274924e+06,4.8922519323e+07,4.8922519323e+07
2020-03-22 08:05:00,8.2115973803e+06,8.2115973803e+06,5.4721532086e+07,5.4721532086e+07
2020-03-22 08:10:00,7.9779198618e+06,7.9779198618e+06,5.4950064951e+07,5.4950064951e+07
2020-03-22 08:15:00,9.1749238964e+06,9.1749238964e+06,5.1546454464e+07,5.1546454464e+07
2020-03-22 08:20:00,7.7649353372e+06,7.7649353372e+06,5.9859862430e+07,5.9859862430e+07
2020-03-22 08:25:00,9.5578801562e+06,9.5578801562e+06,5.4288504527e+07,5.4288504527e+07
2020-03-22 08:30:00,9.7276396889e+06,9.7276396889e+06,6.4130428709e+07,6.4130428709e+07
2020-03-22 08:35:00,8.5211827015e+07,8.5211827015e+07,4.6998139700e+07,4.6998139700e+07
2020-03-22 08:40:00,1.6113262131e+07,1.6113262131e+07,5.8859751736e+07,5.8859751736e+07
2020-03-22 08:45:00,1.1121140942e+07,1.1121140942e+07,5.1375820094e+07,5.1375820094e+07
2020-03-22 08:50:00,1.1034590887e+07,1.1034590887e+07,6.1746859815e+07,6.1746859815e+07
2020-03-22 08:55:00,1.0720323575e+07,1.0720323575e+07,5.9788958794e+07,5.9788958794e+07
2020-03-22 09:00:00,1.0212044689e+07,1.0212044689e+07,5.8533604605e+07,5.8533604605e+07
2020-03-22 09:05:00,1.1380208352e+07,1.1380208352e+07,7.6384758111e+07,7.6384758111e+07
2020-03-22 09:10:00,1.0348879818e+07,1.0348879818e+07,5.5019753141e+07,5.5019753141e+07
2020-03-22 09:15:00,9.3511833726e+06,9.3511833726e+06,5.9506768148e+07,5.9506768148e+07
2020-03-22 09:20:00,9.5909425398e+06,9.5909425398e+06,5.5132272508e+07,5.5132272508e+07
2020-03-22 09:25:00,1.0058935110e+07,1.0058935110e+07,5.6809064530e+07,5.6809064530e+07
2020-03-22 09:30:00,9.6873873675e+06,9.6873873675e+06,5.9858906142e+07,5.9858906142e+07
2020-03-22 09:35:00,3.9602675460e+07,3.9602675460e+07,5.8010948086e+07,5.8010948086e+07
2020-03-22 09:40:00,1.2289381735e+07,1.2289381735e+07,5.9265450502e+07,5.9265450502e+07
2020-03-22 09:45:00,1.2358349115e+07,1.2358349115e+07,6.4635186913e+07,6.4635186913e+07
2020-03-22 09:50:00,1.4142620802e+07,1.4142620802e+07,5.5245401300e+07,5.5245401300e+07
2020-03-22 09:55:00,1.1125311909e+07,1.1125311909e+07,6.4518080355e+07,6.4518080355e+07
2020-03-22 10:00:00,1.2353730624e+07,1.2353730624e+07,6.3847002792e+07,6.3847002792e+07
2020-03-22 10:05:00,1.4354867569e+07,1.4354867569e+07,6.3142103014e+07,6.3142103014e+07
2020-03-22 10:10:00,1.1929198920e+07,1.1929198920e+07,6.6703333771e+07,6.6703333771e+07
2020-03-22 10:15:00,1.3262570333e+07,1.3262570333e+07,8.1342317338e+07,8.1342317338e+07
2020-03-22 10:20:00,9.0116152820e+06,9.0116152820e+06,1.0282941478e+08,1.0282941478e+08
2020-03-22 10:25:00,1.1987697058e+07,1.1987697058e+07,8.2043386657e+07,8.2043386657e+07
2020-03-22 10:30:00,1.3608160416e+07,1.3608160416e+07,6.9402227640e+07,6.9402227640e+07
2020-03-22 10:35:00,1.4316076939e+07,1.4316076939e+07,6.5282784009e+07,6.5282784009e+07
2020-03-22 10:40:00,1.5762211155e+07,1.5762211155e+07,7.6152036245e+07,7.6152036245e+07
2020-03-22 10:45:00,4.3838068060e+07,4.3838068060e+07,6.7055288059e+07,6.7055288059e+07
2020-03-22 10:50:00,1.5096573729e+07,1.5096573729e+07,6.2373705475e+07,6.2373705475e+07
2020-03-22 10:55:00,1.3439931545e+07,1.3439931545e+07,7.2097622176e+07,7.2097622176e+07
2020-03-22 11:00:00,2.3489628532e+07,2.3489628532e+07,7.1644647120e+07,7.1644647120e+07
2020-03-22 11:05:00,1.9162606513e+07,1.9162606513e+07,1.0923272085e+08,1.0923272085e+08
2020-03-22 11:10:00,1.6649141953e+07,1.6649141953e+07,6.9653600811e+07,6.9653600811e+07
2020-03-22 11:15:00,4.7491588597e+07,4.7491588597e+07,6.4632409276e+07,6.4632409276e+07
2020-03-22 11:20:00,1.7714082646e+07,1.7714082646e+07,7.1987873776e+07,7.1987873776e+07
2020-03-22 11:25:00,1.5313007224e+07,1.5313007224e+07,6.7693455349e+07,6.7693455349e+07
2020-03-22 11:30:00,1.1825987867e+07,1.1825987867e+07,7.3768740160e+07,7.3768740160e+07
2020-03-22 11:35:00,1.1043499268e+07,1.1043499268e+07,6.4331065540e+07,6.4331065540e+07
2020-03-22 11:40:00,9.2829343257e+06,9.2829343257e+06,6.7628658801e+07,6.7628658801e+07
2020-03-22 11:45:00,8.8908744134e+06,8.8908744134e+06,6.8864437331e+07,6.8864437331e+07
2020-03-22 11:50:00,9.5911267882e+06,9.5911267882e+06,7.6381349464e+07,7.6381349464e+07
2020-03-22 11:55:00,1.0484907271e+07,1.0484907271e+07,7.9929177612e+07,7.9929177612e+07
2020-03-22 12:00:00,1.0797726273e+07,1.0797726273e+07,6.9613741767e+07,6.9613741767e+07
2020-03-22 12:05:00,9.9820830847e+06,9.9820830847e+06,8.4541857667e+07,8.4541857667e+07
2020-03-22 12:10:00,1.0912633280e+07,1.0912633280e+07,7.9059092387e+07,7.9059092387e+07
2020-03-22 12:15:00,9.4469042711e+06,9.4469042711e+06,8.1017657558e+07,8.1017657558e+07
2020-03-22 12:20:00,7.6367740954e+06,7.6367740954e+06,7.8090101342e+07,7.8090101342e+07
2020-03-22 12:25:00,3.9110326432e+07,3.9110326432e+07,8.3355325240e+07,8.3355325240e+07
2020-03-22 12:30:00,1.7747252967e+07,1.7747252967e+07,8.2028403387e+07,8.2028403387e+07
