DATE,HUSI,HUSI_peak,SIHU,HUSI_peak
2020-03-15 12:55:00,1.5325205082e+08,1.5325205082e+08,1.3728427879e+08,1.3728427879e+08
2020-03-15 13:00:00,1.6051723970e+08,1.6051723970e+08,1.4589482495e+08,1.4589482495e+08
2020-03-15 13:05:00,1.6283311525e+08,1.6283311525e+08,1.9598261194e+08,1.9598261194e+08
2020-03-15 13:10:00,1.7871785470e+08,1.7871785470e+08,2.2950777140e+08,2.2950777140e+08
2020-03-15 13:15:00,1.6214726329e+08,1.6214726329e+08,4.3692089035e+08,4.3692089035e+08
2020-03-15 13:20:00,1.5791781883e+08,1.5791781883e+08,2.1270710769e+08,2.1270710769e+08
2020-03-15 13:25:00,1.6714510325e+08,1.6714510325e+08,1.8313056185e+08,1.8313056185e+08
2020-03-15 13:30:00,1.3879029616e+08,1.3879029616e+08,2.0023605748e+08,2.0023605748e+08
2020-03-15 13:35:00,1.3435742838e+08,1.3435742838e+08,2.0476253006e+08,2.0476253006e+08
2020-03-15 13:40:00,1.3769105891e+08,1.3769105891e+08,4.5639030603e+08,4.5639030603e+08
2020-03-15 13:45:00,1.5791102118e+08,1.5791102118e+08,1.3676991277e+09,1.3676991277e+09
2020-03-15 13:50:00,1.6982315601e+08,1.6982315601e+08,1.7265750807e+09,1.7265750807e+09
2020-03-15 13:55:00,1.6108422065e+08,1.6108422065e+08,1.8028351481e+09,1.8028351481e+09
2020-03-15 14:00:00,1.8484630163e+08,1.8484630163e+08,2.2613019718e+09,2.2613019718e+09
2020-03-15 14:05:00,1.5834397709e+08,1.5834397709e+08,8.6491251528e+08,8.6491251528e+08
2020-03-15 14:10:00,1.4342532085e+08,1.4342532085e+08,2.9285882750e+08,2.9285882750e+08
2020-03-15 14:15:00,1.9327092481e+08,1.9327092481e+08,2.4430537284e+08,2.4430537284e+08
2020-03-15 14:20:00,1.4988503203e+08,1.4988503203e+08,2.5009777226e+08,2.5009777226e+08
2020-03-15 14:25:00,1.5913924620e+08,1.5913924620e+08,2.6158665338e+08,2.6158665338e+08
2020-03-15 14:30:00,1.5036695026e+08,1.5036695026e+08,3.2033882227e+08,3.2033882227e+08
2020-03-15 14:35:00,1.2570731765e+08,1.2570731765e+08,2.4564614832e+08,2.4564614832e+08
2020-03-15 14:40:00,1.5579918919e+08,1.5579918919e+08,2.1653663722e+08,2.1653663722e+08
2020-03-15 14:45:00,1.9612348303e+08,1.9612348303e+08,5.5606531066e+08,5.5606531066e+08
2020-03-15 14:50:00,1.6697285109e+08,1.6697285109e+08,4.8493774649e+08,4.8493774649e+08
2020-03-15 14:55:00,1.7118258638e+08,1.7118258638e+08,4.4669059309e+08,4.4669059309e+08
2020-03-15 15:00:00,1.6327280475e+08,1.6327280475e+08,3.7516178354e+08,3.7516178354e+08
2020-03-15 15:05:00,1.8749116492e+08,1.8749116492e+08,3.4957001343e+08,3.4957001343e+08
2020-03-15 15:10:00,1.7429124374e+08,1.7429124374e+08,4.8228597063e+08,4.8228597063e+08
2020-03-15 15:15:00,1.3835231891e+08,1.3835231891e+08,3.9139861635e+08,3.9139861635e+08
2020-03-15 15:20:00,1.3821215032e+08,1.3821215032e+08,3.9873383383e+08,3.9873383383e+08
2020-03-15 15:25:00,1.5566398174e+08,1.5566398174e+08,3.3432353096e+08,3.3432353096e+08
2020-03-15 15:30:00,2.1936146782e+08,2.1936146782e+08,3.4165706753e+08,3.4165706753e+08
2020-03-15 15:35:00,1.7412596641e+08,1.7412596641e+08,2.3148668034e+08,2.3148668034e+08
2020-03-15 15:40:00,1.2902089496e+08,1.2902089496e+08,2.2364264367e+08,2.2364264367e+08
2020-03-15 15:45:00,1.4068914809e+08,1.4068914809e+08,2.2920316274e+08,2.2920316274e+08
2020-03-15 15:50:00,1.3265332192e+08,1.3265332192e+08,1.6862265851e+08,1.6862265851e+08
2020-03-15 15:55:00,1.5069893850e+08,1.5069893850e+08,2.0750217210e+08,2.0750217210e+08
2020-03-15 16:00:00,1.8403367743e+08,1.8403367743e+08,2.3012288413e+08,2.3012288413e+08
2020-03-15 16:05:00,1.6037238160e+08,1.6037238160e+08,2.1248177605e+08,2.1248177605e+08
2020-03-15 16:10:00,1.5894419617e+08,1.5894419617e+08,1.9493835770e+08,1.9493835770e+08
2020-03-15 16:15:00,1.5385481636e+08,1.5385481636e+08,2.0001934265e+08,2.0001934265e+08
2020-03-15 16:20:00,1.7031726332e+08,1.7031726332e+08,1.3904184233e+08,1.3904184233e+08
2020-03-15 16:25:00,1.8109124247e+08,1.8109124247e+08,1.4576322133e+08,1.4576322133e+08
2020-03-15 16:30:00,1.7971850178e+08,1.7971850178e+08,1.8765689978e+08,1.8765689978e+08
2020-03-15 16:35:00,1.6555292878e+08,1.6555292878e+08,2.1365868014e+08,2.1365868014e+08
2020-03-15 16:40:00,1.3049790894e+08,1.3049790894e+08,2.3091920124e+08,2.3091920124e+08
2020-03-15 16:45:00,1.6986918360e+08,1.6986918360e+08,2.1352027593e+08,2.1352027593e+08
2020-03-15 16:50:00,2.3980706130e+08,2.3980706130e+08,2.0765178018e+08,2.0765178018e+08
2020-03-15 16:55:00,1.5328005112e+08,1.5328005112e+08,2.8021684882e+08,2.8021684882e+08
2020-03-15 17:00:00,1.7231344900e+08,1.7231344900e+08,2.1570213605e+08,2.1570213605e+08
2020-03-15 17:05:00,1.9987366853e+08,1.9987366853e+08,1.5254759333e+08,1.5254759333e+08
