DATE,CHFR,CHFR_peak,FRCH,CHFR_peak
2020-03-24 12:05:00,3.0539969923e+10,3.0539969923e+10,4.1623060105e+10,4.1623060105e+10
2020-03-24 12:10:00,2.6416670007e+10,2.6416670007e+10,3.9670084945e+10,3.9670084945e+10
2020-03-24 12:15:00,2.4897256781e+10,2.4897256781e+10,3.2783022573e+10,3.2783022573e+10
2020-03-24 12:20:00,2.9711798022e+10,2.9711798022e+10,3.8685278432e+10,3.8685278432e+10
2020-03-24 12:25:00,2.9478772045e+10,2.9478772045e+10,3.7562739445e+10,3.7562739445e+10
2020-03-24 12:30:00,2.6236855424e+10,2.6236855424e+10,3.6794945452e+10,3.6794945452e+10
2020-03-24 12:35:00,2.7350953677e+10,2.7350953677e+10,3.9528548142e+10,3.9528548142e+10
2020-03-24 12:40:00,2.8640182750e+10,2.8640182750e+10,3.7517469155e+10,3.7517469155e+10
2020-03-24 12:45:00,2.9964347834e+10,2.9964347834e+10,4.3967244534e+10,4.3967244534e+10
2020-03-24 12:50:00,2.7524966927e+10,2.7524966927e+10,4.5163747410e+10,4.5163747410e+10
2020-03-24 12:55:00,2.5993818321e+10,2.5993818321e+10,3.6019725966e+10,3.6019725966e+10
2020-03-24 13:00:00,2.6959529951e+10,2.6959529951e+10,2.6983707871e+10,2.6983707871e+10
2020-03-24 13:05:00,3.0163856788e+10,3.0163856788e+10,3.4820401665e+10,3.4820401665e+10
2020-03-24 13:10:00,2.6609133984e+10,2.6609133984e+10,3.0383176381e+10,3.0383176381e+10
2020-03-24 13:15:00,2.5583847500e+10,2.5583847500e+10,2.7673293593e+10,2.7673293593e+10
2020-03-24 13:20:00,3.5428229159e+10,3.5428229159e+10,2.9250319533e+10,2.9250319533e+10
2020-03-24 13:25:00,3.8235562303e+10,3.8235562303e+10,3.0101418661e+10,3.0101418661e+10
2020-03-24 13:30:00,5.5428223290e+10,5.5428223290e+10,3.0786292732e+10,3.0786292732e+10
2020-03-24 13:35:00,5.1671342225e+10,5.1671342225e+10,3.5238325177e+10,3.5238325177e+10
2020-03-24 13:40:00,4.2020527390e+10,4.2020527390e+10,3.9636579842e+10,3.9636579842e+10
2020-03-24 13:45:00,3.8289696731e+10,3.8289696731e+10,5.2470844603e+10,5.2470844603e+10
2020-03-24 13:50:00,3.3521021687e+10,3.3521021687e+10,3.8529348253e+10,3.8529348253e+10
2020-03-24 13:55:00,3.0687835438e+10,3.0687835438e+10,3.4096311256e+10,3.4096311256e+10
2020-03-24 14:00:00,2.7509532087e+10,2.7509532087e+10,2.9130195316e+10,2.9130195316e+10
2020-03-24 14:05:00,2.5584117916e+10,2.5584117916e+10,3.7146820465e+10,3.7146820465e+10
2020-03-24 14:10:00,2.6281604619e+10,2.6281604619e+10,3.3507303671e+10,3.3507303671e+10
2020-03-24 14:15:00,2.7006809237e+10,2.7006809237e+10,3.4742901839e+10,3.4742901839e+10
2020-03-24 14:20:00,2.3648321846e+10,2.3648321846e+10,3.8894475041e+10,3.8894475041e+10
2020-03-24 14:25:00,2.3956201275e+10,2.3956201275e+10,3.5814974245e+10,3.5814974245e+10
2020-03-24 14:30:00,2.1246537055e+10,2.1246537055e+10,3.7356677228e+10,3.7356677228e+10
2020-03-24 14:35:00,2.4113422654e+10,2.4113422654e+10,4.6948155095e+10,4.6948155095e+10
2020-03-24 14:40:00,2.6417854295e+10,2.6417854295e+10,4.8012264213e+10,4.8012264213e+10
2020-03-24 14:45:00,2.3884213997e+10,2.3884213997e+10,4.1886896075e+10,4.1886896075e+10
2020-03-24 14:50:00,2.8734532045e+10,2.8734532045e+10,4.0440433951e+10,4.0440433951e+10
2020-03-24 14:55:00,2.7158489658e+10,2.7158489658e+10,3.8452456400e+10,3.8452456400e+10
2020-03-24 15:00:00,2.7183550036e+10,2.7183550036e+10,3.8143186642e+10,3.8143186642e+10
2020-03-24 15:05:00,2.1975841783e+10,2.1975841783e+10,4.0548575455e+10,4.0548575455e+10
2020-03-24 15:10:00,2.3426203165e+10,2.3426203165e+10,4.4871507882e+10,4.4871507882e+10
2020-03-24 15:15:00,2.7569948355e+10,2.7569948355e+10,4.5138461341e+10,4.5138461341e+10
2020-03-24 15:20:00,2.5526504829e+10,2.5526504829e+10,4.6124966819e+10,4.6124966819e+10
2020-03-24 15:25:00,2.2413718560e+10,2.2413718560e+10,4.3451799043e+10,4.3451799043e+10
2020-03-24 15:30:00,2.0279759792e+10,2.0279759792e+10,3.4245949720e+10,3.4245949720e+10
2020-03-24 15:35:00,2.6630332723e+10,2.6630332723e+10,5.5852705886e+10,5.5852705886e+10
2020-03-24 15:40:00,2.6423417604e+10,2.6423417604e+10,8.6338500747e+10,8.6338500747e+10
2020-03-24 15:45:00,2.6430462304e+10,2.6430462304e+10,8.8999728647e+10,8.8999728647e+10
2020-03-24 15:50:00,2.6180831094e+10,2.6180831094e+10,3.7749136258e+10,3.7749136258e+10
2020-03-24 15:55:00,3.2472280776e+10,3.2472280776e+10,3.4312635987e+10,3.4312635987e+10
2020-03-24 16:00:00,3.7044481853e+10,3.7044481853e+10,3.6038800034e+10,3.6038800034e+10
2020-03-24 16:05:00,3.3563841127e+10,3.3563841127e+10,2.9692879222e+10,2.9692879222e+10
2020-03-24 16:10:00,2.9136983841e+10,2.9136983841e+10,4.5161111712e+10,4.5161111712e+10
2020-03-24 16:15:00,2.9683048880e+10,2.9683048880e+10,7.0873359622e+10,7.0873359622e+10
2020-03-24 16:20:00,2.9781194836e+10,2.9781194836e+10,3.8596721931e+10,3.8596721931e+10
2020-03-24 16:25:00,2.5471354126e+10,2.5471354126e+10,3.3469258531e+10,3.3469258531e+10
2020-03-24 16:30:00,3.3018416290e+10,3.3018416290e+10,3.3179195759e+10,3.3179195759e+10
2020-03-24 16:35:00,3.3371789361e+10,3.3371789361e+10,3.9507611993e+10,3.9507611993e+10
2020-03-24 16:40:00,3.2082280340e+10,3.2082280340e+10,3.8064296149e+10,3.8064296149e+10
2020-03-24 16:45:00,3.1647361999e+10,3.1647361999e+10,4.1059465801e+10,4.1059465801e+10
2020-03-24 16:50:00,3.6651568463e+10,3.6651568463e+10,4.0210239287e+10,4.0210239287e+10
2020-03-24 16:55:00,3.5253836399e+10,3.5253836399e+10,4.3452433950e+10,4.3452433950e+10
2020-03-24 17:00:00,2.9913487509e+10,2.9913487509e+10,5.3485457451e+10,5.3485457451e+10
2020-03-24 17:05:00,3.9917509331e+10,3.9917509331e+10,4.0874721549e+10,4.0874721549e+10
