DATE,UIFR,UIFR_peak,FRUI,FRUI_peak
2020-03-15 18:15:00,2.8314044850e+10,2.8314044850e+10,2.5669479595e+10,2.5669479595e+10
2020-03-15 18:20:00,3.1059836348e+10,3.1059836348e+10,3.0585527360e+10,3.0585527360e+10
2020-03-15 18:25:00,1.8790819062e+10,1.8790819062e+10,2.2679884292e+10,2.2679884292e+10
2020-03-15 18:30:00,1.9668515608e+10,1.9668515608e+10,2.4034244462e+10,2.4034244462e+10
2020-03-15 18:35:00,2.5944630403e+10,2.5944630403e+10,2.6864569815e+10,2.6864569815e+10
2020-03-15 18:40:00,1.7112642614e+10,1.7112642614e+10,2.2084152470e+10,2.2084152470e+10
2020-03-15 18:45:00,2.0315111266e+10,2.0315111266e+10,2.6647907808e+10,2.6647907808e+10
2020-03-15 18:50:00,1.8699664371e+10,1.8699664371e+10,3.1251448145e+10,3.1251448145e+10
2020-03-15 18:55:00,1.8028335669e+10,1.8028335669e+10,3.4966384049e+10,3.4966384049e+10
2020-03-15 19:00:00,2.1561282735e+10,2.1561282735e+10,2.9464384416e+10,2.9464384416e+10
2020-03-15 19:05:00,2.0451826482e+10,2.0451826482e+10,2.6604527288e+10,2.6604527288e+10
2020-03-15 19:10:00,1.7931045998e+10,1.7931045998e+10,3.0526895307e+10,3.0526895307e+10
2020-03-15 19:15:00,2.4244229516e+10,2.4244229516e+10,3.0216833273e+10,3.0216833273e+10
2020-03-15 19:20:00,2.8871989209e+10,2.8871989209e+10,3.7651553064e+10,3.7651553064e+10
2020-03-15 19:25:00,2.6881315716e+10,2.6881315716e+10,4.3690853004e+10,4.3690853004e+10
2020-03-15 19:30:00,2.2058630759e+10,2.2058630759e+10,3.5846044518e+10,3.5846044518e+10
2020-03-15 19:35:00,1.9600251857e+10,1.9600251857e+10,3.9916624229e+10,3.9916624229e+10
2020-03-15 19:40:00,2.6726861227e+10,2.6726861227e+10,4.1157705441e+10,4.1157705441e+10
2020-03-15 19:45:00,2.5661645154e+10,2.5661645154e+10,3.6394811340e+10,3.6394811340e+10
