DATE,SKAT,SKAT_peak,ATSK,ATSK_peak
2020-03-22 12:50:00,1.5203230297e+09,1.5203230297e+09,1.7613750948e+09,1.7613750948e+09
2020-03-22 12:55:00,1.2026629353e+09,1.2026629353e+09,1.5143990075e+09,1.5143990075e+09
2020-03-22 13:00:00,1.6978806019e+09,1.6978806019e+09,2.0421510735e+09,2.0421510735e+09
2020-03-22 13:05:00,1.0340917058e+09,1.0340917058e+09,1.3283578654e+09,1.3283578654e+09
2020-03-22 13:10:00,1.2786590861e+09,1.2786590861e+09,1.1084063164e+09,1.1084063164e+09
2020-03-22 13:15:00,1.4379587613e+09,1.4379587613e+09,1.2962202209e+09,1.2962202209e+09
2020-03-22 13:20:00,1.3287683195e+09,1.3287683195e+09,8.0236053079e+08,8.0236053079e+08
2020-03-22 13:25:00,1.1559928344e+09,1.1559928344e+09,7.8085818263e+08,7.8085818263e+08
2020-03-22 13:30:00,1.1109145146e+09,1.1109145146e+09,9.2530938349e+08,9.2530938349e+08
2020-03-22 13:35:00,4.4819212713e+09,4.4819212713e+09,1.4719825585e+09,1.4719825585e+09
2020-03-22 13:40:00,5.7775492416e+09,5.7775492416e+09,1.9296889305e+09,1.9296889305e+09
2020-03-22 13:45:00,6.2636094900e+09,6.2636094900e+09,1.7178220587e+09,1.7178220587e+09
2020-03-22 13:50:00,6.1544753656e+09,6.1544753656e+09,1.9464648603e+09,1.9464648603e+09
2020-03-22 13:55:00,4.4423275343e+09,4.4423275343e+09,1.7609472184e+09,1.7609472184e+09
2020-03-22 14:00:00,3.8170394255e+09,3.8170394255e+09,1.5296457935e+09,1.5296457935e+09
2020-03-22 14:05:00,2.9195852460e+09,2.9195852460e+09,9.2774164949e+08,9.2774164949e+08
2020-03-22 14:10:00,2.8387847260e+09,2.8387847260e+09,7.0611695024e+08,7.0611695024e+08
2020-03-22 14:15:00,2.2646990734e+09,2.2646990734e+09,5.6089865611e+08,5.6089865611e+08
2020-03-22 14:20:00,2.5601934973e+09,2.5601934973e+09,6.4597057237e+08,6.4597057237e+08
2020-03-22 14:25:00,2.2620191278e+09,2.2620191278e+09,4.9442962507e+08,4.9442962507e+08
2020-03-22 14:30:00,1.8484256788e+09,1.8484256788e+09,4.1372980626e+08,4.1372980626e+08
2020-03-22 14:35:00,2.4151690766e+09,2.4151690766e+09,3.2873112382e+08,3.2873112382e+08
2020-03-22 14:40:00,2.5363476846e+09,2.5363476846e+09,3.2102039156e+08,3.2102039156e+08
2020-03-22 14:45:00,2.0807004086e+09,2.0807004086e+09,3.1334584660e+08,3.1334584660e+08
2020-03-22 14:50:00,2.1714756748e+09,2.1714756748e+09,3.6532180185e+08,3.6532180185e+08
2020-03-22 14:55:00,2.0839332700e+09,2.0839332700e+09,3.8155604094e+08,3.8155604094e+08
2020-03-22 15:00:00,2.5827261658e+09,2.5827261658e+09,4.7290910867e+08,4.7290910867e+08
2020-03-22 15:05:00,3.5343742490e+09,3.5343742490e+09,5.1896378663e+08,5.1896378663e+08
2020-03-22 15:10:00,2.9389659505e+09,2.9389659505e+09,8.8845223991e+08,8.8845223991e+08
2020-03-22 15:15:00,2.7586076860e+09,2.7586076860e+09,4.9290112208e+08,4.9290112208e+08
2020-03-22 15:20:00,3.4550833806e+09,3.4550833806e+09,5.5589848774e+08,5.5589848774e+08
2020-03-22 15:25:00,3.6406737762e+09,3.6406737762e+09,8.9546429621e+08,8.9546429621e+08
2020-03-22 15:30:00,2.9847880699e+09,2.9847880699e+09,7.5870839392e+08,7.5870839392e+08
2020-03-22 15:35:00,2.9223255410e+09,2.9223255410e+09,1.6801918302e+09,1.6801918302e+09
2020-03-22 15:40:00,2.0529576404e+09,2.0529576404e+09,2.0122089886e+09,2.0122089886e+09
2020-03-22 15:45:00,2.4241897033e+09,2.4241897033e+09,2.0806828737e+09,2.0806828737e+09
2020-03-22 15:50:00,2.0134837047e+09,2.0134837047e+09,2.0858917749e+09,2.0858917749e+09
2020-03-22 15:55:00,1.9623811408e+09,1.9623811408e+09,2.5223407667e+09,2.5223407667e+09
2020-03-22 16:00:00,1.6245280561e+09,1.6245280561e+09,3.1023389564e+09,3.1023389564e+09
2020-03-22 16:05:00,1.5795276230e+09,1.5795276230e+09,3.8881793606e+09,3.8881793606e+09
2020-03-22 16:10:00,1.7500642815e+09,1.7500642815e+09,3.9735238870e+09,3.9735238870e+09
2020-03-22 16:15:00,1.9391118927e+09,1.9391118927e+09,3.8901863206e+09,3.8901863206e+09
2020-03-22 16:20:00,1.9898763632e+09,1.9898763632e+09,3.9510044851e+09,3.9510044851e+09
