DATE,BEUK,BEUK_peak,UKBE,BEUK_peak
2020-03-31 05:20:00,2.9625255731e+08,2.9625255731e+08,8.4508779565e+07,8.4508779565e+07
2020-03-31 05:25:00,1.3031020944e+08,1.3031020944e+08,3.1245638396e+07,3.1245638396e+07
2020-03-31 05:30:00,4.3175746281e+08,4.3175746281e+08,3.5489341063e+07,3.5489341063e+07
2020-03-31 05:35:00,2.0853795250e+08,2.0853795250e+08,4.4411146341e+07,4.4411146341e+07
2020-03-31 05:40:00,4.7950229130e+08,4.7950229130e+08,3.6439720811e+07,3.6439720811e+07
2020-03-31 05:45:00,2.2048115128e+08,2.2048115128e+08,2.2731968775e+07,2.2731968775e+07
2020-03-31 05:50:00,2.1894502658e+08,2.1894502658e+08,2.3312751619e+07,2.3312751619e+07
2020-03-31 05:55:00,1.6241647708e+08,1.6241647708e+08,1.9189703583e+07,1.9189703583e+07
2020-03-31 06:00:00,1.6749461129e+08,1.6749461129e+08,2.6467910157e+07,2.6467910157e+07
2020-03-31 06:05:00,1.5910032539e+08,1.5910032539e+08,3.0000724815e+07,3.0000724815e+07
2020-03-31 06:10:00,3.4743558705e+08,3.4743558705e+08,3.0092227441e+07,3.0092227441e+07
2020-03-31 06:15:00,2.1684260224e+08,2.1684260224e+08,2.9514816806e+07,2.9514816806e+07
2020-03-31 06:20:00,5.6002786406e+08,5.6002786406e+08,4.1097046233e+07,4.1097046233e+07
2020-03-31 06:25:00,5.2681535236e+08,5.2681535236e+08,6.9769116111e+07,6.9769116111e+07
2020-03-31 06:30:00,2.7617070209e+08,2.7617070209e+08,4.7957533853e+07,4.7957533853e+07
2020-03-31 06:35:00,2.3734796605e+08,2.3734796605e+08,5.0076362007e+07,5.0076362007e+07
2020-03-31 06:40:00,3.9056589486e+08,3.9056589486e+08,8.2319964093e+07,8.2319964093e+07
2020-03-31 06:45:00,3.5475843171e+08,3.5475843171e+08,6.6711638805e+07,6.6711638805e+07
2020-03-31 06:50:00,3.1039918890e+08,3.1039918890e+08,6.8158606151e+07,6.8158606151e+07
2020-03-31 06:55:00,2.9970596542e+08,2.9970596542e+08,4.2812473654e+07,4.2812473654e+07
2020-03-31 07:00:00,6.2942522904e+08,6.2942522904e+08,4.3617462066e+07,4.3617462066e+07
2020-03-31 07:05:00,6.9755734458e+08,6.9755734458e+08,5.7846720787e+07,5.7846720787e+07
2020-03-31 07:10:00,4.5940055932e+08,4.5940055932e+08,5.5486696221e+07,5.5486696221e+07
2020-03-31 07:15:00,4.8089459697e+08,4.8089459697e+08,7.0884033808e+07,7.0884033808e+07
2020-03-31 07:20:00,6.8398001830e+08,6.8398001830e+08,6.0197482324e+07,6.0197482324e+07
2020-03-31 07:25:00,5.2982440583e+08,5.2982440583e+08,7.0611680988e+07,7.0611680988e+07
2020-03-31 07:30:00,5.8989878854e+08,5.8989878854e+08,6.5786196268e+07,6.5786196268e+07
2020-03-31 07:35:00,8.2925705257e+08,8.2925705257e+08,7.8238516685e+07,7.8238516685e+07
2020-03-31 07:40:00,5.2751339540e+08,5.2751339540e+08,1.0297346666e+08,1.0297346666e+08
2020-03-31 07:45:00,6.6654722322e+08,6.6654722322e+08,1.0477828994e+08,1.0477828994e+08
2020-03-31 07:50:00,5.9745386857e+08,5.9745386857e+08,9.1025203240e+07,9.1025203240e+07
2020-03-31 07:55:00,8.1203324345e+08,8.1203324345e+08,9.3444533416e+07,9.3444533416e+07
2020-03-31 08:00:00,7.1629922188e+08,7.1629922188e+08,1.1055588744e+08,1.1055588744e+08
2020-03-31 08:05:00,6.0885092025e+08,6.0885092025e+08,1.5543307127e+08,1.5543307127e+08
2020-03-31 08:10:00,6.6419508555e+08,6.6419508555e+08,1.3236392510e+08,1.3236392510e+08
2020-03-31 08:15:00,7.6586274014e+08,7.6586274014e+08,1.2474531784e+08,1.2474531784e+08
2020-03-31 08:20:00,7.0524667759e+08,7.0524667759e+08,1.8767859169e+08,1.8767859169e+08
2020-03-31 08:25:00,7.6031276014e+08,7.6031276014e+08,1.7461619079e+08,1.7461619079e+08
2020-03-31 08:30:00,7.4466287455e+08,7.4466287455e+08,1.4870919210e+08,1.4870919210e+08
