DATE,PRES,PRES_peak,ESPR,ESPR_peak
2020-03-22 17:00:00,2.9018591394e+09,2.9018591394e+09,9.0610342501e+08,9.0610342501e+08
2020-03-22 17:05:00,2.6328700668e+09,2.6328700668e+09,8.6829589681e+08,8.6829589681e+08
2020-03-22 17:10:00,2.8951149607e+09,2.8951149607e+09,9.1236885835e+08,9.1236885835e+08
2020-03-22 17:15:00,2.9499670012e+09,2.9499670012e+09,1.0070407290e+09,1.0070407290e+09
2020-03-22 17:20:00,2.4365124600e+09,2.4365124600e+09,8.7573198577e+08,8.7573198577e+08
2020-03-22 17:25:00,2.1399114457e+09,2.1399114457e+09,1.1165136613e+09,1.1165136613e+09
2020-03-22 17:30:00,2.1701744875e+09,2.1701744875e+09,9.2720886144e+08,9.2720886144e+08
2020-03-22 17:35:00,1.8201718402e+09,1.8201718402e+09,9.2606314703e+08,9.2606314703e+08
2020-03-22 17:40:00,2.3448171190e+09,2.3448171190e+09,1.1222288816e+09,1.1222288816e+09
2020-03-22 17:45:00,2.0263971689e+09,2.0263971689e+09,1.0453988422e+09,1.0453988422e+09
2020-03-22 17:50:00,1.9314555576e+09,1.9314555576e+09,9.3961939114e+08,9.3961939114e+08
2020-03-22 17:55:00,1.9911939116e+09,1.9911939116e+09,1.1393695335e+09,1.1393695335e+09
2020-03-22 18:00:00,3.3271522052e+09,3.3271522052e+09,1.0232097985e+09,1.0232097985e+09
2020-03-22 18:05:00,3.4726197634e+09,3.4726197634e+09,9.5450291867e+08,9.5450291867e+08
2020-03-22 18:10:00,2.0032265057e+09,2.0032265057e+09,8.6816067779e+08,8.6816067779e+08
2020-03-22 18:15:00,2.6204805345e+09,2.6204805345e+09,9.2878580391e+08,9.2878580391e+08
2020-03-22 18:20:00,2.3786802198e+09,2.3786802198e+09,9.4616259767e+08,9.4616259767e+08
2020-03-22 18:25:00,2.3734309499e+09,2.3734309499e+09,9.1563365719e+08,9.1563365719e+08
2020-03-22 18:30:00,2.1897488528e+09,2.1897488528e+09,9.5573982087e+08,9.5573982087e+08
2020-03-22 18:35:00,2.3152719261e+09,2.3152719261e+09,9.3472447198e+08,9.3472447198e+08
2020-03-22 18:40:00,2.1009177677e+09,2.1009177677e+09,9.9386028793e+08,9.9386028793e+08
2020-03-22 18:45:00,2.1732499237e+09,2.1732499237e+09,1.1832898875e+09,1.1832898875e+09
2020-03-22 18:50:00,2.1860159611e+09,2.1860159611e+09,1.0237485283e+09,1.0237485283e+09
2020-03-22 18:55:00,2.0174904169e+09,2.0174904169e+09,1.4680697484e+09,1.4680697484e+09
2020-03-22 19:00:00,2.0820222411e+09,2.0820222411e+09,1.0742005793e+09,1.0742005793e+09
2020-03-22 19:05:00,1.9273073391e+09,1.9273073391e+09,1.2626980086e+09,1.2626980086e+09
2020-03-22 19:10:00,2.4391228943e+09,2.4391228943e+09,1.2344221623e+09,1.2344221623e+09
2020-03-22 19:15:00,1.8913384762e+09,1.8913384762e+09,1.1541519791e+09,1.1541519791e+09
2020-03-22 19:20:00,1.6701914319e+09,1.6701914319e+09,1.1877378208e+09,1.1877378208e+09
2020-03-22 19:25:00,1.7651813759e+09,1.7651813759e+09,1.4674584016e+09,1.4674584016e+09
2020-03-22 19:30:00,2.5927840812e+09,2.5927840812e+09,1.1837071979e+09,1.1837071979e+09
2020-03-22 19:35:00,2.2276853419e+09,2.2276853419e+09,1.1019427141e+09,1.1019427141e+09
2020-03-22 19:40:00,2.5060279798e+09,2.5060279798e+09,1.1301115607e+09,1.1301115607e+09
2020-03-22 19:45:00,1.7810430216e+09,1.7810430216e+09,1.0630905694e+09,1.0630905694e+09
2020-03-22 19:50:00,1.6706606471e+09,1.6706606471e+09,1.2150383194e+09,1.2150383194e+09
