DATE,NLDU,NLDU_peak,DUNL,DUNL_peak
2020-03-15 11:20:00,3.0140086025e+09,3.0140086025e+09,1.4705068468e+04,1.4705068468e+04
2020-03-15 11:25:00,3.1334372535e+09,3.1334372535e+09,1.5012829681e+04,1.5012829681e+04
2020-03-15 11:30:00,3.2878252446e+09,3.2878252446e+09,1.4888985421e+04,1.4888985421e+04
2020-03-15 11:35:00,3.2602152562e+09,3.2602152562e+09,1.4415465600e+04,1.4415465600e+04
2020-03-15 11:40:00,3.3470713655e+09,3.3470713655e+09,1.4834508534e+04,1.4834508534e+04
2020-03-15 11:45:00,3.0668024115e+09,3.0668024115e+09,1.4849747603e+04,1.4849747603e+04
2020-03-15 11:50:00,3.0523786996e+09,3.0523786996e+09,1.5406285620e+04,1.5406285620e+04
2020-03-15 11:55:00,3.4562423150e+09,3.4562423150e+09,1.5039423399e+04,1.5039423399e+04
2020-03-15 12:00:00,3.8880421359e+09,3.8880421359e+09,1.4783956000e+04,1.4783956000e+04
2020-03-15 12:05:00,6.0770578397e+09,6.0770578397e+09,1.4650181759e+04,1.4650181759e+04
2020-03-15 12:10:00,4.6864908800e+09,4.6864908800e+09,1.5036072330e+04,1.5036072330e+04
2020-03-15 12:15:00,2.9461235584e+09,2.9461235584e+09,1.4736245440e+04,1.4736245440e+04
2020-03-15 12:20:00,9.7979726009e+09,9.7979726009e+09,1.4591093209e+04,1.4591093209e+04
2020-03-15 12:25:00,5.2339465447e+09,5.2339465447e+09,1.5066838195e+04,1.5066838195e+04
2020-03-15 12:30:00,2.4478101386e+09,2.4478101386e+09,1.4581910112e+04,1.4581910112e+04
2020-03-15 12:35:00,2.6595725384e+09,2.6595725384e+09,1.4641566421e+04,1.4641566421e+04
2020-03-15 12:40:00,2.6161124628e+09,2.6161124628e+09,1.5088300377e+04,1.5088300377e+04
2020-03-15 12:45:00,7.5281843129e+09,7.5281843129e+09,1.4892681786e+04,1.4892681786e+04
2020-03-15 12:50:00,2.1720964515e+09,2.1720964515e+09,1.4712158104e+04,1.4712158104e+04
2020-03-15 12:55:00,2.6017589512e+09,2.6017589512e+09,1.4796449501e+04,1.4796449501e+04
2020-03-15 13:00:00,2.2332718047e+09,2.2332718047e+09,1.4981229631e+04,1.4981229631e+04
2020-03-15 13:05:00,2.3411586982e+09,2.3411586982e+09,1.4823106936e+04,1.4823106936e+04
2020-03-15 13:10:00,4.1875255900e+09,4.1875255900e+09,1.4747050732e+04,1.4747050732e+04
2020-03-15 13:15:00,6.7225082306e+09,6.7225082306e+09,1.5060664004e+04,1.5060664004e+04
2020-03-15 13:20:00,3.6560323902e+09,3.6560323902e+09,1.4764428077e+04,1.4764428077e+04
2020-03-15 13:25:00,2.2904508875e+09,2.2904508875e+09,1.4318729203e+04,1.4318729203e+04
2020-03-15 13:30:00,2.9147506946e+09,2.9147506946e+09,1.4953681828e+04,1.4953681828e+04
2020-03-15 13:35:00,4.9475898001e+09,4.9475898001e+09,1.4788275127e+04,1.4788275127e+04
2020-03-15 13:40:00,4.0512807988e+09,4.0512807988e+09,1.5097679255e+04,1.5097679255e+04
2020-03-15 13:45:00,2.1413643332e+09,2.1413643332e+09,1.4803594774e+04,1.4803594774e+04
2020-03-15 13:50:00,2.1113778056e+09,2.1113778056e+09,1.5377574400e+04,1.5377574400e+04
2020-03-15 13:55:00,1.9636978190e+09,1.9636978190e+09,1.5244955868e+04,1.5244955868e+04
2020-03-15 14:00:00,2.1650644989e+09,2.1650644989e+09,1.4724474799e+04,1.4724474799e+04
2020-03-15 14:05:00,1.3314597296e+09,1.3314597296e+09,1.4727753867e+04,1.4727753867e+04
2020-03-15 14:10:00,2.0220301606e+09,2.0220301606e+09,1.4929706761e+04,1.4929706761e+04
2020-03-15 14:15:00,1.5387504197e+09,1.5387504197e+09,1.4773289380e+04,1.4773289380e+04
2020-03-15 14:20:00,1.7813497666e+09,1.7813497666e+09,1.4801359059e+04,1.4801359059e+04
2020-03-15 14:25:00,1.5434650687e+09,1.5434650687e+09,1.4639187733e+04,1.4639187733e+04
2020-03-15 14:30:00,5.2002756894e+09,5.2002756894e+09,1.4893600267e+04,1.4893600267e+04
2020-03-15 14:35:00,2.7541241541e+09,2.7541241541e+09,1.4623887619e+04,1.4623887619e+04
2020-03-15 14:40:00,2.4297255255e+09,2.4297255255e+09,1.5005050070e+04,1.5005050070e+04
2020-03-15 14:45:00,5.4407229665e+09,5.4407229665e+09,1.5145156978e+04,1.5145156978e+04
2020-03-15 14:50:00,3.8206483101e+09,3.8206483101e+09,1.4351538474e+04,1.4351538474e+04
2020-03-15 14:55:00,2.8438985632e+09,2.8438985632e+09,1.4375808013e+04,1.4375808013e+04
2020-03-15 15:00:00,3.5777432562e+09,3.5777432562e+09,1.5022980824e+04,1.5022980824e+04
2020-03-15 15:05:00,7.0823867608e+09,7.0823867608e+09,1.4980526023e+04,1.4980526023e+04
2020-03-15 15:10:00,5.9454023441e+09,5.9454023441e+09,1.4687198133e+04,1.4687198133e+04
2020-03-15 15:15:00,3.5590205729e+09,3.5590205729e+09,1.4516019200e+04,1.4516019200e+04
2020-03-15 15:20:00,2.2995224898e+09,2.2995224898e+09,1.5201195641e+04,1.5201195641e+04
2020-03-15 15:25:00,2.8177645944e+09,2.8177645944e+09,1.4864651914e+04,1.4864651914e+04
2020-03-15 15:30:00,3.3178383269e+09,3.3178383269e+09,1.4801157333e+04,1.4801157333e+04
2020-03-15 15:35:00,4.0064416755e+09,4.0064416755e+09,1.4775370311e+04,1.4775370311e+04
2020-03-15 15:40:00,7.1653283450e+09,7.1653283450e+09,1.4910084766e+04,1.4910084766e+04
2020-03-15 15:45:00,4.7136968456e+09,4.7136968456e+09,1.5680493900e+04,1.5680493900e+04
2020-03-15 15:50:00,3.1670850929e+09,3.1670850929e+09,1.4963665867e+04,1.4963665867e+04
2020-03-15 15:55:00,2.3164517696e+09,2.3164517696e+09,1.4697861794e+04,1.4697861794e+04
2020-03-15 16:00:00,4.3801601416e+09,4.3801601416e+09,1.4801182383e+04,1.4801182383e+04
2020-03-15 16:05:00,4.0207797893e+09,4.0207797893e+09,1.4483492401e+04,1.4483492401e+04
2020-03-15 16:10:00,2.2870653064e+09,2.2870653064e+09,1.4812838355e+04,1.4812838355e+04
2020-03-15 16:15:00,2.4351390772e+09,2.4351390772e+09,1.4964897867e+04,1.4964897867e+04
2020-03-15 16:20:00,4.3115216739e+09,4.3115216739e+09,1.4803934400e+04,1.4803934400e+04
2020-03-15 16:25:00,2.8331510401e+09,2.8331510401e+09,1.5033953333e+04,1.5033953333e+04
2020-03-15 16:30:00,3.2163583242e+09,3.2163583242e+09,1.4714477333e+04,1.4714477333e+04
2020-03-15 16:35:00,1.2303719951e+10,1.2303719951e+10,1.4772527467e+04,1.4772527467e+04
2020-03-15 16:40:00,5.0779706216e+09,5.0779706216e+09,1.5154860029e+04,1.5154860029e+04
2020-03-15 16:45:00,3.4575536719e+09,3.4575536719e+09,1.4723745927e+04,1.4723745927e+04
2020-03-15 16:50:00,4.4509006120e+09,4.4509006120e+09,1.4773698489e+04,1.4773698489e+04
2020-03-15 16:55:00,3.5945977464e+09,3.5945977464e+09,1.4922126222e+04,1.4922126222e+04
2020-03-15 17:00:00,6.4723441851e+09,6.4723441851e+09,1.4695898311e+04,1.4695898311e+04
2020-03-15 17:05:00,6.4662601975e+09,6.4662601975e+09,1.4729069466e+04,1.4729069466e+04
2020-03-15 17:10:00,8.1703036664e+09,8.1703036664e+09,1.4697233625e+04,1.4697233625e+04
2020-03-15 17:15:00,5.4266450667e+09,5.4266450667e+09,1.5130036629e+04,1.5130036629e+04
2020-03-15 17:20:00,1.5766137911e+10,1.5766137911e+10,1.4686852635e+04,1.4686852635e+04
2020-03-15 17:25:00,1.1079974224e+10,1.1079974224e+10,1.5016993067e+04,1.5016993067e+04
2020-03-15 17:30:00,5.8469643575e+09,5.8469643575e+09,1.4722579921e+04,1.4722579921e+04
2020-03-15 17:35:00,7.0065289761e+09,7.0065289761e+09,1.4479080702e+04,1.4479080702e+04
2020-03-15 17:40:00,8.0388472672e+09,8.0388472672e+09,1.5878886854e+04,1.5878886854e+04
2020-03-15 17:45:00,1.2079633820e+10,1.2079633820e+10,1.4761382924e+04,1.4761382924e+04
2020-03-15 17:50:00,8.2023113061e+09,8.2023113061e+09,1.4782181600e+04,1.4782181600e+04
2020-03-15 17:55:00,5.5702366816e+09,5.5702366816e+09,1.4813975467e+04,1.4813975467e+04
2020-03-15 18:00:00,5.5887105799e+09,5.5887105799e+09,1.4770944533e+04,1.4770944533e+04
2020-03-15 18:05:00,4.7733569182e+09,4.7733569182e+09,1.4843925067e+04,1.4843925067e+04
2020-03-15 18:10:00,5.5274863017e+09,5.5274863017e+09,1.4795705262e+04,1.4795705262e+04
2020-03-15 18:15:00,5.6482418064e+09,5.6482418064e+09,1.4630915982e+04,1.4630915982e+04
2020-03-15 18:20:00,4.6662054397e+09,4.6662054397e+09,1.4634414304e+04,1.4634414304e+04
2020-03-15 18:25:00,7.6499742801e+09,7.6499742801e+09,1.5162558499e+04,1.5162558499e+04
2020-03-15 18:30:00,4.5791627592e+09,4.5791627592e+09,1.4594624846e+04,1.4594624846e+04
2020-03-15 18:35:00,1.2074762740e+10,1.2074762740e+10,1.4664165374e+04,1.4664165374e+04
2020-03-15 18:40:00,1.0309574961e+10,1.0309574961e+10,1.4838619903e+04,1.4838619903e+04
2020-03-15 18:45:00,1.0919478383e+10,1.0919478383e+10,1.4900803738e+04,1.4900803738e+04
2020-03-15 18:50:00,6.8654356696e+09,6.8654356696e+09,1.4745123293e+04,1.4745123293e+04
2020-03-15 18:55:00,4.3588629933e+09,4.3588629933e+09,1.4767702667e+04,1.4767702667e+04
2020-03-15 19:00:00,6.0673690827e+09,6.0673690827e+09,1.4828816590e+04,1.4828816590e+04
2020-03-15 19:05:00,5.0955444240e+09,5.0955444240e+09,1.4624656719e+04,1.4624656719e+04
2020-03-15 19:10:00,3.6875684703e+09,3.6875684703e+09,1.4914445624e+04,1.4914445624e+04
2020-03-15 19:15:00,4.0726987137e+09,4.0726987137e+09,1.4915195467e+04,1.4915195467e+04
