DATE,UKUI,UKUI_peak,UIUK,UIUK_peak
2020-03-30 23:20:00,6.5543455528e+10,6.5543455528e+10,4.8098090438e+10,4.8098090438e+10
2020-03-30 23:25:00,5.7761852488e+10,5.7761852488e+10,5.4900156284e+10,5.4900156284e+10
2020-03-30 23:30:00,5.4128763302e+10,5.4128763302e+10,5.3208141401e+10,5.3208141401e+10
2020-03-30 23:35:00,6.4295487279e+10,6.4295487279e+10,5.5818990940e+10,5.5818990940e+10
2020-03-30 23:40:00,6.8412852018e+10,6.8412852018e+10,6.4631343431e+10,6.4631343431e+10
2020-03-30 23:45:00,6.7279275842e+10,6.7279275842e+10,6.0042472097e+10,6.0042472097e+10
2020-03-30 23:50:00,6.2618852063e+10,6.2618852063e+10,6.3638707783e+10,6.3638707783e+10
2020-03-30 23:55:00,6.9374526651e+10,6.9374526651e+10,7.5422111805e+10,7.5422111805e+10
2020-03-31 00:00:00,7.0595999703e+10,7.0595999703e+10,8.0969224079e+10,8.0969224079e+10
2020-03-31 00:05:00,6.7559117025e+10,6.7559117025e+10,6.9400387505e+10,6.9400387505e+10
2020-03-31 00:10:00,7.1540898467e+10,7.1540898467e+10,6.4557777389e+10,6.4557777389e+10
2020-03-31 00:15:00,7.1426431599e+10,7.1426431599e+10,6.0963376113e+10,6.0963376113e+10
2020-03-31 00:20:00,7.1188305687e+10,7.1188305687e+10,5.7905452636e+10,5.7905452636e+10
2020-03-31 00:25:00,6.6095666571e+10,6.6095666571e+10,5.5133458066e+10,5.5133458066e+10
2020-03-31 00:30:00,6.5424881127e+10,6.5424881127e+10,5.2101464608e+10,5.2101464608e+10
2020-03-31 00:35:00,6.2756298678e+10,6.2756298678e+10,4.6714777139e+10,4.6714777139e+10
2020-03-31 00:40:00,5.9859182038e+10,5.9859182038e+10,4.0768245212e+10,4.0768245212e+10
2020-03-31 00:45:00,6.3441768617e+10,6.3441768617e+10,4.9594970154e+10,4.9594970154e+10
2020-03-31 00:50:00,6.4216132312e+10,6.4216132312e+10,5.9477442863e+10,5.9477442863e+10
2020-03-31 00:55:00,6.8793820239e+10,6.8793820239e+10,6.7385710863e+10,6.7385710863e+10
2020-03-31 01:00:00,6.6181087285e+10,6.6181087285e+10,5.4882392743e+10,5.4882392743e+10
2020-03-31 01:05:00,6.2410100806e+10,6.2410100806e+10,4.8393911647e+10,4.8393911647e+10
2020-03-31 01:10:00,5.2250180385e+10,5.2250180385e+10,5.2469718742e+10,5.2469718742e+10
2020-03-31 01:15:00,5.3494228888e+10,5.3494228888e+10,5.3321424845e+10,5.3321424845e+10
2020-03-31 01:20:00,5.6216508347e+10,5.6216508347e+10,5.1581817277e+10,5.1581817277e+10
2020-03-31 01:25:00,5.1732106250e+10,5.1732106250e+10,6.1010062993e+10,6.1010062993e+10
2020-03-31 01:30:00,5.0954525373e+10,5.0954525373e+10,6.2910902922e+10,6.2910902922e+10
2020-03-31 01:35:00,4.6813672335e+10,4.6813672335e+10,5.8654647579e+10,5.8654647579e+10
2020-03-31 01:40:00,4.5087034696e+10,4.5087034696e+10,4.7878169894e+10,4.7878169894e+10
2020-03-31 01:45:00,4.7030475989e+10,4.7030475989e+10,4.5596588133e+10,4.5596588133e+10
2020-03-31 01:50:00,6.4541467866e+10,6.4541467866e+10,4.7791121530e+10,4.7791121530e+10
2020-03-31 01:55:00,5.4537400234e+10,5.4537400234e+10,4.5067637914e+10,4.5067637914e+10
