DATE,ATHR,ATHR_peak,HRAT,ATHR_peak
2020-03-15 09:50:00,1.2817739113e+06,1.2817739113e+06,1.0761780614e+06,1.0761780614e+06
2020-03-15 09:55:00,1.3817412448e+06,1.3817412448e+06,1.1606953758e+06,1.1606953758e+06
2020-03-15 10:00:00,1.5293781110e+06,1.5293781110e+06,1.0708772772e+06,1.0708772772e+06
2020-03-15 10:05:00,1.4071408659e+06,1.4071408659e+06,1.0942989546e+06,1.0942989546e+06
2020-03-15 10:10:00,1.4343220489e+06,1.4343220489e+06,1.0652977875e+06,1.0652977875e+06
2020-03-15 10:15:00,1.2942453922e+06,1.2942453922e+06,1.0351925182e+06,1.0351925182e+06
2020-03-15 10:20:00,1.7859741820e+06,1.7859741820e+06,1.0834188263e+06,1.0834188263e+06
2020-03-15 10:25:00,2.9872647452e+06,2.9872647452e+06,1.0161129387e+06,1.0161129387e+06
2020-03-15 10:30:00,3.4233605301e+06,3.4233605301e+06,1.1493487006e+06,1.1493487006e+06
2020-03-15 10:35:00,1.8703897966e+06,1.8703897966e+06,1.1366662059e+06,1.1366662059e+06
2020-03-15 10:40:00,1.1899418581e+06,1.1899418581e+06,1.0221984020e+06,1.0221984020e+06
2020-03-15 10:45:00,1.2155078107e+06,1.2155078107e+06,1.0742951257e+06,1.0742951257e+06
2020-03-15 10:50:00,1.2839586988e+06,1.2839586988e+06,1.0076884194e+06,1.0076884194e+06
2020-03-15 10:55:00,9.0747821220e+06,9.0747821220e+06,1.0556143467e+06,1.0556143467e+06
2020-03-15 11:00:00,6.5503862059e+06,6.5503862059e+06,1.0185568802e+06,1.0185568802e+06
2020-03-15 11:05:00,6.3524170902e+06,6.3524170902e+06,1.0279903128e+06,1.0279903128e+06
2020-03-15 11:10:00,5.7667286673e+06,5.7667286673e+06,1.0356494489e+06,1.0356494489e+06
2020-03-15 11:15:00,4.2702160964e+06,4.2702160964e+06,9.5781264438e+05,9.5781264438e+05
2020-03-15 11:20:00,1.8944673363e+06,1.8944673363e+06,1.0717934083e+06,1.0717934083e+06
2020-03-15 11:25:00,1.6534104079e+06,1.6534104079e+06,9.9257668054e+05,9.9257668054e+05
2020-03-15 11:30:00,2.2276222174e+06,2.2276222174e+06,1.0289707753e+06,1.0289707753e+06
2020-03-15 11:35:00,1.8651000414e+06,1.8651000414e+06,9.9846219129e+05,9.9846219129e+05
2020-03-15 11:40:00,1.5463931623e+06,1.5463931623e+06,1.1173372752e+06,1.1173372752e+06
2020-03-15 11:45:00,1.7925607173e+06,1.7925607173e+06,9.8688867111e+05,9.8688867111e+05
2020-03-15 11:50:00,2.5691284398e+06,2.5691284398e+06,9.0250794844e+05,9.0250794844e+05
2020-03-15 11:55:00,2.0179173207e+06,2.0179173207e+06,9.6621904764e+05,9.6621904764e+05
2020-03-15 12:00:00,1.5733887560e+06,1.5733887560e+06,9.3807985494e+05,9.3807985494e+05
2020-03-15 12:05:00,1.4705460566e+06,1.4705460566e+06,9.1452813324e+05,9.1452813324e+05
2020-03-15 12:10:00,4.1312412274e+06,4.1312412274e+06,1.0603394172e+06,1.0603394172e+06
2020-03-15 12:15:00,2.9460678615e+06,2.9460678615e+06,1.0239193550e+06,1.0239193550e+06
2020-03-15 12:20:00,4.2203268578e+06,4.2203268578e+06,9.7582393013e+05,9.7582393013e+05
2020-03-15 12:25:00,2.2805232165e+06,2.2805232165e+06,8.9556479022e+05,8.9556479022e+05
2020-03-15 12:30:00,3.0908104683e+06,3.0908104683e+06,9.5343666418e+05,9.5343666418e+05
2020-03-15 12:35:00,5.1539650252e+06,5.1539650252e+06,9.4025695200e+05,9.4025695200e+05
2020-03-15 12:40:00,3.9387084727e+06,3.9387084727e+06,1.0141008057e+06,1.0141008057e+06
2020-03-15 12:45:00,2.4995489479e+06,2.4995489479e+06,9.4907881280e+05,9.4907881280e+05
2020-03-15 12:50:00,2.0234131431e+06,2.0234131431e+06,1.0103632638e+06,1.0103632638e+06
2020-03-15 12:55:00,1.4108905448e+06,1.4108905448e+06,9.6663575845e+05,9.6663575845e+05
2020-03-15 13:00:00,1.5641646923e+06,1.5641646923e+06,9.4037222458e+05,9.4037222458e+05
2020-03-15 13:05:00,1.4426752912e+06,1.4426752912e+06,9.5003251398e+05,9.5003251398e+05
2020-03-15 13:10:00,1.3887726378e+06,1.3887726378e+06,1.0080501341e+06,1.0080501341e+06
2020-03-15 13:15:00,1.3175455815e+06,1.3175455815e+06,1.1067452919e+06,1.1067452919e+06
2020-03-15 13:20:00,1.1725192587e+06,1.1725192587e+06,1.0263182601e+06,1.0263182601e+06
2020-03-15 13:25:00,2.2322487042e+06,2.2322487042e+06,1.0392452427e+06,1.0392452427e+06
2020-03-15 13:30:00,2.2476528352e+06,2.2476528352e+06,9.6913248661e+05,9.6913248661e+05
2020-03-15 13:35:00,1.8338560155e+06,1.8338560155e+06,9.4184159179e+05,9.4184159179e+05
2020-03-15 13:40:00,2.8634885319e+06,2.8634885319e+06,9.4433577849e+05,9.4433577849e+05
2020-03-15 13:45:00,2.3932593010e+06,2.3932593010e+06,1.0400627998e+06,1.0400627998e+06
2020-03-15 13:50:00,1.7620855863e+06,1.7620855863e+06,9.2390654987e+05,9.2390654987e+05
2020-03-15 13:55:00,1.7693281995e+06,1.7693281995e+06,9.9046650791e+05,9.9046650791e+05
2020-03-15 14:00:00,2.2256344038e+06,2.2256344038e+06,1.0426178879e+06,1.0426178879e+06
2020-03-15 14:05:00,3.0729168810e+06,3.0729168810e+06,9.3162529760e+05,9.3162529760e+05
2020-03-15 14:10:00,2.5413314787e+06,2.5413314787e+06,9.4376058055e+05,9.4376058055e+05
2020-03-15 14:15:00,2.9553256422e+06,2.9553256422e+06,1.0285193717e+06,1.0285193717e+06
2020-03-15 14:20:00,3.8464403529e+06,3.8464403529e+06,9.6004298498e+05,9.6004298498e+05
2020-03-15 14:25:00,2.9150552725e+06,2.9150552725e+06,9.1637183849e+05,9.1637183849e+05
2020-03-15 14:30:00,2.9643331100e+06,2.9643331100e+06,1.0493656805e+06,1.0493656805e+06
2020-03-15 14:35:00,3.9767867644e+06,3.9767867644e+06,9.4449251698e+05,9.4449251698e+05
2020-03-15 14:40:00,3.3321429888e+06,3.3321429888e+06,9.4893051733e+05,9.4893051733e+05
2020-03-15 14:45:00,1.7135448521e+06,1.7135448521e+06,1.0653917330e+06,1.0653917330e+06
2020-03-15 14:50:00,1.7043392860e+06,1.7043392860e+06,9.9895465067e+05,9.9895465067e+05
2020-03-15 14:55:00,1.6914514224e+06,1.6914514224e+06,1.0357125152e+06,1.0357125152e+06
2020-03-15 15:00:00,1.6742977206e+06,1.6742977206e+06,9.4915112988e+05,9.4915112988e+05
2020-03-15 15:05:00,1.7078285226e+06,1.7078285226e+06,1.0433340896e+06,1.0433340896e+06
2020-03-15 15:10:00,1.4782254809e+06,1.4782254809e+06,9.2385501732e+05,9.2385501732e+05
