DATE,PLAT,PLAT_peak,ATPL,ATPL_peak
2020-03-15 10:45:00,5.1576297997e+08,5.1576297997e+08,2.2813659268e+07,2.2813659268e+07
2020-03-15 10:50:00,4.1359476387e+08,4.1359476387e+08,2.7413144843e+07,2.7413144843e+07
2020-03-15 10:55:00,4.6206223036e+08,4.6206223036e+08,2.8569981038e+07,2.8569981038e+07
2020-03-15 11:00:00,5.0962525388e+08,5.0962525388e+08,8.1200948413e+07,8.1200948413e+07
2020-03-15 11:05:00,5.4936525391e+08,5.4936525391e+08,3.0342705669e+07,3.0342705669e+07
2020-03-15 11:10:00,5.1033670904e+08,5.1033670904e+08,2.4138061164e+07,2.4138061164e+07
2020-03-15 11:15:00,5.0112177025e+08,5.0112177025e+08,2.4837353248e+07,2.4837353248e+07
2020-03-15 11:20:00,4.9131023386e+08,4.9131023386e+08,3.0753521751e+07,3.0753521751e+07
2020-03-15 11:25:00,1.0623970752e+09,1.0623970752e+09,2.3583360632e+07,2.3583360632e+07
2020-03-15 11:30:00,6.1179186678e+08,6.1179186678e+08,2.1693490625e+07,2.1693490625e+07
2020-03-15 11:35:00,5.3609435818e+08,5.3609435818e+08,1.6242314189e+07,1.6242314189e+07
2020-03-15 11:40:00,5.5690077357e+08,5.5690077357e+08,1.6460575533e+07,1.6460575533e+07
2020-03-15 11:45:00,4.7373117096e+08,4.7373117096e+08,2.4839300892e+07,2.4839300892e+07
2020-03-15 11:50:00,5.1397849932e+08,5.1397849932e+08,2.4662577845e+07,2.4662577845e+07
2020-03-15 11:55:00,5.4601778165e+08,5.4601778165e+08,2.8663920349e+07,2.8663920349e+07
2020-03-15 12:00:00,5.9521484272e+08,5.9521484272e+08,2.6278204028e+07,2.6278204028e+07
2020-03-15 12:05:00,6.3519496077e+08,6.3519496077e+08,2.6009412557e+07,2.6009412557e+07
2020-03-15 12:10:00,6.6403686545e+08,6.6403686545e+08,2.6900248763e+07,2.6900248763e+07
2020-03-15 12:15:00,6.2426417062e+08,6.2426417062e+08,2.4765306991e+07,2.4765306991e+07
2020-03-15 12:20:00,1.2116717550e+09,1.2116717550e+09,2.0315900034e+07,2.0315900034e+07
2020-03-15 12:25:00,6.9123268481e+08,6.9123268481e+08,1.8636990490e+07,1.8636990490e+07
2020-03-15 12:30:00,5.6560924934e+08,5.6560924934e+08,1.9245655717e+07,1.9245655717e+07
2020-03-15 12:35:00,5.9602001090e+08,5.9602001090e+08,2.0390625951e+07,2.0390625951e+07
2020-03-15 12:40:00,6.9424918718e+08,6.9424918718e+08,2.0124906796e+07,2.0124906796e+07
2020-03-15 12:45:00,5.8322054924e+08,5.8322054924e+08,2.1424613920e+07,2.1424613920e+07
2020-03-15 12:50:00,6.8029393768e+08,6.8029393768e+08,3.1923004730e+07,3.1923004730e+07
2020-03-15 12:55:00,6.3402008283e+08,6.3402008283e+08,2.9395991533e+07,2.9395991533e+07
2020-03-15 13:00:00,7.8667195813e+08,7.8667195813e+08,3.3823462896e+07,3.3823462896e+07
2020-03-15 13:05:00,8.4861737925e+08,8.4861737925e+08,4.1475326030e+07,4.1475326030e+07
2020-03-15 13:10:00,7.2782256753e+08,7.2782256753e+08,1.5321373543e+08,1.5321373543e+08
2020-03-15 13:15:00,7.0756800226e+08,7.0756800226e+08,6.0345068945e+07,6.0345068945e+07
2020-03-15 13:20:00,6.0577437973e+08,6.0577437973e+08,5.5690473819e+07,5.5690473819e+07
2020-03-15 13:25:00,6.5578341523e+08,6.5578341523e+08,4.3700291925e+07,4.3700291925e+07
2020-03-15 13:30:00,7.7463149363e+08,7.7463149363e+08,3.9459705657e+07,3.9459705657e+07
2020-03-15 13:35:00,7.1618838613e+08,7.1618838613e+08,5.6819275190e+07,5.6819275190e+07
2020-03-15 13:40:00,7.1131878998e+08,7.1131878998e+08,1.3540716193e+08,1.3540716193e+08
2020-03-15 13:45:00,6.1207755957e+08,6.1207755957e+08,4.2360205459e+07,4.2360205459e+07
