DATE,LTPL,LTPL_peak,PLLT,LTPL_peak
2020-03-15 15:25:00,9.6654186463e+08,9.6654186463e+08,4.0928074676e+08,4.0928074676e+08
2020-03-15 15:30:00,9.1867876852e+08,9.1867876852e+08,4.4983832539e+08,4.4983832539e+08
2020-03-15 15:35:00,8.6501370414e+08,8.6501370414e+08,4.6544450870e+08,4.6544450870e+08
2020-03-15 15:40:00,8.9067625652e+08,8.9067625652e+08,4.7417880377e+08,4.7417880377e+08
2020-03-15 15:45:00,1.1130798526e+09,1.1130798526e+09,4.8421932002e+08,4.8421932002e+08
2020-03-15 15:50:00,1.1278473909e+09,1.1278473909e+09,4.7329968450e+08,4.7329968450e+08
2020-03-15 15:55:00,1.1387913189e+09,1.1387913189e+09,4.1382781075e+08,4.1382781075e+08
2020-03-15 16:00:00,9.8703725855e+08,9.8703725855e+08,4.6468949358e+08,4.6468949358e+08
2020-03-15 16:05:00,1.0336592272e+09,1.0336592272e+09,5.0936228199e+08,5.0936228199e+08
2020-03-15 16:10:00,1.0260207600e+09,1.0260207600e+09,4.4627508073e+08,4.4627508073e+08
2020-03-15 16:15:00,1.0106844437e+09,1.0106844437e+09,5.2124924762e+08,5.2124924762e+08
2020-03-15 16:20:00,1.0655790743e+09,1.0655790743e+09,7.8451248068e+08,7.8451248068e+08
2020-03-15 16:25:00,1.0121884095e+09,1.0121884095e+09,8.4355042164e+08,8.4355042164e+08
2020-03-15 16:30:00,9.1195217806e+08,9.1195217806e+08,4.8962241164e+08,4.8962241164e+08
2020-03-15 16:35:00,1.0911427052e+09,1.0911427052e+09,5.6400817570e+08,5.6400817570e+08
2020-03-15 16:40:00,9.3747879619e+08,9.3747879619e+08,5.3609968913e+08,5.3609968913e+08
2020-03-15 16:45:00,8.8517119169e+08,8.8517119169e+08,5.3633409930e+08,5.3633409930e+08
2020-03-15 16:50:00,9.0692707699e+08,9.0692707699e+08,6.3883512314e+08,6.3883512314e+08
2020-03-15 16:55:00,8.9021873237e+08,8.9021873237e+08,6.0527617840e+08,6.0527617840e+08
2020-03-15 17:00:00,9.0795463693e+08,9.0795463693e+08,4.9622665034e+08,4.9622665034e+08
2020-03-15 17:05:00,9.6977298267e+08,9.6977298267e+08,5.4215900887e+08,5.4215900887e+08
2020-03-15 17:10:00,9.8117290520e+08,9.8117290520e+08,4.3435100226e+08,4.3435100226e+08
2020-03-15 17:15:00,9.3580879369e+08,9.3580879369e+08,4.1578593793e+08,4.1578593793e+08
2020-03-15 17:20:00,9.5626977632e+08,9.5626977632e+08,4.0002769493e+08,4.0002769493e+08
2020-03-15 17:25:00,1.0243504398e+09,1.0243504398e+09,4.2480997036e+08,4.2480997036e+08
2020-03-15 17:30:00,1.0146985616e+09,1.0146985616e+09,4.8384410119e+08,4.8384410119e+08
2020-03-15 17:35:00,1.0339997818e+09,1.0339997818e+09,5.0673091888e+08,5.0673091888e+08
2020-03-15 17:40:00,1.1063925204e+09,1.1063925204e+09,6.8121803654e+08,6.8121803654e+08
2020-03-15 17:45:00,1.1125289642e+09,1.1125289642e+09,8.0816689835e+08,8.0816689835e+08
2020-03-15 17:50:00,1.1485581045e+09,1.1485581045e+09,1.0673384876e+09,1.0673384876e+09
2020-03-15 17:55:00,1.1436272076e+09,1.1436272076e+09,7.9299257376e+08,7.9299257376e+08
2020-03-15 18:00:00,1.1485195779e+09,1.1485195779e+09,8.4498544639e+08,8.4498544639e+08
2020-03-15 18:05:00,1.1688706151e+09,1.1688706151e+09,6.9063867635e+08,6.9063867635e+08
2020-03-15 18:10:00,1.0864632526e+09,1.0864632526e+09,7.9117058840e+08,7.9117058840e+08
2020-03-15 18:15:00,1.1027389720e+09,1.1027389720e+09,4.7966627915e+08,4.7966627915e+08
2020-03-15 18:20:00,1.1956060391e+09,1.1956060391e+09,5.5132781326e+08,5.5132781326e+08
2020-03-15 18:25:00,1.0374885525e+09,1.0374885525e+09,5.7460108921e+08,5.7460108921e+08
2020-03-15 18:30:00,1.0829581369e+09,1.0829581369e+09,6.9359667572e+08,6.9359667572e+08
2020-03-15 18:35:00,1.0872319261e+09,1.0872319261e+09,4.8270661141e+08,4.8270661141e+08
2020-03-15 18:40:00,1.1393407901e+09,1.1393407901e+09,6.0321744963e+08,6.0321744963e+08
2020-03-15 18:45:00,1.0928998638e+09,1.0928998638e+09,6.1698930055e+08,6.1698930055e+08
2020-03-15 18:50:00,1.0581778168e+09,1.0581778168e+09,5.6926764904e+08,5.6926764904e+08
2020-03-15 18:55:00,1.0829771101e+09,1.0829771101e+09,6.6162918105e+08,6.6162918105e+08
