DATE,DECH,DECH_peak,CHDE,CHDE_peak
2020-03-15 08:30:00,2.6685121436e+10,2.6685121436e+10,3.1215727159e+10,3.1215727159e+10
2020-03-15 08:35:00,3.0152434302e+10,3.0152434302e+10,2.9818801676e+10,2.9818801676e+10
2020-03-15 08:40:00,2.5351603555e+10,2.5351603555e+10,3.0493603432e+10,3.0493603432e+10
2020-03-15 08:45:00,2.4454221051e+10,2.4454221051e+10,3.3103017392e+10,3.3103017392e+10
2020-03-15 08:50:00,3.0037223576e+10,3.0037223576e+10,3.1969401282e+10,3.1969401282e+10
2020-03-15 08:55:00,3.5036642128e+10,3.5036642128e+10,2.8277453280e+10,2.8277453280e+10
2020-03-15 09:00:00,3.6218618242e+10,3.6218618242e+10,3.0773624640e+10,3.0773624640e+10
2020-03-15 09:05:00,3.0612073050e+10,3.0612073050e+10,3.0381398332e+10,3.0381398332e+10
2020-03-15 09:10:00,3.4826409997e+10,3.4826409997e+10,2.9870030154e+10,2.9870030154e+10
2020-03-15 09:15:00,4.4775223445e+10,4.4775223445e+10,4.2503887079e+10,4.2503887079e+10
2020-03-15 09:20:00,2.4295468486e+10,2.4295468486e+10,3.9787055667e+10,3.9787055667e+10
2020-03-15 09:25:00,2.3726950037e+10,2.3726950037e+10,3.5084807921e+10,3.5084807921e+10
2020-03-15 09:30:00,2.9432941576e+10,2.9432941576e+10,4.8671809947e+10,4.8671809947e+10
2020-03-15 09:35:00,2.6953236222e+10,2.6953236222e+10,2.9944219645e+10,2.9944219645e+10
2020-03-15 09:40:00,2.9970452665e+10,2.9970452665e+10,4.1278085060e+10,4.1278085060e+10
2020-03-15 09:45:00,2.8690633801e+10,2.8690633801e+10,4.1754371030e+10,4.1754371030e+10
2020-03-15 09:50:00,3.0322933132e+10,3.0322933132e+10,4.0774720577e+10,4.0774720577e+10
2020-03-15 09:55:00,3.1692141764e+10,3.1692141764e+10,5.5383234131e+10,5.5383234131e+10
2020-03-15 10:00:00,2.9172052546e+10,2.9172052546e+10,5.3557741429e+10,5.3557741429e+10
2020-03-15 10:05:00,2.7835536102e+10,2.7835536102e+10,4.8195152349e+10,4.8195152349e+10
2020-03-15 10:10:00,2.6250728249e+10,2.6250728249e+10,4.0059207891e+10,4.0059207891e+10
2020-03-15 10:15:00,2.2495903526e+10,2.2495903526e+10,3.8795097547e+10,3.8795097547e+10
2020-03-15 10:20:00,2.6597884250e+10,2.6597884250e+10,5.3973947340e+10,5.3973947340e+10
2020-03-15 10:25:00,3.4013509967e+10,3.4013509967e+10,4.6018586915e+10,4.6018586915e+10
2020-03-15 10:30:00,4.2040812159e+10,4.2040812159e+10,5.3419464449e+10,5.3419464449e+10
2020-03-15 10:35:00,3.4393586141e+10,3.4393586141e+10,5.0764299005e+10,5.0764299005e+10
2020-03-15 10:40:00,2.8433164588e+10,2.8433164588e+10,4.1605904685e+10,4.1605904685e+10
2020-03-15 10:45:00,2.7348579224e+10,2.7348579224e+10,5.4255696455e+10,5.4255696455e+10
2020-03-15 10:50:00,3.0012693218e+10,3.0012693218e+10,4.8775796578e+10,4.8775796578e+10
2020-03-15 10:55:00,3.3705992235e+10,3.3705992235e+10,5.4015288050e+10,5.4015288050e+10
2020-03-15 11:00:00,3.3624827260e+10,3.3624827260e+10,6.2345911533e+10,6.2345911533e+10
2020-03-15 11:05:00,3.1616573625e+10,3.1616573625e+10,5.7419809861e+10,5.7419809861e+10
2020-03-15 11:10:00,2.6904197800e+10,2.6904197800e+10,5.0222981585e+10,5.0222981585e+10
2020-03-15 11:15:00,3.1088566145e+10,3.1088566145e+10,4.5274848838e+10,4.5274848838e+10
2020-03-15 11:20:00,3.4990280622e+10,3.4990280622e+10,3.4881743773e+10,3.4881743773e+10
2020-03-15 11:25:00,3.4817215268e+10,3.4817215268e+10,3.4149783421e+10,3.4149783421e+10
2020-03-15 11:30:00,4.0091273920e+10,4.0091273920e+10,5.0612678252e+10,5.0612678252e+10
2020-03-15 11:35:00,3.1760329100e+10,3.1760329100e+10,3.8233027194e+10,3.8233027194e+10
2020-03-15 11:40:00,2.8239980400e+10,2.8239980400e+10,3.4741247120e+10,3.4741247120e+10
2020-03-15 11:45:00,2.9755716897e+10,2.9755716897e+10,3.5683007358e+10,3.5683007358e+10
2020-03-15 11:50:00,2.9433744566e+10,2.9433744566e+10,4.2983865089e+10,4.2983865089e+10
2020-03-15 11:55:00,2.8976771712e+10,2.8976771712e+10,4.9378210313e+10,4.9378210313e+10
2020-03-15 12:00:00,2.5458975019e+10,2.5458975019e+10,4.4722407439e+10,4.4722407439e+10
2020-03-15 12:05:00,2.6116987245e+10,2.6116987245e+10,7.8928745012e+10,7.8928745012e+10
