DATE,CHES,CHES_peak,ESCH,CHES_peak
2020-03-22 11:55:00,7.3922829800e+09,7.3922829800e+09,1.1917739131e+10,1.1917739131e+10
2020-03-22 12:00:00,5.8947290916e+09,5.8947290916e+09,1.0818022154e+10,1.0818022154e+10
2020-03-22 12:05:00,6.8429506905e+09,6.8429506905e+09,1.1330741342e+10,1.1330741342e+10
2020-03-22 12:10:00,4.3534643556e+09,4.3534643556e+09,1.0016305537e+10,1.0016305537e+10
2020-03-22 12:15:00,5.4752580976e+09,5.4752580976e+09,1.1307991640e+10,1.1307991640e+10
2020-03-22 12:20:00,3.3671413499e+09,3.3671413499e+09,1.1382913584e+10,1.1382913584e+10
2020-03-22 12:25:00,2.8315437288e+09,2.8315437288e+09,1.0657279029e+10,1.0657279029e+10
2020-03-22 12:30:00,3.3824456238e+09,3.3824456238e+09,1.1011345634e+10,1.1011345634e+10
2020-03-22 12:35:00,5.0886325850e+09,5.0886325850e+09,1.1757430798e+10,1.1757430798e+10
2020-03-22 12:40:00,3.0242494302e+09,3.0242494302e+09,1.1369111136e+10,1.1369111136e+10
2020-03-22 12:45:00,2.9944041808e+09,2.9944041808e+09,1.1285577246e+10,1.1285577246e+10
2020-03-22 12:50:00,2.9443425438e+09,2.9443425438e+09,1.0703665890e+10,1.0703665890e+10
2020-03-22 12:55:00,4.8226457144e+09,4.8226457144e+09,1.1117596556e+10,1.1117596556e+10
2020-03-22 13:00:00,5.0186094172e+09,5.0186094172e+09,1.2009537135e+10,1.2009537135e+10
2020-03-22 13:05:00,5.4396869183e+09,5.4396869183e+09,1.2761236369e+10,1.2761236369e+10
2020-03-22 13:10:00,3.7733736041e+09,3.7733736041e+09,1.2365302066e+10,1.2365302066e+10
2020-03-22 13:15:00,5.8810582941e+09,5.8810582941e+09,1.1511502036e+10,1.1511502036e+10
2020-03-22 13:20:00,5.1607314652e+09,5.1607314652e+09,1.2024903278e+10,1.2024903278e+10
2020-03-22 13:25:00,4.2238248272e+09,4.2238248272e+09,1.1581654696e+10,1.1581654696e+10
2020-03-22 13:30:00,5.0762318311e+09,5.0762318311e+09,1.1262692871e+10,1.1262692871e+10
2020-03-22 13:35:00,5.9508486416e+09,5.9508486416e+09,1.1599905727e+10,1.1599905727e+10
2020-03-22 13:40:00,4.8036800970e+09,4.8036800970e+09,1.2306451738e+10,1.2306451738e+10
2020-03-22 13:45:00,5.0046449919e+09,5.0046449919e+09,1.3207914661e+10,1.3207914661e+10
2020-03-22 13:50:00,5.6730544362e+09,5.6730544362e+09,1.1213984995e+10,1.1213984995e+10
2020-03-22 13:55:00,6.2043235192e+09,6.2043235192e+09,1.1567735261e+10,1.1567735261e+10
2020-03-22 14:00:00,6.1279445431e+09,6.1279445431e+09,1.1525529594e+10,1.1525529594e+10
2020-03-22 14:05:00,5.1744063224e+09,5.1744063224e+09,1.1454992225e+10,1.1454992225e+10
2020-03-22 14:10:00,4.7879041538e+09,4.7879041538e+09,1.1255475383e+10,1.1255475383e+10
2020-03-22 14:15:00,5.0578464484e+09,5.0578464484e+09,1.0800727095e+10,1.0800727095e+10
2020-03-22 14:20:00,5.0075894562e+09,5.0075894562e+09,1.0666778805e+10,1.0666778805e+10
2020-03-22 14:25:00,4.1323608605e+09,4.1323608605e+09,9.9106229448e+09,9.9106229448e+09
2020-03-22 14:30:00,3.7201052549e+09,3.7201052549e+09,1.0025749256e+10,1.0025749256e+10
2020-03-22 14:35:00,5.3689869757e+09,5.3689869757e+09,1.0390090407e+10,1.0390090407e+10
2020-03-22 14:40:00,4.3142303581e+09,4.3142303581e+09,1.0481600171e+10,1.0481600171e+10
2020-03-22 14:45:00,3.6293917019e+09,3.6293917019e+09,1.0658670836e+10,1.0658670836e+10
2020-03-22 14:50:00,4.3115879842e+09,4.3115879842e+09,9.9889412208e+09,9.9889412208e+09
2020-03-22 14:55:00,4.1779554180e+09,4.1779554180e+09,1.0416280812e+10,1.0416280812e+10
2020-03-22 15:00:00,3.7933581040e+09,3.7933581040e+09,9.8874263429e+09,9.8874263429e+09
2020-03-22 15:05:00,3.2814249641e+09,3.2814249641e+09,9.1479678094e+09,9.1479678094e+09
2020-03-22 15:10:00,3.6355754229e+09,3.6355754229e+09,9.7041643337e+09,9.7041643337e+09
2020-03-22 15:15:00,3.4981948261e+09,3.4981948261e+09,9.5420102821e+09,9.5420102821e+09
2020-03-22 15:20:00,3.9984606020e+09,3.9984606020e+09,9.0622866336e+09,9.0622866336e+09
2020-03-22 15:25:00,3.5503254575e+09,3.5503254575e+09,8.4923582669e+09,8.4923582669e+09
2020-03-22 15:30:00,4.0194863032e+09,4.0194863032e+09,8.5514579151e+09,8.5514579151e+09
2020-03-22 15:35:00,3.8482733661e+09,3.8482733661e+09,8.3669555524e+09,8.3669555524e+09
2020-03-22 15:40:00,3.6068655866e+09,3.6068655866e+09,8.5167797573e+09,8.5167797573e+09
2020-03-22 15:45:00,4.6201742266e+09,4.6201742266e+09,7.4165623512e+09,7.4165623512e+09
2020-03-22 15:50:00,4.1567227079e+09,4.1567227079e+09,7.5067110900e+09,7.5067110900e+09
2020-03-22 15:55:00,4.3858501953e+09,4.3858501953e+09,7.3844433188e+09,7.3844433188e+09
2020-03-22 16:00:00,6.4027640214e+09,6.4027640214e+09,7.7850758746e+09,7.7850758746e+09
2020-03-22 16:05:00,6.6713743028e+09,6.6713743028e+09,7.7379015640e+09,7.7379015640e+09
2020-03-22 16:10:00,5.4509281108e+09,5.4509281108e+09,7.7367012409e+09,7.7367012409e+09
2020-03-22 16:15:00,4.6960693956e+09,4.6960693956e+09,7.4570145028e+09,7.4570145028e+09
2020-03-22 16:20:00,4.4280182680e+09,4.4280182680e+09,7.3081771426e+09,7.3081771426e+09
2020-03-22 16:25:00,5.0717935104e+09,5.0717935104e+09,8.4210020086e+09,8.4210020086e+09
2020-03-22 16:30:00,4.8635225547e+09,4.8635225547e+09,8.5656737951e+09,8.5656737951e+09
2020-03-22 16:35:00,4.9892723092e+09,4.9892723092e+09,7.5393733230e+09,7.5393733230e+09
2020-03-22 16:40:00,5.7739530751e+09,5.7739530751e+09,7.2577207883e+09,7.2577207883e+09
2020-03-22 16:45:00,6.7942241085e+09,6.7942241085e+09,7.9448905170e+09,7.9448905170e+09
2020-03-22 16:50:00,5.7656292311e+09,5.7656292311e+09,7.3711847664e+09,7.3711847664e+09
2020-03-22 16:55:00,5.3258144489e+09,5.3258144489e+09,7.1769667100e+09,7.1769667100e+09
2020-03-22 17:00:00,6.7317974986e+09,6.7317974986e+09,9.0873628388e+09,9.0873628388e+09
2020-03-22 17:05:00,7.0855162419e+09,7.0855162419e+09,1.0949470928e+10,1.0949470928e+10
2020-03-22 17:10:00,6.3963080885e+09,6.3963080885e+09,1.0245775100e+10,1.0245775100e+10
2020-03-22 17:15:00,6.4619794399e+09,6.4619794399e+09,1.0273639840e+10,1.0273639840e+10
2020-03-22 17:20:00,6.6378060239e+09,6.6378060239e+09,9.0761959915e+09,9.0761959915e+09
2020-03-22 17:25:00,6.2226423749e+09,6.2226423749e+09,8.2095428488e+09,8.2095428488e+09
2020-03-22 17:30:00,5.4966660275e+09,5.4966660275e+09,8.7625700888e+09,8.7625700888e+09
2020-03-22 17:35:00,6.1502232249e+09,6.1502232249e+09,9.0091294651e+09,9.0091294651e+09
2020-03-22 17:40:00,6.6071450839e+09,6.6071450839e+09,8.9811440157e+09,8.9811440157e+09
2020-03-22 17:45:00,5.4819321438e+09,5.4819321438e+09,8.4608885962e+09,8.4608885962e+09
2020-03-22 17:50:00,5.8500700211e+09,5.8500700211e+09,8.5491366602e+09,8.5491366602e+09
2020-03-22 17:55:00,6.4548243043e+09,6.4548243043e+09,7.5540329666e+09,7.5540329666e+09
2020-03-22 18:00:00,8.9623199816e+09,8.9623199816e+09,1.0209182773e+10,1.0209182773e+10
2020-03-22 18:05:00,6.5036773976e+09,6.5036773976e+09,9.2994648814e+09,9.2994648814e+09
2020-03-22 18:10:00,6.0201082981e+09,6.0201082981e+09,7.6998109599e+09,7.6998109599e+09
2020-03-22 18:15:00,6.7579906774e+09,6.7579906774e+09,8.4912735039e+09,8.4912735039e+09
2020-03-22 18:20:00,5.4032791821e+09,5.4032791821e+09,7.9097837350e+09,7.9097837350e+09
2020-03-22 18:25:00,5.5452087951e+09,5.5452087951e+09,8.7791943047e+09,8.7791943047e+09
2020-03-22 18:30:00,6.0622394778e+09,6.0622394778e+09,8.8248794328e+09,8.8248794328e+09
2020-03-22 18:35:00,5.8443338563e+09,5.8443338563e+09,8.9859686449e+09,8.9859686449e+09
2020-03-22 18:40:00,6.0041341993e+09,6.0041341993e+09,8.9894752839e+09,8.9894752839e+09
2020-03-22 18:45:00,5.9566177984e+09,5.9566177984e+09,8.9724463050e+09,8.9724463050e+09
2020-03-22 18:50:00,5.4312289729e+09,5.4312289729e+09,9.4374916825e+09,9.4374916825e+09
2020-03-22 18:55:00,5.6695574630e+09,5.6695574630e+09,9.4829108721e+09,9.4829108721e+09
2020-03-22 19:00:00,5.7779968932e+09,5.7779968932e+09,9.7508047466e+09,9.7508047466e+09
2020-03-22 19:05:00,6.5044277251e+09,6.5044277251e+09,1.0810444958e+10,1.0810444958e+10
2020-03-22 19:10:00,6.1922897017e+09,6.1922897017e+09,1.2342420457e+10,1.2342420457e+10
2020-03-22 19:15:00,6.5735000235e+09,6.5735000235e+09,1.1398827800e+10,1.1398827800e+10
2020-03-22 19:20:00,6.7463586197e+09,6.7463586197e+09,9.7443344578e+09,9.7443344578e+09
2020-03-22 19:25:00,8.0704100934e+09,8.0704100934e+09,1.1333938865e+10,1.1333938865e+10
2020-03-22 19:30:00,5.4685942623e+09,5.4685942623e+09,1.2759957848e+10,1.2759957848e+10
2020-03-22 19:35:00,5.5652387339e+09,5.5652387339e+09,9.8063151156e+09,9.8063151156e+09
2020-03-22 19:40:00,4.1858769397e+09,4.1858769397e+09,1.0664388896e+10,1.0664388896e+10
2020-03-22 19:45:00,5.3949530960e+09,5.3949530960e+09,9.6629283493e+09,9.6629283493e+09
2020-03-22 19:50:00,4.5480289963e+09,4.5480289963e+09,1.0064905855e+10,1.0064905855e+10
