DATE,LNLV,LNLV_peak,LVLN,LNLV_peak
2020-03-26 08:55:00,6.7481078592e+05,6.7481078592e+05,1.9171493647e+06,1.9171493647e+06
2020-03-26 09:00:00,5.8860323182e+05,5.8860323182e+05,5.5987041956e+05,5.5987041956e+05
2020-03-26 09:05:00,6.6846510596e+05,6.6846510596e+05,3.6605997097e+06,3.6605997097e+06
2020-03-26 09:10:00,6.8490769184e+05,6.8490769184e+05,5.8740721749e+05,5.8740721749e+05
2020-03-26 09:15:00,6.0506110340e+05,6.0506110340e+05,5.5193127180e+05,5.5193127180e+05
2020-03-26 09:20:00,6.0291243925e+05,6.0291243925e+05,1.4067202709e+06,1.4067202709e+06
2020-03-26 09:25:00,4.9601590169e+05,4.9601590169e+05,1.5372925273e+06,1.5372925273e+06
2020-03-26 09:30:00,5.4683465351e+05,5.4683465351e+05,5.7402212498e+05,5.7402212498e+05
2020-03-26 09:35:00,5.6683464837e+05,5.6683464837e+05,5.6198606164e+05,5.6198606164e+05
2020-03-26 09:40:00,7.1238875812e+05,7.1238875812e+05,5.6335423259e+05,5.6335423259e+05
2020-03-26 09:45:00,5.8338322280e+05,5.8338322280e+05,5.7955012792e+05,5.7955012792e+05
2020-03-26 09:50:00,5.6215797142e+05,5.6215797142e+05,8.1162317288e+05,8.1162317288e+05
2020-03-26 09:55:00,6.1353687858e+05,6.1353687858e+05,2.0220727879e+06,2.0220727879e+06
2020-03-26 10:00:00,5.9226881920e+05,5.9226881920e+05,5.9389773298e+05,5.9389773298e+05
2020-03-26 10:05:00,5.8734211167e+05,5.8734211167e+05,3.6402321546e+06,3.6402321546e+06
2020-03-26 10:10:00,6.3628856549e+05,6.3628856549e+05,5.6871147936e+05,5.6871147936e+05
2020-03-26 10:15:00,5.4025093994e+05,5.4025093994e+05,5.5063503967e+05,5.5063503967e+05
2020-03-26 10:20:00,5.5907742817e+05,5.5907742817e+05,8.0641216459e+05,8.0641216459e+05
2020-03-26 10:25:00,5.6889734144e+05,5.6889734144e+05,1.8746959561e+06,1.8746959561e+06
2020-03-26 10:30:00,5.4122942823e+05,5.4122942823e+05,5.7264496429e+05,5.7264496429e+05
2020-03-26 10:35:00,5.3983667488e+05,5.3983667488e+05,5.8053957827e+05,5.8053957827e+05
2020-03-26 10:40:00,5.5720784867e+05,5.5720784867e+05,5.9111463248e+05,5.9111463248e+05
2020-03-26 10:45:00,5.2925983214e+05,5.2925983214e+05,7.4121412533e+05,7.4121412533e+05
2020-03-26 10:50:00,5.6857725604e+05,5.6857725604e+05,6.4640953032e+06,6.4640953032e+06
2020-03-26 10:55:00,6.3715347876e+05,6.3715347876e+05,1.8573430999e+06,1.8573430999e+06
2020-03-26 11:00:00,9.0905934227e+07,9.0905934227e+07,1.9124658567e+06,1.9124658567e+06
2020-03-26 11:05:00,1.1623645145e+06,1.1623645145e+06,3.6342776235e+06,3.6342776235e+06
2020-03-26 11:10:00,5.6908601185e+05,5.6908601185e+05,6.0554926115e+05,6.0554926115e+05
2020-03-26 11:15:00,5.6675215260e+05,5.6675215260e+05,5.5462107572e+05,5.5462107572e+05
2020-03-26 11:20:00,5.4627415520e+05,5.4627415520e+05,7.8266386633e+05,7.8266386633e+05
2020-03-26 11:25:00,5.7125379726e+05,5.7125379726e+05,1.9124278606e+06,1.9124278606e+06
2020-03-26 11:30:00,5.5977339168e+05,5.5977339168e+05,1.1612680100e+06,1.1612680100e+06
2020-03-26 11:35:00,5.3336788999e+05,5.3336788999e+05,8.4533376012e+05,8.4533376012e+05
