DATE,UKUI,UKUI_peak,UIUK,UIUK_peak
2020-03-15 11:15:00,4.5754603780e+10,4.5754603780e+10,2.7139713665e+10,2.7139713665e+10
2020-03-15 11:20:00,2.8067675905e+10,2.8067675905e+10,2.3415405940e+10,2.3415405940e+10
2020-03-15 11:25:00,2.6500844329e+10,2.6500844329e+10,3.5980294045e+10,3.5980294045e+10
2020-03-15 11:30:00,3.7071480910e+10,3.7071480910e+10,3.5655153006e+10,3.5655153006e+10
2020-03-15 11:35:00,3.4962337318e+10,3.4962337318e+10,2.9289225458e+10,2.9289225458e+10
2020-03-15 11:40:00,3.3338983666e+10,3.3338983666e+10,2.9153473123e+10,2.9153473123e+10
2020-03-15 11:45:00,3.3873851578e+10,3.3873851578e+10,3.0836975425e+10,3.0836975425e+10
2020-03-15 11:50:00,2.6066216854e+10,2.6066216854e+10,3.3150777285e+10,3.3150777285e+10
2020-03-15 11:55:00,2.9064836867e+10,2.9064836867e+10,2.7976948930e+10,2.7976948930e+10
2020-03-15 12:00:00,4.5696251661e+10,4.5696251661e+10,3.2359196259e+10,3.2359196259e+10
2020-03-15 12:05:00,2.9327201883e+10,2.9327201883e+10,4.1786324420e+10,4.1786324420e+10
2020-03-15 12:10:00,3.3872663022e+10,3.3872663022e+10,3.0558389149e+10,3.0558389149e+10
2020-03-15 12:15:00,3.4405518755e+10,3.4405518755e+10,3.2297907357e+10,3.2297907357e+10
2020-03-15 12:20:00,4.6752694512e+10,4.6752694512e+10,3.4578969580e+10,3.4578969580e+10
2020-03-15 12:25:00,3.1037640441e+10,3.1037640441e+10,2.7905169518e+10,2.7905169518e+10
2020-03-15 12:30:00,3.3738436018e+10,3.3738436018e+10,3.5924389070e+10,3.5924389070e+10
2020-03-15 12:35:00,5.3843954103e+10,5.3843954103e+10,3.8537072453e+10,3.8537072453e+10
2020-03-15 12:40:00,3.9255249572e+10,3.9255249572e+10,3.8746967806e+10,3.8746967806e+10
2020-03-15 12:45:00,3.8928028323e+10,3.8928028323e+10,4.0018166025e+10,4.0018166025e+10
2020-03-15 12:50:00,3.8009309849e+10,3.8009309849e+10,4.1465690303e+10,4.1465690303e+10
2020-03-15 12:55:00,3.7710337140e+10,3.7710337140e+10,2.6994359149e+10,2.6994359149e+10
2020-03-15 13:00:00,3.6938568645e+10,3.6938568645e+10,4.3776998970e+10,4.3776998970e+10
2020-03-15 13:05:00,2.8005876718e+10,2.8005876718e+10,3.1700552390e+10,3.1700552390e+10
2020-03-15 13:10:00,3.8921739312e+10,3.8921739312e+10,3.7425348472e+10,3.7425348472e+10
2020-03-15 13:15:00,3.9458913960e+10,3.9458913960e+10,4.1403711680e+10,4.1403711680e+10
2020-03-15 13:20:00,3.3243968068e+10,3.3243968068e+10,3.6635948130e+10,3.6635948130e+10
2020-03-15 13:25:00,3.2828857351e+10,3.2828857351e+10,4.1563733926e+10,4.1563733926e+10
