DATE,DEPL,DEPL_peak,PLDE,DEPL_peak
2020-03-25 11:20:00,3.5364762329e+09,3.5364762329e+09,6.9741211886e+09,6.9741211886e+09
2020-03-25 11:25:00,3.3292529823e+09,3.3292529823e+09,6.9751272214e+09,6.9751272214e+09
2020-03-25 11:30:00,2.9168900807e+09,2.9168900807e+09,6.7602951984e+09,6.7602951984e+09
2020-03-25 11:35:00,3.0229197357e+09,3.0229197357e+09,6.2080534290e+09,6.2080534290e+09
2020-03-25 11:40:00,3.0513395023e+09,3.0513395023e+09,6.3593720952e+09,6.3593720952e+09
2020-03-25 11:45:00,3.8077043488e+09,3.8077043488e+09,6.9620724899e+09,6.9620724899e+09
2020-03-25 11:50:00,3.9854011301e+09,3.9854011301e+09,7.0554891269e+09,7.0554891269e+09
2020-03-25 11:55:00,3.8143227327e+09,3.8143227327e+09,6.7879080423e+09,6.7879080423e+09
2020-03-25 12:00:00,3.6804664665e+09,3.6804664665e+09,6.5273647413e+09,6.5273647413e+09
2020-03-25 12:05:00,4.1423172722e+09,4.1423172722e+09,6.7782776495e+09,6.7782776495e+09
2020-03-25 12:10:00,3.1196210829e+09,3.1196210829e+09,6.8433818586e+09,6.8433818586e+09
2020-03-25 12:15:00,2.8875274650e+09,2.8875274650e+09,6.2221860364e+09,6.2221860364e+09
2020-03-25 12:20:00,3.5658366694e+09,3.5658366694e+09,6.2240655953e+09,6.2240655953e+09
2020-03-25 12:25:00,2.9333173641e+09,2.9333173641e+09,6.1638633536e+09,6.1638633536e+09
2020-03-25 12:30:00,3.7276386416e+09,3.7276386416e+09,5.8723636023e+09,5.8723636023e+09
2020-03-25 12:35:00,4.1460393063e+09,4.1460393063e+09,6.6635470697e+09,6.6635470697e+09
2020-03-25 12:40:00,3.6425319702e+09,3.6425319702e+09,6.7110439590e+09,6.7110439590e+09
2020-03-25 12:45:00,3.5052656481e+09,3.5052656481e+09,6.1116128252e+09,6.1116128252e+09
2020-03-25 12:50:00,3.2078944829e+09,3.2078944829e+09,6.1613065092e+09,6.1613065092e+09
2020-03-25 12:55:00,2.9150766438e+09,2.9150766438e+09,6.0227055814e+09,6.0227055814e+09
2020-03-25 13:00:00,3.7697644400e+09,3.7697644400e+09,5.9108518174e+09,5.9108518174e+09
2020-03-25 13:05:00,3.5175330190e+09,3.5175330190e+09,5.6236040278e+09,5.6236040278e+09
2020-03-25 13:10:00,2.9245436188e+09,2.9245436188e+09,5.4898087685e+09,5.4898087685e+09
2020-03-25 13:15:00,3.0581017713e+09,3.0581017713e+09,5.8814530094e+09,5.8814530094e+09
2020-03-25 13:20:00,3.2999983037e+09,3.2999983037e+09,5.7406869607e+09,5.7406869607e+09
2020-03-25 13:25:00,3.3738181999e+09,3.3738181999e+09,5.4991095712e+09,5.4991095712e+09
2020-03-25 13:30:00,3.1416296491e+09,3.1416296491e+09,5.9894776011e+09,5.9894776011e+09
2020-03-25 13:35:00,5.5072822282e+09,5.5072822282e+09,5.3291220674e+09,5.3291220674e+09
2020-03-25 13:40:00,4.4301435237e+09,4.4301435237e+09,5.6530415619e+09,5.6530415619e+09
2020-03-25 13:45:00,3.6330333236e+09,3.6330333236e+09,7.1836191999e+09,7.1836191999e+09
2020-03-25 13:50:00,3.1046218935e+09,3.1046218935e+09,5.6638250162e+09,5.6638250162e+09
2020-03-25 13:55:00,3.4857697439e+09,3.4857697439e+09,6.4126993179e+09,6.4126993179e+09
2020-03-25 14:00:00,3.7985069679e+09,3.7985069679e+09,6.0819047219e+09,6.0819047219e+09
2020-03-25 14:05:00,3.7753982099e+09,3.7753982099e+09,5.0505421881e+09,5.0505421881e+09
2020-03-25 14:10:00,2.9243136932e+09,2.9243136932e+09,5.6094058540e+09,5.6094058540e+09
2020-03-25 14:15:00,3.1202321385e+09,3.1202321385e+09,5.1776538169e+09,5.1776538169e+09
2020-03-25 14:20:00,3.8250190239e+09,3.8250190239e+09,5.1494370912e+09,5.1494370912e+09
2020-03-25 14:25:00,3.3979553472e+09,3.3979553472e+09,4.9880017211e+09,4.9880017211e+09
2020-03-25 14:30:00,3.7634386898e+09,3.7634386898e+09,5.0690064683e+09,5.0690064683e+09
2020-03-25 14:35:00,3.4834540831e+09,3.4834540831e+09,5.3391080825e+09,5.3391080825e+09
2020-03-25 14:40:00,3.4745244024e+09,3.4745244024e+09,5.3869541777e+09,5.3869541777e+09
2020-03-25 14:45:00,3.7402775455e+09,3.7402775455e+09,5.2444728839e+09,5.2444728839e+09
2020-03-25 14:50:00,3.1304542972e+09,3.1304542972e+09,5.1503858884e+09,5.1503858884e+09
2020-03-25 14:55:00,2.9404730367e+09,2.9404730367e+09,5.2489631371e+09,5.2489631371e+09
2020-03-25 15:00:00,3.0929752063e+09,3.0929752063e+09,5.1858940467e+09,5.1858940467e+09
2020-03-25 15:05:00,3.4202100747e+09,3.4202100747e+09,4.7115892665e+09,4.7115892665e+09
2020-03-25 15:10:00,3.7587026436e+09,3.7587026436e+09,5.0019302515e+09,5.0019302515e+09
2020-03-25 15:15:00,4.2521748272e+09,4.2521748272e+09,5.2951863734e+09,5.2951863734e+09
2020-03-25 15:20:00,3.9043285145e+09,3.9043285145e+09,4.8335572479e+09,4.8335572479e+09
2020-03-25 15:25:00,3.7087111292e+09,3.7087111292e+09,4.8336877395e+09,4.8336877395e+09
