DATE,IRIE,IRIE_peak,IEIR,IEIR_peak
2020-03-22 13:45:00,6.9657373450e+07,6.9657373450e+07,2.5649658233e+07,2.5649658233e+07
2020-03-22 13:50:00,6.7732924809e+07,6.7732924809e+07,4.7617299308e+07,4.7617299308e+07
2020-03-22 13:55:00,7.7945953004e+07,7.7945953004e+07,6.8173525570e+07,6.8173525570e+07
2020-03-22 14:00:00,7.1442836054e+07,7.1442836054e+07,4.4985655037e+07,4.4985655037e+07
2020-03-22 14:05:00,7.7048804336e+07,7.7048804336e+07,2.8570421688e+07,2.8570421688e+07
2020-03-22 14:10:00,7.8838991246e+07,7.8838991246e+07,1.8912165095e+07,1.8912165095e+07
2020-03-22 14:15:00,6.4351046644e+07,6.4351046644e+07,4.6844652086e+07,4.6844652086e+07
2020-03-22 14:20:00,6.1884628855e+07,6.1884628855e+07,4.9139947271e+07,4.9139947271e+07
2020-03-22 14:25:00,6.9015882978e+07,6.9015882978e+07,5.0767560100e+07,5.0767560100e+07
2020-03-22 14:30:00,6.6974564109e+07,6.6974564109e+07,3.4055677888e+07,3.4055677888e+07
2020-03-22 14:35:00,6.9867516797e+07,6.9867516797e+07,3.0802759898e+07,3.0802759898e+07
2020-03-22 14:40:00,6.0202705635e+07,6.0202705635e+07,4.3729515186e+07,4.3729515186e+07
2020-03-22 14:45:00,6.1370776966e+07,6.1370776966e+07,3.3488991490e+07,3.3488991490e+07
2020-03-22 14:50:00,7.9555048628e+07,7.9555048628e+07,2.7201359132e+07,2.7201359132e+07
2020-03-22 14:55:00,6.3082754757e+07,6.3082754757e+07,3.2451220628e+07,3.2451220628e+07
2020-03-22 15:00:00,7.8481488312e+07,7.8481488312e+07,2.7006305944e+07,2.7006305944e+07
2020-03-22 15:05:00,6.5983106867e+07,6.5983106867e+07,5.2719249673e+07,5.2719249673e+07
2020-03-22 15:10:00,5.3582653653e+07,5.3582653653e+07,3.1283977652e+07,3.1283977652e+07
2020-03-22 15:15:00,6.2817704573e+07,6.2817704573e+07,2.1309405596e+07,2.1309405596e+07
2020-03-22 15:20:00,6.5822125034e+07,6.5822125034e+07,1.8972953104e+07,1.8972953104e+07
2020-03-22 15:25:00,6.9125082055e+07,6.9125082055e+07,6.4618744048e+07,6.4618744048e+07
2020-03-22 15:30:00,7.4331968106e+07,7.4331968106e+07,3.4389594796e+07,3.4389594796e+07
2020-03-22 15:35:00,6.2717819713e+07,6.2717819713e+07,1.0968796807e+08,1.0968796807e+08
2020-03-22 15:40:00,6.5965131474e+07,6.5965131474e+07,2.0784200702e+07,2.0784200702e+07
2020-03-22 15:45:00,7.4809039127e+07,7.4809039127e+07,4.5327415114e+07,4.5327415114e+07
2020-03-22 15:50:00,7.2977440924e+07,7.2977440924e+07,3.6657240641e+07,3.6657240641e+07
2020-03-22 15:55:00,6.0137134405e+07,6.0137134405e+07,6.6019490626e+07,6.6019490626e+07
2020-03-22 16:00:00,7.1704000198e+07,7.1704000198e+07,5.2155662090e+07,5.2155662090e+07
2020-03-22 16:05:00,7.6477855559e+07,7.6477855559e+07,2.9439036090e+07,2.9439036090e+07
2020-03-22 16:10:00,6.5294297512e+07,6.5294297512e+07,1.5791373563e+07,1.5791373563e+07
2020-03-22 16:15:00,6.3547175629e+07,6.3547175629e+07,3.0362597290e+07,3.0362597290e+07
2020-03-22 16:20:00,7.3756119875e+07,7.3756119875e+07,2.7901878505e+07,2.7901878505e+07
2020-03-22 16:25:00,8.0438315891e+07,8.0438315891e+07,1.7200726163e+07,1.7200726163e+07
