DATE,LTLN,LTLN_peak,LNLT,LNLT_peak
2020-03-22 16:25:00,9.1911841218e+07,9.1911841218e+07,9.3949366685e+07,9.3949366685e+07
2020-03-22 16:30:00,1.9151393714e+06,1.9151393714e+06,2.3493501450e+06,2.3493501450e+06
2020-03-22 16:35:00,1.4297969716e+06,1.4297969716e+06,1.3772413305e+06,1.3772413305e+06
2020-03-22 16:40:00,1.2930577892e+06,1.2930577892e+06,1.7119964391e+06,1.7119964391e+06
2020-03-22 16:45:00,1.2575450251e+06,1.2575450251e+06,1.3569276379e+06,1.3569276379e+06
2020-03-22 16:50:00,1.2999712274e+06,1.2999712274e+06,1.7972635465e+06,1.7972635465e+06
2020-03-22 16:55:00,1.2991343346e+06,1.2991343346e+06,2.5479883484e+06,2.5479883484e+06
2020-03-22 17:00:00,1.2929920780e+06,1.2929920780e+06,1.6291413559e+06,1.6291413559e+06
2020-03-22 17:05:00,1.4521398052e+06,1.4521398052e+06,4.5307390575e+06,4.5307390575e+06
2020-03-22 17:10:00,1.2851628750e+06,1.2851628750e+06,1.5001505974e+06,1.5001505974e+06
2020-03-22 17:15:00,1.3373694603e+06,1.3373694603e+06,1.4633423446e+06,1.4633423446e+06
2020-03-22 17:20:00,1.2992196727e+06,1.2992196727e+06,1.5754724654e+06,1.5754724654e+06
2020-03-22 17:25:00,1.3052277464e+06,1.3052277464e+06,2.9098598343e+06,2.9098598343e+06
2020-03-22 17:30:00,1.2869903407e+06,1.2869903407e+06,1.5396523388e+06,1.5396523388e+06
2020-03-22 17:35:00,1.2659910747e+06,1.2659910747e+06,1.4193761048e+06,1.4193761048e+06
2020-03-22 17:40:00,1.2834775500e+06,1.2834775500e+06,1.5131899595e+06,1.5131899595e+06
2020-03-22 17:45:00,2.1011933609e+06,2.1011933609e+06,1.4511307092e+06,1.4511307092e+06
2020-03-22 17:50:00,1.2977251308e+06,1.2977251308e+06,1.9915406476e+06,1.9915406476e+06
2020-03-22 17:55:00,1.3439431515e+06,1.3439431515e+06,2.4113973476e+06,2.4113973476e+06
2020-03-22 18:00:00,1.2827609045e+06,1.2827609045e+06,1.5272201411e+06,1.5272201411e+06
2020-03-22 18:05:00,1.3980195917e+06,1.3980195917e+06,4.4721873688e+06,4.4721873688e+06
2020-03-22 18:10:00,9.1656035273e+07,9.1656035273e+07,1.8607974509e+06,1.8607974509e+06
2020-03-22 18:15:00,1.9139383203e+06,1.9139383203e+06,1.4909602016e+06,1.4909602016e+06
2020-03-22 18:20:00,1.2923122787e+06,1.2923122787e+06,1.9027702984e+06,1.9027702984e+06
2020-03-22 18:25:00,1.5518246379e+06,1.5518246379e+06,9.3433331483e+07,9.3433331483e+07
2020-03-22 18:30:00,7.3690068611e+07,7.3690068611e+07,2.9810480916e+06,2.9810480916e+06
2020-03-22 18:35:00,1.5079545831e+06,1.5079545831e+06,1.5107024170e+06,1.5107024170e+06
2020-03-22 18:40:00,1.2759557383e+06,1.2759557383e+06,1.4165147601e+06,1.4165147601e+06
2020-03-22 18:45:00,1.2732092466e+06,1.2732092466e+06,1.3100516410e+06,1.3100516410e+06
2020-03-22 18:50:00,1.2339406040e+06,1.2339406040e+06,1.4858646333e+06,1.4858646333e+06
2020-03-22 18:55:00,1.5027634736e+06,1.5027634736e+06,9.4502688843e+07,9.4502688843e+07
2020-03-22 19:00:00,1.2769999826e+06,1.2769999826e+06,1.7358740676e+06,1.7358740676e+06
2020-03-22 19:05:00,9.2012430532e+07,9.2012430532e+07,4.7105615083e+06,4.7105615083e+06
2020-03-22 19:10:00,1.5693789770e+06,1.5693789770e+06,1.3578877770e+06,1.3578877770e+06
2020-03-22 19:15:00,1.2878859673e+06,1.2878859673e+06,1.3538637101e+06,1.3538637101e+06
2020-03-22 19:20:00,1.3141161579e+06,1.3141161579e+06,1.5634988005e+06,1.5634988005e+06
2020-03-22 19:25:00,1.3283741004e+06,1.3283741004e+06,2.8089149133e+06,2.8089149133e+06
