DATE,GCAT,GCAT_peak,ATGC,ATGC_peak
2020-03-15 16:50:00,2.0564029784e+09,2.0564029784e+09,6.2992421382e+09,6.2992421382e+09
2020-03-15 16:55:00,2.0063402003e+09,2.0063402003e+09,7.6996829080e+09,7.6996829080e+09
2020-03-15 17:00:00,2.0798872574e+09,2.0798872574e+09,7.9183679336e+09,7.9183679336e+09
2020-03-15 17:05:00,1.9030924450e+09,1.9030924450e+09,8.0125147151e+09,8.0125147151e+09
2020-03-15 17:10:00,1.8995061791e+09,1.8995061791e+09,8.6962287008e+09,8.6962287008e+09
2020-03-15 17:15:00,1.8738706227e+09,1.8738706227e+09,7.0216242171e+09,7.0216242171e+09
2020-03-15 17:20:00,1.9246614834e+09,1.9246614834e+09,8.3245394786e+09,8.3245394786e+09
2020-03-15 17:25:00,2.1842100858e+09,2.1842100858e+09,5.6257788842e+09,5.6257788842e+09
2020-03-15 17:30:00,2.1073666875e+09,2.1073666875e+09,5.7047971917e+09,5.7047971917e+09
2020-03-15 17:35:00,2.0695426813e+09,2.0695426813e+09,6.5148984333e+09,6.5148984333e+09
2020-03-15 17:40:00,2.0826411167e+09,2.0826411167e+09,5.5021931132e+09,5.5021931132e+09
2020-03-15 17:45:00,2.0856239287e+09,2.0856239287e+09,4.6612585441e+09,4.6612585441e+09
2020-03-15 17:50:00,2.1142476880e+09,2.1142476880e+09,7.4743571807e+09,7.4743571807e+09
2020-03-15 17:55:00,2.2779115187e+09,2.2779115187e+09,5.7000069145e+09,5.7000069145e+09
2020-03-15 18:00:00,2.3259501477e+09,2.3259501477e+09,5.1949221267e+09,5.1949221267e+09
2020-03-15 18:05:00,2.1111185240e+09,2.1111185240e+09,5.7922963053e+09,5.7922963053e+09
2020-03-15 18:10:00,2.1880954902e+09,2.1880954902e+09,6.2520868992e+09,6.2520868992e+09
2020-03-15 18:15:00,2.2125143024e+09,2.2125143024e+09,7.6393685260e+09,7.6393685260e+09
2020-03-15 18:20:00,2.5467354417e+09,2.5467354417e+09,6.7029796277e+09,6.7029796277e+09
2020-03-15 18:25:00,2.5143896011e+09,2.5143896011e+09,5.3645365158e+09,5.3645365158e+09
2020-03-15 18:30:00,2.4692880226e+09,2.4692880226e+09,6.3272862065e+09,6.3272862065e+09
2020-03-15 18:35:00,2.4696982663e+09,2.4696982663e+09,8.4148603621e+09,8.4148603621e+09
2020-03-15 18:40:00,2.3575000320e+09,2.3575000320e+09,6.5801496114e+09,6.5801496114e+09
2020-03-15 18:45:00,2.3863479272e+09,2.3863479272e+09,6.5311817443e+09,6.5311817443e+09
2020-03-15 18:50:00,2.3229661190e+09,2.3229661190e+09,6.7312549608e+09,6.7312549608e+09
2020-03-15 18:55:00,2.4543587568e+09,2.4543587568e+09,6.3831505921e+09,6.3831505921e+09
