DATE,GRIT,GRIT_peak,ITGR,GRIT_peak
2020-03-15 12:50:00,4.7153047824e+09,4.7153047824e+09,5.1133815314e+09,5.1133815314e+09
2020-03-15 12:55:00,4.4650959306e+09,4.4650959306e+09,5.0623300531e+09,5.0623300531e+09
2020-03-15 13:00:00,5.4265774224e+09,5.4265774224e+09,5.0820095470e+09,5.0820095470e+09
2020-03-15 13:05:00,4.6745450885e+09,4.6745450885e+09,4.4918425518e+09,4.4918425518e+09
2020-03-15 13:10:00,4.0682762759e+09,4.0682762759e+09,5.5135734643e+09,5.5135734643e+09
2020-03-15 13:15:00,4.9915678962e+09,4.9915678962e+09,5.6254296827e+09,5.6254296827e+09
2020-03-15 13:20:00,5.6316686990e+09,5.6316686990e+09,5.1688141097e+09,5.1688141097e+09
2020-03-15 13:25:00,5.2060023822e+09,5.2060023822e+09,5.6871811031e+09,5.6871811031e+09
2020-03-15 13:30:00,5.3328766080e+09,5.3328766080e+09,5.4141316147e+09,5.4141316147e+09
2020-03-15 13:35:00,5.0307510917e+09,5.0307510917e+09,5.2166692593e+09,5.2166692593e+09
2020-03-15 13:40:00,5.5432241985e+09,5.5432241985e+09,4.6917986952e+09,4.6917986952e+09
2020-03-15 13:45:00,5.5093034384e+09,5.5093034384e+09,5.6382714208e+09,5.6382714208e+09
2020-03-15 13:50:00,5.5333171970e+09,5.5333171970e+09,6.3301237398e+09,6.3301237398e+09
2020-03-15 13:55:00,4.3850575958e+09,4.3850575958e+09,5.9673098008e+09,5.9673098008e+09
2020-03-15 14:00:00,4.3136673237e+09,4.3136673237e+09,5.4254606205e+09,5.4254606205e+09
2020-03-15 14:05:00,3.6784182673e+09,3.6784182673e+09,4.6752188555e+09,4.6752188555e+09
2020-03-15 14:10:00,3.5022361300e+09,3.5022361300e+09,5.4272073150e+09,5.4272073150e+09
2020-03-15 14:15:00,3.6432280319e+09,3.6432280319e+09,5.0544200395e+09,5.0544200395e+09
2020-03-15 14:20:00,4.0688363430e+09,4.0688363430e+09,4.2290230870e+09,4.2290230870e+09
2020-03-15 14:25:00,4.1000067635e+09,4.1000067635e+09,5.3785520392e+09,5.3785520392e+09
2020-03-15 14:30:00,4.5857233730e+09,4.5857233730e+09,4.5042415374e+09,4.5042415374e+09
2020-03-15 14:35:00,5.4171131556e+09,5.4171131556e+09,4.5489511221e+09,4.5489511221e+09
2020-03-15 14:40:00,5.3378948713e+09,5.3378948713e+09,4.8651955633e+09,4.8651955633e+09
2020-03-15 14:45:00,6.4620741030e+09,6.4620741030e+09,6.0308196766e+09,6.0308196766e+09
