DATE,LVET,LVET_peak,ETLV,ETLV_peak
2020-03-27 13:40:00,2.0032587649e+08,2.0032587649e+08,1.9423779660e+08,1.9423779660e+08
2020-03-27 13:45:00,2.1103934654e+08,2.1103934654e+08,2.0515416539e+08,2.0515416539e+08
2020-03-27 13:50:00,2.0810948852e+08,2.0810948852e+08,1.8147594596e+08,1.8147594596e+08
2020-03-27 13:55:00,3.8462751901e+08,3.8462751901e+08,1.9282209976e+08,1.9282209976e+08
2020-03-27 14:00:00,4.0090183003e+08,4.0090183003e+08,1.9696918450e+08,1.9696918450e+08
2020-03-27 14:05:00,3.6996220543e+08,3.6996220543e+08,1.7809230489e+08,1.7809230489e+08
2020-03-27 14:10:00,1.9165225985e+08,1.9165225985e+08,1.6587124271e+08,1.6587124271e+08
2020-03-27 14:15:00,2.0419141600e+08,2.0419141600e+08,1.6791704808e+08,1.6791704808e+08
2020-03-27 14:20:00,2.3084250599e+08,2.3084250599e+08,1.6275937586e+08,1.6275937586e+08
2020-03-27 14:25:00,2.0445011332e+08,2.0445011332e+08,1.5766815791e+08,1.5766815791e+08
2020-03-27 14:30:00,1.9702771253e+08,1.9702771253e+08,1.6967771921e+08,1.6967771921e+08
2020-03-27 14:35:00,1.4754745605e+08,1.4754745605e+08,1.7254386235e+08,1.7254386235e+08
2020-03-27 14:40:00,2.6590974025e+08,2.6590974025e+08,1.8123278474e+08,1.8123278474e+08
2020-03-27 14:45:00,2.9949543237e+08,2.9949543237e+08,1.7338106000e+08,1.7338106000e+08
2020-03-27 14:50:00,1.5342092851e+08,1.5342092851e+08,1.7958779019e+08,1.7958779019e+08
2020-03-27 14:55:00,2.2206770445e+08,2.2206770445e+08,1.7268722951e+08,1.7268722951e+08
2020-03-27 15:00:00,2.5918440848e+08,2.5918440848e+08,1.4843510253e+08,1.4843510253e+08
2020-03-27 15:05:00,1.6186995362e+08,1.6186995362e+08,1.7557974865e+08,1.7557974865e+08
2020-03-27 15:10:00,3.6950704336e+08,3.6950704336e+08,1.7146283492e+08,1.7146283492e+08
2020-03-27 15:15:00,3.0993478687e+09,3.0993478687e+09,2.5473141178e+08,2.5473141178e+08
2020-03-27 15:20:00,3.1631226746e+09,3.1631226746e+09,1.5160528993e+08,1.5160528993e+08
2020-03-27 15:25:00,2.6330568517e+08,2.6330568517e+08,1.3942064731e+08,1.3942064731e+08
2020-03-27 15:30:00,3.8139567566e+09,3.8139567566e+09,1.6275016203e+08,1.6275016203e+08
2020-03-27 15:35:00,2.5389345752e+09,2.5389345752e+09,1.2091041362e+08,1.2091041362e+08
2020-03-27 15:40:00,3.2564844330e+09,3.2564844330e+09,2.2630917038e+08,2.2630917038e+08
2020-03-27 15:45:00,3.1697461849e+09,3.1697461849e+09,1.6123988360e+08,1.6123988360e+08
2020-03-27 15:50:00,3.2227761378e+09,3.2227761378e+09,1.8731419870e+08,1.8731419870e+08
2020-03-27 15:55:00,3.1587066436e+09,3.1587066436e+09,1.5491162745e+08,1.5491162745e+08
2020-03-27 16:00:00,3.2644842091e+09,3.2644842091e+09,2.8865935918e+08,2.8865935918e+08
2020-03-27 16:05:00,3.0261753917e+09,3.0261753917e+09,1.8182873100e+08,1.8182873100e+08
2020-03-27 16:10:00,3.2108511641e+09,3.2108511641e+09,1.5998344627e+08,1.5998344627e+08
2020-03-27 16:15:00,3.1868738647e+09,3.1868738647e+09,2.5070978248e+08,2.5070978248e+08
2020-03-27 16:20:00,3.2064084504e+09,3.2064084504e+09,1.6402026166e+08,1.6402026166e+08
2020-03-27 16:25:00,3.2473045818e+09,3.2473045818e+09,1.5616458424e+08,1.5616458424e+08
2020-03-27 16:30:00,3.1528561361e+09,3.1528561361e+09,1.3651004882e+08,1.3651004882e+08
2020-03-27 16:35:00,3.1138786705e+09,3.1138786705e+09,1.4693520430e+08,1.4693520430e+08
2020-03-27 16:40:00,3.2235361997e+09,3.2235361997e+09,1.6195005751e+08,1.6195005751e+08
2020-03-27 16:45:00,3.1706216548e+09,3.1706216548e+09,1.7882643389e+08,1.7882643389e+08
2020-03-27 16:50:00,3.1097830940e+09,3.1097830940e+09,1.4648136527e+08,1.4648136527e+08
2020-03-27 16:55:00,3.2349060770e+09,3.2349060770e+09,1.5242286740e+08,1.5242286740e+08
2020-03-27 17:00:00,2.7873556823e+09,2.7873556823e+09,1.5619538915e+08,1.5619538915e+08
2020-03-27 17:05:00,3.1082476794e+09,3.1082476794e+09,1.4170313906e+08,1.4170313906e+08
2020-03-27 17:10:00,3.1714491910e+09,3.1714491910e+09,1.5273324714e+08,1.5273324714e+08
2020-03-27 17:15:00,3.1853762952e+09,3.1853762952e+09,1.3948265909e+08,1.3948265909e+08
2020-03-27 17:20:00,3.1503355361e+09,3.1503355361e+09,1.8858189177e+08,1.8858189177e+08
