DATE,NLDE,NLDE_peak,DENL,DENL_peak
2020-03-30 11:50:00,3.6551697223e+10,3.6551697223e+10,5.1569376619e+10,5.1569376619e+10
2020-03-30 11:55:00,3.4470424031e+10,3.4470424031e+10,6.1198707322e+10,6.1198707322e+10
2020-03-30 12:00:00,3.4429831586e+10,3.4429831586e+10,6.4486172938e+10,6.4486172938e+10
2020-03-30 12:05:00,3.4438142062e+10,3.4438142062e+10,5.0475015487e+10,5.0475015487e+10
2020-03-30 12:10:00,3.4014313391e+10,3.4014313391e+10,4.3722066315e+10,4.3722066315e+10
2020-03-30 12:15:00,3.3376882488e+10,3.3376882488e+10,4.6209765892e+10,4.6209765892e+10
2020-03-30 12:20:00,2.6591601631e+10,2.6591601631e+10,5.0941885603e+10,5.0941885603e+10
2020-03-30 12:25:00,3.4223535280e+10,3.4223535280e+10,5.3778610745e+10,5.3778610745e+10
2020-03-30 12:30:00,3.5982670662e+10,3.5982670662e+10,6.0210076592e+10,6.0210076592e+10
2020-03-30 12:35:00,3.9442401859e+10,3.9442401859e+10,5.8000040616e+10,5.8000040616e+10
2020-03-30 12:40:00,3.7098059121e+10,3.7098059121e+10,4.8615388419e+10,4.8615388419e+10
2020-03-30 12:45:00,3.3518554669e+10,3.3518554669e+10,5.0297951644e+10,5.0297951644e+10
2020-03-30 12:50:00,3.1060461784e+10,3.1060461784e+10,5.0721928091e+10,5.0721928091e+10
2020-03-30 12:55:00,3.7759555531e+10,3.7759555531e+10,6.1982552312e+10,6.1982552312e+10
2020-03-30 13:00:00,3.5060373409e+10,3.5060373409e+10,6.9905414342e+10,6.9905414342e+10
2020-03-30 13:05:00,3.3262864223e+10,3.3262864223e+10,7.0635029313e+10,7.0635029313e+10
2020-03-30 13:10:00,3.0438369160e+10,3.0438369160e+10,5.1163932718e+10,5.1163932718e+10
2020-03-30 13:15:00,3.5409860480e+10,3.5409860480e+10,4.8704432775e+10,4.8704432775e+10
2020-03-30 13:20:00,4.0261856417e+10,4.0261856417e+10,4.7021104724e+10,4.7021104724e+10
2020-03-30 13:25:00,3.2433933769e+10,3.2433933769e+10,5.0792158508e+10,5.0792158508e+10
2020-03-30 13:30:00,3.0133173324e+10,3.0133173324e+10,5.0798192362e+10,5.0798192362e+10
