DATE,IEUK,IEUK_peak,UKIE,IEUK_peak
2020-03-22 12:40:00,4.0803447575e+08,4.0803447575e+08,5.2339327623e+08,5.2339327623e+08
2020-03-22 12:45:00,4.9895648551e+08,4.9895648551e+08,6.3403665397e+08,6.3403665397e+08
2020-03-22 12:50:00,4.2775359249e+08,4.2775359249e+08,4.7786157035e+08,4.7786157035e+08
2020-03-22 12:55:00,3.5923535351e+08,3.5923535351e+08,5.2655085899e+08,5.2655085899e+08
2020-03-22 13:00:00,3.9645009567e+08,3.9645009567e+08,5.4350887380e+08,5.4350887380e+08
2020-03-22 13:05:00,5.2345062502e+08,5.2345062502e+08,5.9658958964e+08,5.9658958964e+08
2020-03-22 13:10:00,4.6517916786e+08,4.6517916786e+08,6.9418904079e+08,6.9418904079e+08
2020-03-22 13:15:00,5.6481655993e+08,5.6481655993e+08,6.0024143756e+08,6.0024143756e+08
2020-03-22 13:20:00,5.7223552953e+08,5.7223552953e+08,6.7209468115e+08,6.7209468115e+08
2020-03-22 13:25:00,6.0340327131e+08,6.0340327131e+08,2.7446625196e+09,2.7446625196e+09
2020-03-22 13:30:00,5.6159998025e+08,5.6159998025e+08,2.8251839566e+09,2.8251839566e+09
2020-03-22 13:35:00,5.7092910587e+08,5.7092910587e+08,3.6966150353e+09,3.6966150353e+09
2020-03-22 13:40:00,5.4713501513e+08,5.4713501513e+08,3.0623971329e+09,3.0623971329e+09
2020-03-22 13:45:00,6.2399327745e+08,6.2399327745e+08,3.4006558019e+09,3.4006558019e+09
2020-03-22 13:50:00,5.4669133619e+08,5.4669133619e+08,3.5999459822e+09,3.5999459822e+09
2020-03-22 13:55:00,5.0776550346e+08,5.0776550346e+08,3.1988621472e+09,3.1988621472e+09
2020-03-22 14:00:00,4.2725073048e+08,4.2725073048e+08,3.6428556033e+09,3.6428556033e+09
2020-03-22 14:05:00,4.9193286447e+08,4.9193286447e+08,3.6959578628e+09,3.6959578628e+09
2020-03-22 14:10:00,6.7983296536e+08,6.7983296536e+08,3.7092414391e+09,3.7092414391e+09
2020-03-22 14:15:00,7.9828130094e+08,7.9828130094e+08,3.6350783296e+09,3.6350783296e+09
2020-03-22 14:20:00,8.7520651079e+08,8.7520651079e+08,3.5214228341e+09,3.5214228341e+09
2020-03-22 14:25:00,6.0162161209e+08,6.0162161209e+08,3.6115972177e+09,3.6115972177e+09
2020-03-22 14:30:00,6.4204401710e+08,6.4204401710e+08,3.7003796228e+09,3.7003796228e+09
2020-03-22 14:35:00,6.2033577620e+08,6.2033577620e+08,3.6016990317e+09,3.6016990317e+09
2020-03-22 14:40:00,5.9080166264e+08,5.9080166264e+08,3.8477592136e+09,3.8477592136e+09
2020-03-22 14:45:00,6.3817161896e+08,6.3817161896e+08,3.7522112986e+09,3.7522112986e+09
2020-03-22 14:50:00,6.4249131054e+08,6.4249131054e+08,3.6748000791e+09,3.6748000791e+09
2020-03-22 14:55:00,6.1736240714e+08,6.1736240714e+08,3.7686830973e+09,3.7686830973e+09
2020-03-22 15:00:00,5.9802806545e+08,5.9802806545e+08,3.6725126906e+09,3.6725126906e+09
2020-03-22 15:05:00,5.9841577441e+08,5.9841577441e+08,3.5479300792e+09,3.5479300792e+09
2020-03-22 15:10:00,3.5569616387e+08,3.5569616387e+08,3.5743314191e+09,3.5743314191e+09
2020-03-22 15:15:00,3.8810989145e+08,3.8810989145e+08,3.5644109877e+09,3.5644109877e+09
2020-03-22 15:20:00,4.0462799945e+08,4.0462799945e+08,3.8407173216e+09,3.8407173216e+09
2020-03-22 15:25:00,4.2384756535e+08,4.2384756535e+08,3.7008773078e+09,3.7008773078e+09
2020-03-22 15:30:00,5.0864525731e+08,5.0864525731e+08,3.6343777466e+09,3.6343777466e+09
2020-03-22 15:35:00,4.1375657121e+08,4.1375657121e+08,3.6190243378e+09,3.6190243378e+09
2020-03-22 15:40:00,3.1626269423e+08,3.1626269423e+08,3.5906368349e+09,3.5906368349e+09
2020-03-22 15:45:00,3.5298092934e+08,3.5298092934e+08,3.6687602111e+09,3.6687602111e+09
2020-03-22 15:50:00,2.9849923354e+08,2.9849923354e+08,3.6973062209e+09,3.6973062209e+09
2020-03-22 15:55:00,3.3946218633e+08,3.3946218633e+08,3.7024256861e+09,3.7024256861e+09
2020-03-22 16:00:00,3.3441953919e+08,3.3441953919e+08,3.6541562737e+09,3.6541562737e+09
2020-03-22 16:05:00,3.8429361831e+08,3.8429361831e+08,3.7148672877e+09,3.7148672877e+09
2020-03-22 16:10:00,3.3459353907e+08,3.3459353907e+08,3.6396036373e+09,3.6396036373e+09
2020-03-22 16:15:00,3.4061464311e+08,3.4061464311e+08,3.5899392623e+09,3.5899392623e+09
2020-03-22 16:20:00,3.2345768936e+08,3.2345768936e+08,3.6057745026e+09,3.6057745026e+09
2020-03-22 16:25:00,4.4482496770e+08,4.4482496770e+08,3.5817606142e+09,3.5817606142e+09
2020-03-22 16:30:00,3.9843440933e+08,3.9843440933e+08,3.5467824038e+09,3.5467824038e+09
2020-03-22 16:35:00,3.3514504216e+08,3.3514504216e+08,3.6451206748e+09,3.6451206748e+09
2020-03-22 16:40:00,3.8314822030e+08,3.8314822030e+08,3.6299266299e+09,3.6299266299e+09
2020-03-22 16:45:00,4.0773885018e+08,4.0773885018e+08,3.5341110045e+09,3.5341110045e+09
2020-03-22 16:50:00,4.0322457201e+08,4.0322457201e+08,3.5706946675e+09,3.5706946675e+09
2020-03-22 16:55:00,3.7898782776e+08,3.7898782776e+08,3.5820884915e+09,3.5820884915e+09
2020-03-22 17:00:00,4.7154244689e+08,4.7154244689e+08,3.6365431576e+09,3.6365431576e+09
2020-03-22 17:05:00,5.1752955525e+08,5.1752955525e+08,3.6436458403e+09,3.6436458403e+09
2020-03-22 17:10:00,4.3563923403e+08,4.3563923403e+08,3.6207512502e+09,3.6207512502e+09
2020-03-22 17:15:00,4.5811059879e+08,4.5811059879e+08,3.5700338327e+09,3.5700338327e+09
2020-03-22 17:20:00,3.7396459124e+08,3.7396459124e+08,3.5756058315e+09,3.5756058315e+09
2020-03-22 17:25:00,3.5766761435e+08,3.5766761435e+08,3.5949959456e+09,3.5949959456e+09
2020-03-22 17:30:00,4.4331437176e+08,4.4331437176e+08,3.5424190416e+09,3.5424190416e+09
2020-03-22 17:35:00,5.6541233947e+08,5.6541233947e+08,3.6329114923e+09,3.6329114923e+09
2020-03-22 17:40:00,5.0919869488e+08,5.0919869488e+08,3.5871578023e+09,3.5871578023e+09
2020-03-22 17:45:00,4.5258834340e+08,4.5258834340e+08,3.7802513657e+09,3.7802513657e+09
2020-03-22 17:50:00,5.2810952014e+08,5.2810952014e+08,3.6860311049e+09,3.6860311049e+09
2020-03-22 17:55:00,5.3127190113e+08,5.3127190113e+08,3.4591165360e+09,3.4591165360e+09
2020-03-22 18:00:00,7.1057040230e+08,7.1057040230e+08,3.5721050066e+09,3.5721050066e+09
2020-03-22 18:05:00,7.7122343301e+08,7.7122343301e+08,3.6102347132e+09,3.6102347132e+09
2020-03-22 18:10:00,6.9271742102e+08,6.9271742102e+08,3.6543999881e+09,3.6543999881e+09
2020-03-22 18:15:00,7.1565130680e+08,7.1565130680e+08,3.5643470333e+09,3.5643470333e+09
2020-03-22 18:20:00,7.5228364619e+08,7.5228364619e+08,3.5783001494e+09,3.5783001494e+09
2020-03-22 18:25:00,6.2244779971e+08,6.2244779971e+08,3.5805734178e+09,3.5805734178e+09
2020-03-22 18:30:00,6.3169980504e+08,6.3169980504e+08,3.4922444091e+09,3.4922444091e+09
2020-03-22 18:35:00,6.6902451528e+08,6.6902451528e+08,3.5845835426e+09,3.5845835426e+09
2020-03-22 18:40:00,6.2386988761e+08,6.2386988761e+08,3.5652428331e+09,3.5652428331e+09
2020-03-22 18:45:00,6.2907314943e+08,6.2907314943e+08,3.5660521012e+09,3.5660521012e+09
2020-03-22 18:50:00,6.4201539239e+08,6.4201539239e+08,3.5875652962e+09,3.5875652962e+09
2020-03-22 18:55:00,5.9315882043e+08,5.9315882043e+08,3.5238630709e+09,3.5238630709e+09
2020-03-22 19:00:00,6.1699802244e+08,6.1699802244e+08,3.5453272862e+09,3.5453272862e+09
2020-03-22 19:05:00,7.1450141468e+08,7.1450141468e+08,3.5539040823e+09,3.5539040823e+09
2020-03-22 19:10:00,6.7035343611e+08,6.7035343611e+08,3.4952048924e+09,3.4952048924e+09
2020-03-22 19:15:00,6.5050625397e+08,6.5050625397e+08,3.4296641882e+09,3.4296641882e+09
2020-03-22 19:20:00,6.9393088380e+08,6.9393088380e+08,5.0371767935e+08,5.0371767935e+08
2020-03-22 19:25:00,6.3093417614e+08,6.3093417614e+08,4.4228004738e+08,4.4228004738e+08
2020-03-22 19:30:00,5.5200921157e+08,5.5200921157e+08,4.6661441818e+08,4.6661441818e+08
2020-03-22 19:35:00,6.3957878392e+08,6.3957878392e+08,4.7191955038e+08,4.7191955038e+08
2020-03-22 19:40:00,6.5098447848e+08,6.5098447848e+08,4.7241206891e+08,4.7241206891e+08
2020-03-22 19:45:00,6.6601764899e+08,6.6601764899e+08,5.6165880386e+08,5.6165880386e+08
