DATE,BGAT,BGAT_peak,ATBG,ATBG_peak
2020-03-25 07:35:00,1.4994842305e+10,1.4994842305e+10,3.4571988776e+09,3.4571988776e+09
2020-03-25 07:40:00,1.3959801276e+10,1.3959801276e+10,3.4475519354e+09,3.4475519354e+09
2020-03-25 07:45:00,1.4792436487e+10,1.4792436487e+10,3.6501400224e+09,3.6501400224e+09
2020-03-25 07:50:00,1.4440454081e+10,1.4440454081e+10,6.2874284716e+09,6.2874284716e+09
2020-03-25 07:55:00,1.4324327006e+10,1.4324327006e+10,3.6826626564e+09,3.6826626564e+09
2020-03-25 08:00:00,1.3457489555e+10,1.3457489555e+10,4.1990142396e+09,4.1990142396e+09
2020-03-25 08:05:00,1.3517829527e+10,1.3517829527e+10,3.1373005498e+09,3.1373005498e+09
2020-03-25 08:10:00,1.4166814460e+10,1.4166814460e+10,3.4266545732e+09,3.4266545732e+09
2020-03-25 08:15:00,1.3861647975e+10,1.3861647975e+10,3.2800069793e+09,3.2800069793e+09
2020-03-25 08:20:00,1.3830241524e+10,1.3830241524e+10,3.6417683773e+09,3.6417683773e+09
2020-03-25 08:25:00,1.3535820337e+10,1.3535820337e+10,4.3999884677e+09,4.3999884677e+09
2020-03-25 08:30:00,1.3856391866e+10,1.3856391866e+10,4.0252194646e+09,4.0252194646e+09
2020-03-25 08:35:00,1.2309991178e+10,1.2309991178e+10,3.1576363949e+09,3.1576363949e+09
2020-03-25 08:40:00,1.0267101797e+10,1.0267101797e+10,3.7712094074e+09,3.7712094074e+09
2020-03-25 08:45:00,9.6379935816e+09,9.6379935816e+09,3.4634056762e+09,3.4634056762e+09
2020-03-25 08:50:00,9.0944894960e+09,9.0944894960e+09,4.5091000451e+09,4.5091000451e+09
2020-03-25 08:55:00,8.7693734860e+09,8.7693734860e+09,4.0667951215e+09,4.0667951215e+09
2020-03-25 09:00:00,9.8328178764e+09,9.8328178764e+09,4.1841014395e+09,4.1841014395e+09
2020-03-25 09:05:00,1.0873885646e+10,1.0873885646e+10,3.0012666618e+09,3.0012666618e+09
2020-03-25 09:10:00,1.3931516843e+10,1.3931516843e+10,3.1243997099e+09,3.1243997099e+09
2020-03-25 09:15:00,1.4941546242e+10,1.4941546242e+10,2.8465686276e+09,2.8465686276e+09
2020-03-25 09:20:00,1.4639396080e+10,1.4639396080e+10,3.3502153575e+09,3.3502153575e+09
2020-03-25 09:25:00,1.4857614391e+10,1.4857614391e+10,3.3913419895e+09,3.3913419895e+09
