DATE,ITAT,ITAT_peak,ATIT,ATIT_peak
2020-03-15 08:05:00,2.0621632253e+09,2.0621632253e+09,4.6164914571e+09,4.6164914571e+09
2020-03-15 08:10:00,1.8692928668e+09,1.8692928668e+09,4.1732381222e+09,4.1732381222e+09
2020-03-15 08:15:00,2.5147956711e+09,2.5147956711e+09,4.2747839972e+09,4.2747839972e+09
2020-03-15 08:20:00,1.9076253769e+09,1.9076253769e+09,4.5609125572e+09,4.5609125572e+09
2020-03-15 08:25:00,1.7227955410e+09,1.7227955410e+09,4.3362762759e+09,4.3362762759e+09
2020-03-15 08:30:00,1.9634427861e+09,1.9634427861e+09,4.9471099040e+09,4.9471099040e+09
2020-03-15 08:35:00,1.7581720962e+09,1.7581720962e+09,4.7916639035e+09,4.7916639035e+09
2020-03-15 08:40:00,2.7097053497e+09,2.7097053497e+09,5.1462780544e+09,5.1462780544e+09
2020-03-15 08:45:00,3.1418094712e+09,3.1418094712e+09,6.5184729107e+09,6.5184729107e+09
2020-03-15 08:50:00,2.5889473418e+09,2.5889473418e+09,7.2298814349e+09,7.2298814349e+09
2020-03-15 08:55:00,2.3934556559e+09,2.3934556559e+09,1.1277526726e+10,1.1277526726e+10
2020-03-15 09:00:00,2.2708344143e+09,2.2708344143e+09,7.6026941739e+09,7.6026941739e+09
2020-03-15 09:05:00,2.0233286463e+09,2.0233286463e+09,1.1945359038e+10,1.1945359038e+10
2020-03-15 09:10:00,1.6993095404e+09,1.6993095404e+09,9.4332576546e+09,9.4332576546e+09
2020-03-15 09:15:00,1.7724428394e+09,1.7724428394e+09,1.4760684973e+10,1.4760684973e+10
2020-03-15 09:20:00,1.6993779806e+09,1.6993779806e+09,1.2049123960e+10,1.2049123960e+10
2020-03-15 09:25:00,1.8793328323e+09,1.8793328323e+09,9.4455567465e+09,9.4455567465e+09
2020-03-15 09:30:00,2.1083432272e+09,2.1083432272e+09,9.5266365398e+09,9.5266365398e+09
2020-03-15 09:35:00,2.2433878259e+09,2.2433878259e+09,1.2017556448e+10,1.2017556448e+10
2020-03-15 09:40:00,2.4131947571e+09,2.4131947571e+09,9.0833673708e+09,9.0833673708e+09
2020-03-15 09:45:00,4.4364240404e+09,4.4364240404e+09,9.4091481147e+09,9.4091481147e+09
2020-03-15 09:50:00,3.0798820840e+09,3.0798820840e+09,9.2686311480e+09,9.2686311480e+09
2020-03-15 09:55:00,3.0352319754e+09,3.0352319754e+09,1.0157135479e+10,1.0157135479e+10
2020-03-15 10:00:00,2.9775635077e+09,2.9775635077e+09,1.0526181635e+10,1.0526181635e+10
