DATE,DECH,DECH_peak,CHDE,CHDE_peak
2020-03-26 17:45:00,3.0957521385e+10,3.0957521385e+10,6.1018767727e+10,6.1018767727e+10
2020-03-26 17:50:00,2.9284460614e+10,2.9284460614e+10,6.0217759851e+10,6.0217759851e+10
2020-03-26 17:55:00,3.3667841159e+10,3.3667841159e+10,6.4614794567e+10,6.4614794567e+10
2020-03-26 18:00:00,3.2401275816e+10,3.2401275816e+10,5.7962173310e+10,5.7962173310e+10
2020-03-26 18:05:00,3.6442293979e+10,3.6442293979e+10,5.6357821328e+10,5.6357821328e+10
2020-03-26 18:10:00,3.8827070702e+10,3.8827070702e+10,6.0679534588e+10,6.0679534588e+10
2020-03-26 18:15:00,3.4904772773e+10,3.4904772773e+10,5.0247601756e+10,5.0247601756e+10
2020-03-26 18:20:00,3.6780288559e+10,3.6780288559e+10,4.4336005007e+10,4.4336005007e+10
2020-03-26 18:25:00,3.3080763145e+10,3.3080763145e+10,5.3444863206e+10,5.3444863206e+10
2020-03-26 18:30:00,2.9121067984e+10,2.9121067984e+10,4.6470596328e+10,4.6470596328e+10
2020-03-26 18:35:00,3.6062037855e+10,3.6062037855e+10,4.5253593226e+10,4.5253593226e+10
2020-03-26 18:40:00,3.1123869800e+10,3.1123869800e+10,4.8223027595e+10,4.8223027595e+10
