DATE,NLBE,NLBE_peak,BENL,BENL_peak
2020-03-17 03:55:00,5.2317400027e+05,5.2317400027e+05,5.6570433666e+05,5.6570433666e+05
2020-03-17 04:00:00,5.2450812560e+05,5.2450812560e+05,5.7245283854e+05,5.7245283854e+05
2020-03-17 04:05:00,5.2453933333e+05,5.2453933333e+05,5.5486262320e+05,5.5486262320e+05
2020-03-17 04:10:00,3.3101562958e+05,3.3101562958e+05,5.3049103825e+05,5.3049103825e+05
2020-03-17 04:15:00,3.4882131955e+05,3.4882131955e+05,7.4066086072e+05,7.4066086072e+05
2020-03-17 04:20:00,5.1207178500e+05,5.1207178500e+05,6.4423999917e+05,6.4423999917e+05
2020-03-17 04:25:00,5.2246298570e+05,5.2246298570e+05,6.3946166864e+05,6.3946166864e+05
2020-03-17 04:30:00,5.2341534772e+05,5.2341534772e+05,5.6953926096e+05,5.6953926096e+05
2020-03-17 04:35:00,5.0737017796e+05,5.0737017796e+05,5.5180896747e+05,5.5180896747e+05
2020-03-17 04:40:00,5.1659732320e+05,5.1659732320e+05,5.5891785849e+05,5.5891785849e+05
2020-03-17 04:45:00,5.0429570169e+05,5.0429570169e+05,6.2744359449e+05,6.2744359449e+05
2020-03-17 04:50:00,5.2438158203e+05,5.2438158203e+05,6.5652633017e+05,6.5652633017e+05
2020-03-17 04:55:00,5.1059447104e+05,5.1059447104e+05,5.5391595552e+05,5.5391595552e+05
2020-03-17 05:00:00,5.2375152000e+05,5.2375152000e+05,5.6507413547e+05,5.6507413547e+05
2020-03-17 05:05:00,5.3730162415e+05,5.3730162415e+05,5.5825540477e+05,5.5825540477e+05
2020-03-17 05:10:00,5.2697615460e+05,5.2697615460e+05,5.6911782723e+05,5.6911782723e+05
2020-03-17 05:15:00,5.7401478348e+05,5.7401478348e+05,6.3316239732e+05,6.3316239732e+05
2020-03-17 05:20:00,5.1626415990e+05,5.1626415990e+05,5.6837462534e+05,5.6837462534e+05
2020-03-17 05:25:00,5.2778422617e+05,5.2778422617e+05,5.7714738101e+05,5.7714738101e+05
2020-03-17 05:30:00,5.2341746121e+05,5.2341746121e+05,6.5415323490e+05,6.5415323490e+05
2020-03-17 05:35:00,5.1243462809e+05,5.1243462809e+05,5.5515539929e+05,5.5515539929e+05
2020-03-17 05:40:00,5.2381865049e+05,5.2381865049e+05,5.6569745884e+05,5.6569745884e+05
2020-03-17 05:45:00,5.1683178116e+05,5.1683178116e+05,5.4389236782e+05,5.4389236782e+05
