DATE,PTUK,PTUK_peak,UKPT,PTUK_peak
2020-03-23 23:40:00,7.7484089706e+08,7.7484089706e+08,2.4604900375e+08,2.4604900375e+08
2020-03-23 23:45:00,1.5835214214e+09,1.5835214214e+09,1.9592455128e+08,1.9592455128e+08
2020-03-23 23:50:00,8.4084935554e+08,8.4084935554e+08,1.7805478020e+08,1.7805478020e+08
2020-03-23 23:55:00,1.5255525419e+09,1.5255525419e+09,1.8703915991e+08,1.8703915991e+08
2020-03-24 00:00:00,1.5570145458e+09,1.5570145458e+09,1.9009467348e+08,1.9009467348e+08
2020-03-24 00:05:00,2.0788225636e+09,2.0788225636e+09,1.9304641952e+08,1.9304641952e+08
2020-03-24 00:10:00,2.1022499203e+09,2.1022499203e+09,2.0056062604e+08,2.0056062604e+08
2020-03-24 00:15:00,9.3415227541e+08,9.3415227541e+08,2.2898513156e+08,2.2898513156e+08
2020-03-24 00:20:00,6.4318702139e+08,6.4318702139e+08,2.9610959018e+08,2.9610959018e+08
2020-03-24 00:25:00,7.4859412270e+08,7.4859412270e+08,2.5636072934e+08,2.5636072934e+08
2020-03-24 00:30:00,1.4751748003e+09,1.4751748003e+09,2.5126852832e+08,2.5126852832e+08
2020-03-24 00:35:00,6.7024723208e+08,6.7024723208e+08,2.5274148262e+08,2.5274148262e+08
2020-03-24 00:40:00,6.1379765226e+08,6.1379765226e+08,2.1930902877e+08,2.1930902877e+08
2020-03-24 00:45:00,6.4759117203e+08,6.4759117203e+08,2.3066698310e+08,2.3066698310e+08
2020-03-24 00:50:00,6.9739554103e+08,6.9739554103e+08,1.9160421211e+08,1.9160421211e+08
2020-03-24 00:55:00,6.6190874466e+08,6.6190874466e+08,1.7149606222e+08,1.7149606222e+08
2020-03-24 01:00:00,5.9630659779e+08,5.9630659779e+08,2.0699019389e+08,2.0699019389e+08
2020-03-24 01:05:00,7.4552675181e+08,7.4552675181e+08,2.5429197758e+08,2.5429197758e+08
2020-03-24 01:10:00,7.5070434043e+08,7.5070434043e+08,2.7290819439e+08,2.7290819439e+08
2020-03-24 01:15:00,5.9533193536e+08,5.9533193536e+08,1.9099723530e+08,1.9099723530e+08
2020-03-24 01:20:00,6.9884596495e+08,6.9884596495e+08,1.7807250250e+08,1.7807250250e+08
2020-03-24 01:25:00,7.6284409832e+08,7.6284409832e+08,1.8078220087e+08,1.8078220087e+08
2020-03-24 01:30:00,7.4509326622e+08,7.4509326622e+08,2.0947004423e+08,2.0947004423e+08
2020-03-24 01:35:00,1.3655667242e+09,1.3655667242e+09,2.1456757074e+08,2.1456757074e+08
2020-03-24 01:40:00,6.5362449992e+08,6.5362449992e+08,1.9190442608e+08,1.9190442608e+08
2020-03-24 01:45:00,6.7329515884e+08,6.7329515884e+08,1.7563321348e+08,1.7563321348e+08
2020-03-24 01:50:00,8.1356592228e+08,8.1356592228e+08,1.8263756989e+08,1.8263756989e+08
2020-03-24 01:55:00,6.1127929982e+08,6.1127929982e+08,2.1324932335e+08,2.1324932335e+08
2020-03-24 02:00:00,5.6543142648e+08,5.6543142648e+08,2.3766182674e+08,2.3766182674e+08
2020-03-24 02:05:00,8.2635591622e+08,8.2635591622e+08,3.2656597943e+08,3.2656597943e+08
2020-03-24 02:10:00,1.8559672321e+09,1.8559672321e+09,3.3357533295e+08,3.3357533295e+08
2020-03-24 02:15:00,1.3588970679e+09,1.3588970679e+09,2.7560892265e+08,2.7560892265e+08
2020-03-24 02:20:00,6.3030844252e+08,6.3030844252e+08,2.5286546321e+08,2.5286546321e+08
2020-03-24 02:25:00,6.6403043447e+08,6.6403043447e+08,2.4562502555e+08,2.4562502555e+08
2020-03-24 02:30:00,6.3045202834e+08,6.3045202834e+08,2.5317325986e+08,2.5317325986e+08
2020-03-24 02:35:00,1.2826679604e+09,1.2826679604e+09,2.5579418196e+08,2.5579418196e+08
2020-03-24 02:40:00,1.2561040127e+09,1.2561040127e+09,2.5556758913e+08,2.5556758913e+08
2020-03-24 02:45:00,2.5760360527e+09,2.5760360527e+09,2.4554273098e+08,2.4554273098e+08
2020-03-24 02:50:00,8.0278120165e+08,8.0278120165e+08,2.5335112888e+08,2.5335112888e+08
2020-03-24 02:55:00,1.7331847617e+09,1.7331847617e+09,2.5344036650e+08,2.5344036650e+08
2020-03-24 03:00:00,5.6310082244e+08,5.6310082244e+08,2.2122373033e+08,2.2122373033e+08
2020-03-24 03:05:00,1.5145626554e+09,1.5145626554e+09,1.6066596296e+08,1.6066596296e+08
2020-03-24 03:10:00,1.4996753945e+09,1.4996753945e+09,1.3924488128e+08,1.3924488128e+08
2020-03-24 03:15:00,1.1676062741e+09,1.1676062741e+09,2.5791083134e+08,2.5791083134e+08
2020-03-24 03:20:00,5.3106275137e+08,5.3106275137e+08,4.0772352083e+08,4.0772352083e+08
2020-03-24 03:25:00,4.7696082223e+08,4.7696082223e+08,1.9266569754e+08,1.9266569754e+08
2020-03-24 03:30:00,5.8510423215e+08,5.8510423215e+08,1.9781193354e+08,1.9781193354e+08
2020-03-24 03:35:00,3.9011530418e+09,3.9011530418e+09,2.3986168548e+08,2.3986168548e+08
2020-03-24 03:40:00,2.4627917769e+09,2.4627917769e+09,1.9966105245e+08,1.9966105245e+08
2020-03-24 03:45:00,6.0480439111e+08,6.0480439111e+08,1.5302645177e+08,1.5302645177e+08
2020-03-24 03:50:00,1.1569930241e+09,1.1569930241e+09,3.2146298493e+08,3.2146298493e+08
2020-03-24 03:55:00,7.8300977884e+08,7.8300977884e+08,3.9384962742e+08,3.9384962742e+08
2020-03-24 04:00:00,9.0201632172e+08,9.0201632172e+08,3.8537375620e+08,3.8537375620e+08
2020-03-24 04:05:00,5.3765485958e+08,5.3765485958e+08,5.5276554532e+08,5.5276554532e+08
2020-03-24 04:10:00,6.5799820000e+08,6.5799820000e+08,3.1339392640e+08,3.1339392640e+08
2020-03-24 04:15:00,4.7863518040e+08,4.7863518040e+08,4.0046027314e+08,4.0046027314e+08
2020-03-24 04:20:00,1.5350325846e+09,1.5350325846e+09,2.6944550336e+08,2.6944550336e+08
2020-03-24 04:25:00,1.3714606797e+09,1.3714606797e+09,1.9384898958e+08,1.9384898958e+08
2020-03-24 04:30:00,4.4214641524e+08,4.4214641524e+08,1.7495770641e+08,1.7495770641e+08
2020-03-24 04:35:00,1.0873857351e+09,1.0873857351e+09,1.8632640133e+08,1.8632640133e+08
2020-03-24 04:40:00,4.5623738556e+08,4.5623738556e+08,1.6769250606e+08,1.6769250606e+08
2020-03-24 04:45:00,1.4803462115e+09,1.4803462115e+09,1.5996208382e+08,1.5996208382e+08
2020-03-24 04:50:00,1.5642424390e+09,1.5642424390e+09,2.0021559442e+08,2.0021559442e+08
2020-03-24 04:55:00,1.1209791132e+09,1.1209791132e+09,2.1114769578e+08,2.1114769578e+08
2020-03-24 05:00:00,2.5717676528e+09,2.5717676528e+09,3.1110350689e+08,3.1110350689e+08
2020-03-24 05:05:00,2.1786727716e+09,2.1786727716e+09,2.4285358537e+08,2.4285358537e+08
2020-03-24 05:10:00,1.0751104244e+09,1.0751104244e+09,2.2449973429e+08,2.2449973429e+08
2020-03-24 05:15:00,1.8202588812e+09,1.8202588812e+09,4.7572478560e+08,4.7572478560e+08
2020-03-24 05:20:00,1.2160392106e+09,1.2160392106e+09,3.5411634948e+08,3.5411634948e+08
2020-03-24 05:25:00,5.5127868730e+08,5.5127868730e+08,3.1412864884e+08,3.1412864884e+08
2020-03-24 05:30:00,3.7166398597e+08,3.7166398597e+08,4.4182952990e+08,4.4182952990e+08
2020-03-24 05:35:00,1.8528210135e+09,1.8528210135e+09,2.9010720788e+08,2.9010720788e+08
2020-03-24 05:40:00,2.4973167021e+09,2.4973167021e+09,2.1196663258e+08,2.1196663258e+08
