DATE,SIIT,SIIT_peak,ITSI,ITSI_peak
2020-03-26 05:15:00,6.9200951246e+09,6.9200951246e+09,8.4533399035e+09,8.4533399035e+09
2020-03-26 05:20:00,1.4493880812e+10,1.4493880812e+10,2.5789920392e+09,2.5789920392e+09
2020-03-26 05:25:00,9.1470200971e+09,9.1470200971e+09,7.8102939583e+09,7.8102939583e+09
2020-03-26 05:30:00,6.1407046658e+09,6.1407046658e+09,8.2555194207e+09,8.2555194207e+09
2020-03-26 05:35:00,1.0547588906e+10,1.0547588906e+10,1.0244854840e+10,1.0244854840e+10
2020-03-26 05:40:00,7.0597775229e+09,7.0597775229e+09,1.0731042369e+10,1.0731042369e+10
2020-03-26 05:45:00,3.9498961197e+09,3.9498961197e+09,6.0165652657e+09,6.0165652657e+09
2020-03-26 05:50:00,6.5922032739e+09,6.5922032739e+09,5.1532838304e+09,5.1532838304e+09
2020-03-26 05:55:00,3.8766953340e+09,3.8766953340e+09,5.3508432302e+09,5.3508432302e+09
2020-03-26 06:00:00,5.4141674070e+09,5.4141674070e+09,9.7093355617e+09,9.7093355617e+09
2020-03-26 06:05:00,9.3642309410e+09,9.3642309410e+09,5.8695155459e+09,5.8695155459e+09
2020-03-26 06:10:00,5.9660396402e+09,5.9660396402e+09,3.6690315113e+09,3.6690315113e+09
2020-03-26 06:15:00,5.9829654736e+09,5.9829654736e+09,3.7402572718e+09,3.7402572718e+09
2020-03-26 06:20:00,5.0117495341e+09,5.0117495341e+09,4.7648152468e+09,4.7648152468e+09
2020-03-26 06:25:00,5.6512252229e+09,5.6512252229e+09,5.9335075685e+09,5.9335075685e+09
2020-03-26 06:30:00,3.6123209285e+09,3.6123209285e+09,6.0302820161e+09,6.0302820161e+09
2020-03-26 06:35:00,4.2321390074e+09,4.2321390074e+09,3.0130162843e+09,3.0130162843e+09
2020-03-26 06:40:00,4.7615668198e+09,4.7615668198e+09,3.0476589365e+09,3.0476589365e+09
2020-03-26 06:45:00,7.4901163953e+09,7.4901163953e+09,5.3846536310e+09,5.3846536310e+09
2020-03-26 06:50:00,8.6286734400e+09,8.6286734400e+09,3.7894943652e+09,3.7894943652e+09
2020-03-26 06:55:00,1.0118871787e+10,1.0118871787e+10,4.1245356619e+09,4.1245356619e+09
2020-03-26 07:00:00,1.1177614442e+10,1.1177614442e+10,3.7209961031e+09,3.7209961031e+09
2020-03-26 07:05:00,9.4123220370e+09,9.4123220370e+09,3.2823203352e+09,3.2823203352e+09
2020-03-26 07:10:00,6.2689822093e+09,6.2689822093e+09,2.5607039177e+09,2.5607039177e+09
2020-03-26 07:15:00,6.6418663690e+09,6.6418663690e+09,4.9064317590e+09,4.9064317590e+09
2020-03-26 07:20:00,7.0964855416e+09,7.0964855416e+09,4.5695831966e+09,4.5695831966e+09
2020-03-26 07:25:00,1.0036039612e+10,1.0036039612e+10,5.6833115899e+09,5.6833115899e+09
2020-03-26 07:30:00,1.0226996149e+10,1.0226996149e+10,7.7109471700e+09,7.7109471700e+09
2020-03-26 07:35:00,1.0491073790e+10,1.0491073790e+10,6.0195289401e+09,6.0195289401e+09
2020-03-26 07:40:00,1.1666019252e+10,1.1666019252e+10,3.5566659594e+09,3.5566659594e+09
2020-03-26 07:45:00,1.0387791671e+10,1.0387791671e+10,4.3069830338e+09,4.3069830338e+09
2020-03-26 07:50:00,1.1849843058e+10,1.1849843058e+10,3.8261539105e+09,3.8261539105e+09
2020-03-26 07:55:00,1.1387774716e+10,1.1387774716e+10,7.0764706647e+09,7.0764706647e+09
2020-03-26 08:00:00,1.1419309791e+10,1.1419309791e+10,9.7055129627e+09,9.7055129627e+09
2020-03-26 08:05:00,1.0676577368e+10,1.0676577368e+10,6.1428469731e+09,6.1428469731e+09
2020-03-26 08:10:00,1.1467447061e+10,1.1467447061e+10,8.5224041402e+09,8.5224041402e+09
2020-03-26 08:15:00,1.2258920083e+10,1.2258920083e+10,8.2702893475e+09,8.2702893475e+09
2020-03-26 08:20:00,1.3064805857e+10,1.3064805857e+10,3.8569430537e+09,3.8569430537e+09
2020-03-26 08:25:00,1.1666997071e+10,1.1666997071e+10,4.7773356353e+09,4.7773356353e+09
2020-03-26 08:30:00,1.2297445488e+10,1.2297445488e+10,3.3131407604e+09,3.3131407604e+09
2020-03-26 08:35:00,1.1288208773e+10,1.1288208773e+10,6.9723582422e+09,6.9723582422e+09
2020-03-26 08:40:00,7.7718963504e+09,7.7718963504e+09,6.1896057553e+09,6.1896057553e+09
2020-03-26 08:45:00,6.9339573049e+09,6.9339573049e+09,5.4762399326e+09,5.4762399326e+09
2020-03-26 08:50:00,7.9118671857e+09,7.9118671857e+09,3.5759775431e+09,3.5759775431e+09
2020-03-26 08:55:00,6.6029882692e+09,6.6029882692e+09,1.2831731852e+10,1.2831731852e+10
2020-03-26 09:00:00,8.0853499631e+09,8.0853499631e+09,6.9589572579e+09,6.9589572579e+09
2020-03-26 09:05:00,6.3658222208e+09,6.3658222208e+09,4.8992906473e+09,4.8992906473e+09
2020-03-26 09:10:00,6.9958810599e+09,6.9958810599e+09,3.3080653688e+09,3.3080653688e+09
2020-03-26 09:15:00,1.1588262823e+10,1.1588262823e+10,2.3749431999e+09,2.3749431999e+09
2020-03-26 09:20:00,1.1037753267e+10,1.1037753267e+10,4.1553958948e+09,4.1553958948e+09
2020-03-26 09:25:00,6.3901152171e+09,6.3901152171e+09,3.8817945324e+09,3.8817945324e+09
2020-03-26 09:30:00,6.1190050644e+09,6.1190050644e+09,2.5631773541e+09,2.5631773541e+09
2020-03-26 09:35:00,5.1819265470e+09,5.1819265470e+09,6.5306230381e+09,6.5306230381e+09
2020-03-26 09:40:00,5.3442253044e+09,5.3442253044e+09,5.1073934787e+09,5.1073934787e+09
2020-03-26 09:45:00,7.2639892963e+09,7.2639892963e+09,4.6419520791e+09,4.6419520791e+09
2020-03-26 09:50:00,1.5019942731e+10,1.5019942731e+10,9.0938769197e+09,9.0938769197e+09
2020-03-26 09:55:00,1.3776201971e+10,1.3776201971e+10,5.2890994515e+09,5.2890994515e+09
2020-03-26 10:00:00,1.4351323812e+10,1.4351323812e+10,4.2868670417e+09,4.2868670417e+09
2020-03-26 10:05:00,1.4865206914e+10,1.4865206914e+10,7.7371658033e+09,7.7371658033e+09
2020-03-26 10:10:00,1.6086515735e+10,1.6086515735e+10,5.7690212480e+09,5.7690212480e+09
2020-03-26 10:15:00,1.5328027113e+10,1.5328027113e+10,4.6892986164e+09,4.6892986164e+09
2020-03-26 10:20:00,1.5726816464e+10,1.5726816464e+10,5.9435532564e+09,5.9435532564e+09
2020-03-26 10:25:00,1.2715303649e+10,1.2715303649e+10,7.9323701700e+09,7.9323701700e+09
2020-03-26 10:30:00,1.2010663058e+10,1.2010663058e+10,5.2721016031e+09,5.2721016031e+09
2020-03-26 10:35:00,1.3321622504e+10,1.3321622504e+10,8.1210641084e+09,8.1210641084e+09
2020-03-26 10:40:00,1.1809105037e+10,1.1809105037e+10,6.2493545932e+09,6.2493545932e+09
2020-03-26 10:45:00,1.1635745136e+10,1.1635745136e+10,7.4281811885e+09,7.4281811885e+09
2020-03-26 10:50:00,1.3529193182e+10,1.3529193182e+10,5.3399528502e+09,5.3399528502e+09
2020-03-26 10:55:00,1.2248847944e+10,1.2248847944e+10,7.0224906181e+09,7.0224906181e+09
2020-03-26 11:00:00,1.2866387784e+10,1.2866387784e+10,8.3245908168e+09,8.3245908168e+09
