DATE,GRGC,GRGC_peak,GCGR,GCGR_peak
2020-03-25 21:40:00,3.8741246085e+09,3.8741246085e+09,3.1483494818e+09,3.1483494818e+09
2020-03-25 21:45:00,3.4227908952e+09,3.4227908952e+09,2.7855151653e+09,2.7855151653e+09
2020-03-25 21:50:00,2.6304845640e+09,2.6304845640e+09,3.0603986301e+09,3.0603986301e+09
2020-03-25 21:55:00,2.6383291087e+09,2.6383291087e+09,2.5401499877e+09,2.5401499877e+09
2020-03-25 22:00:00,2.6571628365e+09,2.6571628365e+09,2.6706150120e+09,2.6706150120e+09
2020-03-25 22:05:00,2.9279558947e+09,2.9279558947e+09,3.0652025645e+09,3.0652025645e+09
2020-03-25 22:10:00,4.3716472411e+09,4.3716472411e+09,2.8932288666e+09,2.8932288666e+09
2020-03-25 22:15:00,3.3462725120e+09,3.3462725120e+09,3.2841287820e+09,3.2841287820e+09
2020-03-25 22:20:00,3.6461764513e+09,3.6461764513e+09,4.6766186918e+09,4.6766186918e+09
2020-03-25 22:25:00,4.0945396594e+09,4.0945396594e+09,4.0068310562e+09,4.0068310562e+09
2020-03-25 22:30:00,2.7944676711e+09,2.7944676711e+09,2.7820141129e+09,2.7820141129e+09
2020-03-25 22:35:00,3.1297452129e+09,3.1297452129e+09,2.2511037062e+09,2.2511037062e+09
2020-03-25 22:40:00,3.3263642025e+09,3.3263642025e+09,2.6775435991e+09,2.6775435991e+09
2020-03-25 22:45:00,2.9816169966e+09,2.9816169966e+09,2.8140593857e+09,2.8140593857e+09
2020-03-25 22:50:00,3.7954665156e+09,3.7954665156e+09,2.7878703482e+09,2.7878703482e+09
2020-03-25 22:55:00,3.9324290049e+09,3.9324290049e+09,2.2899731920e+09,2.2899731920e+09
2020-03-25 23:00:00,2.8109205352e+09,2.8109205352e+09,2.2855806552e+09,2.2855806552e+09
2020-03-25 23:05:00,3.2277672153e+09,3.2277672153e+09,2.7507759397e+09,2.7507759397e+09
2020-03-25 23:10:00,3.3210140156e+09,3.3210140156e+09,3.5815538379e+09,3.5815538379e+09
2020-03-25 23:15:00,3.6344806951e+09,3.6344806951e+09,2.0489377637e+09,2.0489377637e+09
2020-03-25 23:20:00,3.7182662178e+09,3.7182662178e+09,2.2635272651e+09,2.2635272651e+09
2020-03-25 23:25:00,3.4668615765e+09,3.4668615765e+09,1.9733518001e+09,1.9733518001e+09
2020-03-25 23:30:00,3.0462642653e+09,3.0462642653e+09,2.4143369615e+09,2.4143369615e+09
2020-03-25 23:35:00,4.6077747587e+09,4.6077747587e+09,2.3548191375e+09,2.3548191375e+09
2020-03-25 23:40:00,4.0391253388e+09,4.0391253388e+09,3.0145999297e+09,3.0145999297e+09
2020-03-25 23:45:00,4.0887212685e+09,4.0887212685e+09,3.7872405716e+09,3.7872405716e+09
