DATE,BGAT,BGAT_peak,ATBG,ATBG_peak
2020-03-22 09:15:00,4.1625338371e+09,4.1625338371e+09,1.8995793880e+09,1.8995793880e+09
2020-03-22 09:20:00,2.7553632458e+09,2.7553632458e+09,2.2137614437e+09,2.2137614437e+09
2020-03-22 09:25:00,2.0459970738e+09,2.0459970738e+09,1.5481023804e+09,1.5481023804e+09
2020-03-22 09:30:00,4.6102227916e+09,4.6102227916e+09,1.8796792330e+09,1.8796792330e+09
2020-03-22 09:35:00,3.4967993422e+09,3.4967993422e+09,2.8017891269e+09,2.8017891269e+09
2020-03-22 09:40:00,3.0726806846e+09,3.0726806846e+09,2.8512849801e+09,2.8512849801e+09
2020-03-22 09:45:00,1.6770977471e+09,1.6770977471e+09,2.5048420247e+09,2.5048420247e+09
2020-03-22 09:50:00,1.8974060019e+09,1.8974060019e+09,2.3464744016e+09,2.3464744016e+09
2020-03-22 09:55:00,1.6599134274e+09,1.6599134274e+09,2.2973380446e+09,2.2973380446e+09
2020-03-22 10:00:00,1.5963027871e+09,1.5963027871e+09,2.3180251803e+09,2.3180251803e+09
2020-03-22 10:05:00,1.8107162742e+09,1.8107162742e+09,2.5330354221e+09,2.5330354221e+09
2020-03-22 10:10:00,1.8538260389e+09,1.8538260389e+09,2.1754784699e+09,2.1754784699e+09
2020-03-22 10:15:00,2.1189161637e+09,2.1189161637e+09,3.4393407151e+09,3.4393407151e+09
2020-03-22 10:20:00,2.4748142865e+09,2.4748142865e+09,3.3833739122e+09,3.3833739122e+09
2020-03-22 10:25:00,2.4477449479e+09,2.4477449479e+09,2.1040823250e+09,2.1040823250e+09
2020-03-22 10:30:00,2.5014855784e+09,2.5014855784e+09,2.0011584403e+09,2.0011584403e+09
2020-03-22 10:35:00,2.5624404135e+09,2.5624404135e+09,4.7275529317e+09,4.7275529317e+09
2020-03-22 10:40:00,2.6106621156e+09,2.6106621156e+09,6.9182659270e+09,6.9182659270e+09
2020-03-22 10:45:00,4.1536057558e+09,4.1536057558e+09,4.0001299117e+09,4.0001299117e+09
2020-03-22 10:50:00,3.9126985246e+09,3.9126985246e+09,3.6522009528e+09,3.6522009528e+09
2020-03-22 10:55:00,2.7922610260e+09,2.7922610260e+09,4.2476897779e+09,4.2476897779e+09
2020-03-22 11:00:00,2.8333069112e+09,2.8333069112e+09,2.7106120078e+09,2.7106120078e+09
2020-03-22 11:05:00,4.6178317427e+09,4.6178317427e+09,3.4668666485e+09,3.4668666485e+09
2020-03-22 11:10:00,3.3769051897e+09,3.3769051897e+09,3.4947747905e+09,3.4947747905e+09
2020-03-22 11:15:00,3.9262642033e+09,3.9262642033e+09,2.4344078069e+09,2.4344078069e+09
2020-03-22 11:20:00,5.8059593871e+09,5.8059593871e+09,2.9100662438e+09,2.9100662438e+09
2020-03-22 11:25:00,3.2604736501e+09,3.2604736501e+09,2.9899803067e+09,2.9899803067e+09
2020-03-22 11:30:00,2.6836252276e+09,2.6836252276e+09,2.8911717266e+09,2.8911717266e+09
2020-03-22 11:35:00,2.9894385277e+09,2.9894385277e+09,2.2704169905e+09,2.2704169905e+09
2020-03-22 11:40:00,2.5770084413e+09,2.5770084413e+09,2.8341128252e+09,2.8341128252e+09
2020-03-22 11:45:00,3.1833308666e+09,3.1833308666e+09,2.9622577629e+09,2.9622577629e+09
2020-03-22 11:50:00,2.4433698325e+09,2.4433698325e+09,2.7788834265e+09,2.7788834265e+09
2020-03-22 11:55:00,2.8235711986e+09,2.8235711986e+09,2.4072620774e+09,2.4072620774e+09
2020-03-22 12:00:00,2.7331183435e+09,2.7331183435e+09,2.8761983405e+09,2.8761983405e+09
2020-03-22 12:05:00,2.8970823224e+09,2.8970823224e+09,2.9173469487e+09,2.9173469487e+09
2020-03-22 12:10:00,5.9011369415e+09,5.9011369415e+09,2.4527589545e+09,2.4527589545e+09
2020-03-22 12:15:00,7.4366044501e+09,7.4366044501e+09,2.5658907024e+09,2.5658907024e+09
2020-03-22 12:20:00,1.0412610010e+10,1.0412610010e+10,2.6861186110e+09,2.6861186110e+09
2020-03-22 12:25:00,9.3830671855e+09,9.3830671855e+09,2.3906085338e+09,2.3906085338e+09
2020-03-22 12:30:00,8.7012370559e+09,8.7012370559e+09,2.6441343370e+09,2.6441343370e+09
2020-03-22 12:35:00,1.0217458936e+10,1.0217458936e+10,2.4429061391e+09,2.4429061391e+09
2020-03-22 12:40:00,8.6773780121e+09,8.6773780121e+09,2.6934073330e+09,2.6934073330e+09
2020-03-22 12:45:00,8.9494478257e+09,8.9494478257e+09,2.2217808832e+09,2.2217808832e+09
2020-03-22 12:50:00,9.0863392139e+09,9.0863392139e+09,2.6972650064e+09,2.6972650064e+09
2020-03-22 12:55:00,8.7791262420e+09,8.7791262420e+09,2.5007478901e+09,2.5007478901e+09
2020-03-22 13:00:00,8.5501410659e+09,8.5501410659e+09,2.4494857821e+09,2.4494857821e+09
2020-03-22 13:05:00,8.8526743103e+09,8.8526743103e+09,2.8988530700e+09,2.8988530700e+09
2020-03-22 13:10:00,9.0185316553e+09,9.0185316553e+09,3.0348161788e+09,3.0348161788e+09
2020-03-22 13:15:00,7.7329585386e+09,7.7329585386e+09,2.6592019507e+09,2.6592019507e+09
2020-03-22 13:20:00,7.7021184768e+09,7.7021184768e+09,2.4329552996e+09,2.4329552996e+09
2020-03-22 13:25:00,7.3556887018e+09,7.3556887018e+09,2.1887729564e+09,2.1887729564e+09
2020-03-22 13:30:00,7.2206913680e+09,7.2206913680e+09,2.2996878977e+09,2.2996878977e+09
2020-03-22 13:35:00,7.8294463077e+09,7.8294463077e+09,2.3382403401e+09,2.3382403401e+09
2020-03-22 13:40:00,8.0951783591e+09,8.0951783591e+09,1.6271665423e+09,1.6271665423e+09
2020-03-22 13:45:00,8.3966165564e+09,8.3966165564e+09,2.1475215260e+09,2.1475215260e+09
2020-03-22 13:50:00,8.1945715094e+09,8.1945715094e+09,2.0262509440e+09,2.0262509440e+09
2020-03-22 13:55:00,9.5453832629e+09,9.5453832629e+09,2.2689494404e+09,2.2689494404e+09
2020-03-22 14:00:00,8.0051604139e+09,8.0051604139e+09,2.5882841279e+09,2.5882841279e+09
2020-03-22 14:05:00,7.3494702369e+09,7.3494702369e+09,2.2923553890e+09,2.2923553890e+09
2020-03-22 14:10:00,6.5308693853e+09,6.5308693853e+09,2.6199267721e+09,2.6199267721e+09
2020-03-22 14:15:00,6.8398016526e+09,6.8398016526e+09,2.3829714635e+09,2.3829714635e+09
2020-03-22 14:20:00,6.4488553148e+09,6.4488553148e+09,2.5787842382e+09,2.5787842382e+09
2020-03-22 14:25:00,6.9445864231e+09,6.9445864231e+09,2.8244508551e+09,2.8244508551e+09
2020-03-22 14:30:00,6.3731843934e+09,6.3731843934e+09,2.1783468954e+09,2.1783468954e+09
2020-03-22 14:35:00,6.8671335277e+09,6.8671335277e+09,2.6884828548e+09,2.6884828548e+09
2020-03-22 14:40:00,6.6605099348e+09,6.6605099348e+09,3.3901796628e+09,3.3901796628e+09
2020-03-22 14:45:00,6.7296677194e+09,6.7296677194e+09,2.3273053185e+09,2.3273053185e+09
2020-03-22 14:50:00,6.5991104411e+09,6.5991104411e+09,2.3344765230e+09,2.3344765230e+09
2020-03-22 14:55:00,6.2756368897e+09,6.2756368897e+09,2.4039209199e+09,2.4039209199e+09
2020-03-22 15:00:00,5.9296286513e+09,5.9296286513e+09,1.9720752126e+09,1.9720752126e+09
2020-03-22 15:05:00,5.0461524291e+09,5.0461524291e+09,2.3112604664e+09,2.3112604664e+09
2020-03-22 15:10:00,5.6189530476e+09,5.6189530476e+09,1.8831540260e+09,1.8831540260e+09
2020-03-22 15:15:00,6.2640901820e+09,6.2640901820e+09,2.1186428748e+09,2.1186428748e+09
2020-03-22 15:20:00,7.3847786255e+09,7.3847786255e+09,3.4695285676e+09,3.4695285676e+09
2020-03-22 15:25:00,1.0221637999e+10,1.0221637999e+10,3.8272495703e+09,3.8272495703e+09
2020-03-22 15:30:00,1.0355074947e+10,1.0355074947e+10,2.8622599541e+09,2.8622599541e+09
2020-03-22 15:35:00,8.6126281489e+09,8.6126281489e+09,4.1196682032e+09,4.1196682032e+09
2020-03-22 15:40:00,8.8982867769e+09,8.8982867769e+09,4.5907316381e+09,4.5907316381e+09
2020-03-22 15:45:00,8.1596268389e+09,8.1596268389e+09,3.9920499876e+09,3.9920499876e+09
2020-03-22 15:50:00,7.1218521839e+09,7.1218521839e+09,3.6101081804e+09,3.6101081804e+09
2020-03-22 15:55:00,7.2514942609e+09,7.2514942609e+09,4.0431707448e+09,4.0431707448e+09
2020-03-22 16:00:00,6.9315807537e+09,6.9315807537e+09,3.7459681521e+09,3.7459681521e+09
2020-03-22 16:05:00,7.6437066474e+09,7.6437066474e+09,3.6551471669e+09,3.6551471669e+09
2020-03-22 16:10:00,7.3024072332e+09,7.3024072332e+09,3.4445449895e+09,3.4445449895e+09
2020-03-22 16:15:00,7.3695822541e+09,7.3695822541e+09,3.0377130000e+09,3.0377130000e+09
2020-03-22 16:20:00,7.9423169400e+09,7.9423169400e+09,3.5151564019e+09,3.5151564019e+09
2020-03-22 16:25:00,8.5776335389e+09,8.5776335389e+09,3.9107690809e+09,3.9107690809e+09
2020-03-22 16:30:00,8.4407595483e+09,8.4407595483e+09,3.9298965400e+09,3.9298965400e+09
2020-03-22 16:35:00,8.7776855425e+09,8.7776855425e+09,3.9907365054e+09,3.9907365054e+09
2020-03-22 16:40:00,8.1875977066e+09,8.1875977066e+09,3.5133895648e+09,3.5133895648e+09
2020-03-22 16:45:00,7.8921571469e+09,7.8921571469e+09,2.9482638900e+09,2.9482638900e+09
2020-03-22 16:50:00,7.6437209369e+09,7.6437209369e+09,2.9967764508e+09,2.9967764508e+09
2020-03-22 16:55:00,7.6371840852e+09,7.6371840852e+09,2.5491792421e+09,2.5491792421e+09
2020-03-22 17:00:00,9.6090151865e+09,9.6090151865e+09,1.9757173500e+09,1.9757173500e+09
2020-03-22 17:05:00,1.0479850175e+10,1.0479850175e+10,2.4679926331e+09,2.4679926331e+09
2020-03-22 17:10:00,1.2329842547e+10,1.2329842547e+10,2.2319219246e+09,2.2319219246e+09
2020-03-22 17:15:00,1.1315733428e+10,1.1315733428e+10,2.6747532307e+09,2.6747532307e+09
2020-03-22 17:20:00,1.0287855784e+10,1.0287855784e+10,2.4046521152e+09,2.4046521152e+09
2020-03-22 17:25:00,1.0292087114e+10,1.0292087114e+10,1.8948791549e+09,1.8948791549e+09
2020-03-22 17:30:00,1.4069931576e+10,1.4069931576e+10,1.7542128321e+09,1.7542128321e+09
2020-03-22 17:35:00,1.5815050150e+10,1.5815050150e+10,1.8633582792e+09,1.8633582792e+09
