DATE,LTPL,LTPL_peak,PLLT,LTPL_peak
2020-03-22 11:15:00,7.7570185844e+08,7.7570185844e+08,3.1734247589e+08,3.1734247589e+08
2020-03-22 11:20:00,8.0820607979e+08,8.0820607979e+08,3.5968543399e+08,3.5968543399e+08
2020-03-22 11:25:00,7.7173699613e+08,7.7173699613e+08,4.9911254900e+08,4.9911254900e+08
2020-03-22 11:30:00,7.5736079971e+08,7.5736079971e+08,5.1883805392e+08,5.1883805392e+08
2020-03-22 11:35:00,8.3402364364e+08,8.3402364364e+08,4.9335726516e+08,4.9335726516e+08
2020-03-22 11:40:00,8.3631403776e+08,8.3631403776e+08,5.2283680930e+08,5.2283680930e+08
2020-03-22 11:45:00,8.4309242479e+08,8.4309242479e+08,3.5145766080e+08,3.5145766080e+08
2020-03-22 11:50:00,8.9140762357e+08,8.9140762357e+08,3.7474410060e+08,3.7474410060e+08
2020-03-22 11:55:00,9.8591839804e+08,9.8591839804e+08,3.1645763407e+08,3.1645763407e+08
2020-03-22 12:00:00,1.0209588944e+09,1.0209588944e+09,4.9587728923e+08,4.9587728923e+08
2020-03-22 12:05:00,9.7493741274e+08,9.7493741274e+08,5.6279503592e+08,5.6279503592e+08
2020-03-22 12:10:00,1.0816274312e+09,1.0816274312e+09,5.2791351635e+08,5.2791351635e+08
2020-03-22 12:15:00,9.0287551287e+08,9.0287551287e+08,5.1413859227e+08,5.1413859227e+08
2020-03-22 12:20:00,8.4451700388e+08,8.4451700388e+08,5.1739411345e+08,5.1739411345e+08
2020-03-22 12:25:00,8.6242476195e+08,8.6242476195e+08,4.4345216137e+08,4.4345216137e+08
2020-03-22 12:30:00,9.0738095789e+08,9.0738095789e+08,4.7631935810e+08,4.7631935810e+08
2020-03-22 12:35:00,9.7655598237e+08,9.7655598237e+08,4.3829976592e+08,4.3829976592e+08
2020-03-22 12:40:00,1.0129703988e+09,1.0129703988e+09,4.4500330967e+08,4.4500330967e+08
2020-03-22 12:45:00,9.2048984571e+08,9.2048984571e+08,3.9903101203e+08,3.9903101203e+08
2020-03-22 12:50:00,9.5075280342e+08,9.5075280342e+08,4.5972795530e+08,4.5972795530e+08
2020-03-22 12:55:00,1.1171710865e+09,1.1171710865e+09,5.3411491999e+08,5.3411491999e+08
2020-03-22 13:00:00,8.6950446524e+08,8.6950446524e+08,4.3335457349e+08,4.3335457349e+08
2020-03-22 13:05:00,8.4093062249e+08,8.4093062249e+08,3.6533719889e+08,3.6533719889e+08
2020-03-22 13:10:00,9.2741436711e+08,9.2741436711e+08,3.4573079469e+08,3.4573079469e+08
2020-03-22 13:15:00,7.9864053741e+08,7.9864053741e+08,3.2498629783e+08,3.2498629783e+08
2020-03-22 13:20:00,7.8339927934e+08,7.8339927934e+08,3.1427313613e+08,3.1427313613e+08
2020-03-22 13:25:00,8.5999534648e+08,8.5999534648e+08,2.7840344962e+08,2.7840344962e+08
2020-03-22 13:30:00,8.8365617435e+08,8.8365617435e+08,3.0733749975e+08,3.0733749975e+08
2020-03-22 13:35:00,9.0519835764e+08,9.0519835764e+08,3.0365300171e+08,3.0365300171e+08
2020-03-22 13:40:00,8.5884922420e+08,8.5884922420e+08,3.4106328278e+08,3.4106328278e+08
2020-03-22 13:45:00,8.4512417409e+08,8.4512417409e+08,3.6003917372e+08,3.6003917372e+08
2020-03-22 13:50:00,8.7070676015e+08,8.7070676015e+08,3.5398372001e+08,3.5398372001e+08
2020-03-22 13:55:00,8.3097739510e+08,8.3097739510e+08,3.1651133836e+08,3.1651133836e+08
2020-03-22 14:00:00,8.1536254830e+08,8.1536254830e+08,2.9791772542e+08,2.9791772542e+08
2020-03-22 14:05:00,7.6630432386e+08,7.6630432386e+08,3.3672529276e+08,3.3672529276e+08
2020-03-22 14:10:00,9.1243242386e+08,9.1243242386e+08,3.3243281690e+08,3.3243281690e+08
2020-03-22 14:15:00,8.9184621206e+08,8.9184621206e+08,3.1643464822e+08,3.1643464822e+08
2020-03-22 14:20:00,9.1711521120e+08,9.1711521120e+08,3.3045719640e+08,3.3045719640e+08
2020-03-22 14:25:00,1.0015756808e+09,1.0015756808e+09,2.7466999323e+08,2.7466999323e+08
2020-03-22 14:30:00,1.0691557328e+09,1.0691557328e+09,2.8312429693e+08,2.8312429693e+08
