DATE,CHFN,CHFN_peak,FNCH,CHFN_peak
2020-03-23 07:00:00,9.7772322997e+09,9.7772322997e+09,4.2043315440e+09,4.2043315440e+09
2020-03-23 07:05:00,8.8900984352e+09,8.8900984352e+09,4.6876339548e+09,4.6876339548e+09
2020-03-23 07:10:00,8.8223735824e+09,8.8223735824e+09,1.0996633672e+10,1.0996633672e+10
2020-03-23 07:15:00,1.0563385547e+10,1.0563385547e+10,7.5075424274e+09,7.5075424274e+09
2020-03-23 07:20:00,9.5345162035e+09,9.5345162035e+09,5.0054130312e+09,5.0054130312e+09
2020-03-23 07:25:00,1.0505357683e+10,1.0505357683e+10,6.0976013735e+09,6.0976013735e+09
2020-03-23 07:30:00,9.6608591212e+09,9.6608591212e+09,6.1611109292e+09,6.1611109292e+09
2020-03-23 07:35:00,9.0030112498e+09,9.0030112498e+09,5.2747640765e+09,5.2747640765e+09
2020-03-23 07:40:00,9.5588548532e+09,9.5588548532e+09,4.4152198671e+09,4.4152198671e+09
2020-03-23 07:45:00,9.2714349212e+09,9.2714349212e+09,6.0369174816e+09,6.0369174816e+09
2020-03-23 07:50:00,9.2941528473e+09,9.2941528473e+09,6.6229462259e+09,6.6229462259e+09
2020-03-23 07:55:00,1.0520631599e+10,1.0520631599e+10,8.6752480174e+09,8.6752480174e+09
2020-03-23 08:00:00,1.0048776375e+10,1.0048776375e+10,7.1216611732e+09,7.1216611732e+09
2020-03-23 08:05:00,1.0694028263e+10,1.0694028263e+10,5.1932451229e+09,5.1932451229e+09
2020-03-23 08:10:00,1.0373866609e+10,1.0373866609e+10,5.9355656039e+09,5.9355656039e+09
2020-03-23 08:15:00,1.2170428785e+10,1.2170428785e+10,5.4870630918e+09,5.4870630918e+09
2020-03-23 08:20:00,1.4797489787e+10,1.4797489787e+10,6.4913775693e+09,6.4913775693e+09
2020-03-23 08:25:00,1.3279032138e+10,1.3279032138e+10,6.3332978766e+09,6.3332978766e+09
2020-03-23 08:30:00,1.2680769411e+10,1.2680769411e+10,5.9770708838e+09,5.9770708838e+09
2020-03-23 08:35:00,1.2094552546e+10,1.2094552546e+10,5.8802262429e+09,5.8802262429e+09
