DATE,HUSI,HUSI_peak,SIHU,HUSI_peak
2020-03-31 00:45:00,7.4654374808e+08,7.4654374808e+08,3.9181165415e+08,3.9181165415e+08
2020-03-31 00:50:00,7.5364893114e+08,7.5364893114e+08,3.9345203549e+08,3.9345203549e+08
2020-03-31 00:55:00,7.2056198084e+08,7.2056198084e+08,7.5609802597e+08,7.5609802597e+08
2020-03-31 01:00:00,7.2476082646e+08,7.2476082646e+08,4.8049735387e+08,4.8049735387e+08
2020-03-31 01:05:00,8.1211354971e+08,8.1211354971e+08,5.8357563088e+08,5.8357563088e+08
2020-03-31 01:10:00,7.0168503411e+08,7.0168503411e+08,6.7453277574e+08,6.7453277574e+08
2020-03-31 01:15:00,7.0975521956e+08,7.0975521956e+08,3.9148302003e+08,3.9148302003e+08
2020-03-31 01:20:00,6.9937160115e+08,6.9937160115e+08,3.4097222190e+08,3.4097222190e+08
2020-03-31 01:25:00,7.1285098561e+08,7.1285098561e+08,3.6528190568e+08,3.6528190568e+08
2020-03-31 01:30:00,6.7674835268e+08,6.7674835268e+08,5.2749016101e+08,5.2749016101e+08
2020-03-31 01:35:00,6.9319962993e+08,6.9319962993e+08,4.4480864573e+08,4.4480864573e+08
2020-03-31 01:40:00,7.3839209832e+08,7.3839209832e+08,4.3232579349e+08,4.3232579349e+08
2020-03-31 01:45:00,7.2806633406e+08,7.2806633406e+08,1.9052398712e+08,1.9052398712e+08
2020-03-31 01:50:00,7.0382796671e+08,7.0382796671e+08,2.1208041777e+08,2.1208041777e+08
2020-03-31 01:55:00,6.8809040668e+08,6.8809040668e+08,3.3542734970e+08,3.3542734970e+08
2020-03-31 02:00:00,7.2056215580e+08,7.2056215580e+08,4.1034177036e+08,4.1034177036e+08
2020-03-31 02:05:00,7.2472696037e+08,7.2472696037e+08,3.2467468087e+08,3.2467468087e+08
2020-03-31 02:10:00,7.2291797057e+08,7.2291797057e+08,2.3650366519e+08,2.3650366519e+08
2020-03-31 02:15:00,7.2551678922e+08,7.2551678922e+08,3.5082307391e+08,3.5082307391e+08
2020-03-31 02:20:00,7.6288046673e+08,7.6288046673e+08,2.9757534201e+08,2.9757534201e+08
2020-03-31 02:25:00,7.3216105012e+08,7.3216105012e+08,2.7342698720e+08,2.7342698720e+08
2020-03-31 02:30:00,7.1096635884e+08,7.1096635884e+08,2.7373395404e+08,2.7373395404e+08
2020-03-31 02:35:00,7.0753514447e+08,7.0753514447e+08,2.3495985284e+08,2.3495985284e+08
2020-03-31 02:40:00,6.5009742514e+08,6.5009742514e+08,2.0330425550e+08,2.0330425550e+08
2020-03-31 02:45:00,7.4744773719e+08,7.4744773719e+08,1.6698666409e+08,1.6698666409e+08
2020-03-31 02:50:00,7.0114191345e+08,7.0114191345e+08,1.2707214332e+08,1.2707214332e+08
2020-03-31 02:55:00,6.9304277684e+08,6.9304277684e+08,1.9645806843e+08,1.9645806843e+08
2020-03-31 03:00:00,6.8830385009e+08,6.8830385009e+08,2.1401659031e+08,2.1401659031e+08
2020-03-31 03:05:00,3.9001654268e+08,3.9001654268e+08,2.0873615108e+08,2.0873615108e+08
2020-03-31 03:10:00,2.7387399674e+08,2.7387399674e+08,2.6585991652e+08,2.6585991652e+08
2020-03-31 03:15:00,2.8632989640e+08,2.8632989640e+08,2.4556798434e+08,2.4556798434e+08
2020-03-31 03:20:00,4.4920160323e+08,4.4920160323e+08,2.0112020976e+08,2.0112020976e+08
2020-03-31 03:25:00,4.3961250034e+08,4.3961250034e+08,2.0335971833e+08,2.0335971833e+08
2020-03-31 03:30:00,3.2259983753e+08,3.2259983753e+08,1.5611420796e+08,1.5611420796e+08
2020-03-31 03:35:00,9.1411647346e+08,9.1411647346e+08,1.4844739020e+08,1.4844739020e+08
2020-03-31 03:40:00,5.4557646372e+08,5.4557646372e+08,1.4715439234e+08,1.4715439234e+08
