DATE,BEUK,BEUK_peak,UKBE,BEUK_peak
2020-03-22 06:25:00,2.7426455645e+08,2.7426455645e+08,2.4474911504e+07,2.4474911504e+07
2020-03-22 06:30:00,2.4045577639e+08,2.4045577639e+08,2.0477148276e+07,2.0477148276e+07
2020-03-22 06:35:00,1.6005232297e+08,1.6005232297e+08,5.7546548079e+07,5.7546548079e+07
2020-03-22 06:40:00,1.5967471471e+08,1.5967471471e+08,2.1498405628e+07,2.1498405628e+07
2020-03-22 06:45:00,1.5270902640e+08,1.5270902640e+08,2.2989386162e+07,2.2989386162e+07
2020-03-22 06:50:00,1.7179405960e+08,1.7179405960e+08,2.1417874801e+07,2.1417874801e+07
2020-03-22 06:55:00,1.7653348589e+08,1.7653348589e+08,2.2749218515e+07,2.2749218515e+07
2020-03-22 07:00:00,1.9804255555e+08,1.9804255555e+08,3.4202511287e+07,3.4202511287e+07
2020-03-22 07:05:00,1.8182084876e+08,1.8182084876e+08,4.8831979779e+07,4.8831979779e+07
2020-03-22 07:10:00,1.7502994211e+08,1.7502994211e+08,2.2927701707e+07,2.2927701707e+07
2020-03-22 07:15:00,1.8345035368e+08,1.8345035368e+08,3.0271964934e+07,3.0271964934e+07
2020-03-22 07:20:00,1.8221895922e+08,1.8221895922e+08,3.3348907719e+07,3.3348907719e+07
2020-03-22 07:25:00,1.9747097410e+08,1.9747097410e+08,2.9855324300e+07,2.9855324300e+07
2020-03-22 07:30:00,1.9304377636e+08,1.9304377636e+08,2.7282432652e+07,2.7282432652e+07
2020-03-22 07:35:00,2.8798060486e+08,2.8798060486e+08,3.2467232430e+07,3.2467232430e+07
2020-03-22 07:40:00,2.8900435586e+08,2.8900435586e+08,2.5938743293e+07,2.5938743293e+07
2020-03-22 07:45:00,2.9383927623e+08,2.9383927623e+08,3.2254113292e+07,3.2254113292e+07
2020-03-22 07:50:00,3.3090444765e+08,3.3090444765e+08,3.2768811530e+07,3.2768811530e+07
2020-03-22 07:55:00,3.0557617120e+08,3.0557617120e+08,3.0435348485e+07,3.0435348485e+07
2020-03-22 08:00:00,3.3862905863e+08,3.3862905863e+08,2.6898260282e+07,2.6898260282e+07
2020-03-22 08:05:00,3.2442069148e+08,3.2442069148e+08,3.0253344658e+07,3.0253344658e+07
2020-03-22 08:10:00,3.3741068164e+08,3.3741068164e+08,3.8192159519e+07,3.8192159519e+07
2020-03-22 08:15:00,3.5081520801e+08,3.5081520801e+08,4.2502770475e+07,4.2502770475e+07
2020-03-22 08:20:00,3.4716615058e+08,3.4716615058e+08,3.3937073485e+07,3.3937073485e+07
2020-03-22 08:25:00,3.5567956766e+08,3.5567956766e+08,3.5784418164e+07,3.5784418164e+07
2020-03-22 08:30:00,3.8007056585e+08,3.8007056585e+08,3.9132540790e+07,3.9132540790e+07
2020-03-22 08:35:00,3.7952529079e+08,3.7952529079e+08,4.2380301605e+07,4.2380301605e+07
2020-03-22 08:40:00,3.7071634230e+08,3.7071634230e+08,4.5030072999e+07,4.5030072999e+07
2020-03-22 08:45:00,3.7061046978e+08,3.7061046978e+08,4.2013829562e+07,4.2013829562e+07
2020-03-22 08:50:00,4.0102353604e+08,4.0102353604e+08,4.2701856818e+07,4.2701856818e+07
2020-03-22 08:55:00,4.1474384903e+08,4.1474384903e+08,4.2145872931e+07,4.2145872931e+07
2020-03-22 09:00:00,3.9985381781e+08,3.9985381781e+08,4.6921165900e+07,4.6921165900e+07
2020-03-22 09:05:00,4.3358792499e+08,4.3358792499e+08,4.7810092314e+07,4.7810092314e+07
2020-03-22 09:10:00,4.0818483424e+08,4.0818483424e+08,4.5240233793e+07,4.5240233793e+07
2020-03-22 09:15:00,4.8238341760e+08,4.8238341760e+08,4.7311073364e+07,4.7311073364e+07
2020-03-22 09:20:00,4.2516791017e+08,4.2516791017e+08,5.8262947979e+07,5.8262947979e+07
2020-03-22 09:25:00,4.5175155638e+08,4.5175155638e+08,4.7777995796e+07,4.7777995796e+07
2020-03-22 09:30:00,4.3177665678e+08,4.3177665678e+08,6.0055762166e+07,6.0055762166e+07
2020-03-22 09:35:00,3.7273962460e+08,3.7273962460e+08,6.2900668870e+07,6.2900668870e+07
2020-03-22 09:40:00,3.8623084909e+08,3.8623084909e+08,5.8303243006e+07,5.8303243006e+07
2020-03-22 09:45:00,3.6649813462e+08,3.6649813462e+08,6.5512789004e+07,6.5512789004e+07
2020-03-22 09:50:00,3.7016820383e+08,3.7016820383e+08,1.6277329640e+08,1.6277329640e+08
2020-03-22 09:55:00,3.7573165641e+08,3.7573165641e+08,7.1285861246e+07,7.1285861246e+07
2020-03-22 10:00:00,3.3821728091e+08,3.3821728091e+08,7.4825367169e+07,7.4825367169e+07
2020-03-22 10:05:00,3.6395682374e+08,3.6395682374e+08,6.6960407204e+07,6.6960407204e+07
2020-03-22 10:10:00,3.6694884105e+08,3.6694884105e+08,6.6426577725e+07,6.6426577725e+07
2020-03-22 10:15:00,3.6021285931e+08,3.6021285931e+08,7.3014675497e+07,7.3014675497e+07
2020-03-22 10:20:00,4.4649996353e+08,4.4649996353e+08,8.1594107126e+07,8.1594107126e+07
2020-03-22 10:25:00,4.1223944497e+08,4.1223944497e+08,9.4147891849e+07,9.4147891849e+07
2020-03-22 10:30:00,3.7736008664e+08,3.7736008664e+08,9.2012038877e+07,9.2012038877e+07
