DATE,CHIT,CHIT_peak,ITCH,CHIT_peak
2020-03-27 08:35:00,2.3344278602e+10,2.3344278602e+10,3.2902968288e+10,3.2902968288e+10
2020-03-27 08:40:00,2.4478627000e+10,2.4478627000e+10,2.9839381912e+10,2.9839381912e+10
2020-03-27 08:45:00,2.8186946876e+10,2.8186946876e+10,3.5333320641e+10,3.5333320641e+10
2020-03-27 08:50:00,2.5094751723e+10,2.5094751723e+10,2.9192200701e+10,2.9192200701e+10
2020-03-27 08:55:00,2.6383253718e+10,2.6383253718e+10,3.3034783862e+10,3.3034783862e+10
2020-03-27 09:00:00,2.4420491547e+10,2.4420491547e+10,4.4171067321e+10,4.4171067321e+10
2020-03-27 09:05:00,2.4085240828e+10,2.4085240828e+10,4.5079505211e+10,4.5079505211e+10
2020-03-27 09:10:00,3.0422385478e+10,3.0422385478e+10,4.4603523272e+10,4.4603523272e+10
2020-03-27 09:15:00,2.7260374608e+10,2.7260374608e+10,4.9936284143e+10,4.9936284143e+10
2020-03-27 09:20:00,2.5664312022e+10,2.5664312022e+10,4.9911973602e+10,4.9911973602e+10
2020-03-27 09:25:00,3.1653295812e+10,3.1653295812e+10,4.6508663243e+10,4.6508663243e+10
2020-03-27 09:30:00,2.6201203192e+10,2.6201203192e+10,4.2211927122e+10,4.2211927122e+10
2020-03-27 09:35:00,2.5860358304e+10,2.5860358304e+10,4.2302281365e+10,4.2302281365e+10
2020-03-27 09:40:00,3.1228596332e+10,3.1228596332e+10,4.0042853656e+10,4.0042853656e+10
2020-03-27 09:45:00,3.0387388637e+10,3.0387388637e+10,4.5202043824e+10,4.5202043824e+10
2020-03-27 09:50:00,3.3838737291e+10,3.3838737291e+10,4.3939327582e+10,4.3939327582e+10
2020-03-27 09:55:00,3.1182124828e+10,3.1182124828e+10,4.4606658797e+10,4.4606658797e+10
2020-03-27 10:00:00,3.2102491825e+10,3.2102491825e+10,4.2313041339e+10,4.2313041339e+10
2020-03-27 10:05:00,3.5406468919e+10,3.5406468919e+10,4.1061450555e+10,4.1061450555e+10
2020-03-27 10:10:00,3.6355516860e+10,3.6355516860e+10,3.0684146410e+10,3.0684146410e+10
2020-03-27 10:15:00,3.5676783521e+10,3.5676783521e+10,2.8419127224e+10,2.8419127224e+10
2020-03-27 10:20:00,3.6422873225e+10,3.6422873225e+10,3.0025248026e+10,3.0025248026e+10
2020-03-27 10:25:00,3.5429803389e+10,3.5429803389e+10,2.7539923961e+10,2.7539923961e+10
2020-03-27 10:30:00,3.3674232495e+10,3.3674232495e+10,3.7522633367e+10,3.7522633367e+10
2020-03-27 10:35:00,3.2919798296e+10,3.2919798296e+10,3.3628051218e+10,3.3628051218e+10
2020-03-27 10:40:00,3.0918274174e+10,3.0918274174e+10,3.4425878760e+10,3.4425878760e+10
2020-03-27 10:45:00,3.5129786046e+10,3.5129786046e+10,3.2465989753e+10,3.2465989753e+10
2020-03-27 10:50:00,3.3734309870e+10,3.3734309870e+10,2.9057467720e+10,2.9057467720e+10
2020-03-27 10:55:00,2.8380655001e+10,2.8380655001e+10,3.9978296289e+10,3.9978296289e+10
2020-03-27 11:00:00,2.3678805813e+10,2.3678805813e+10,3.3787582529e+10,3.3787582529e+10
2020-03-27 11:05:00,2.7137153183e+10,2.7137153183e+10,3.4478262951e+10,3.4478262951e+10
2020-03-27 11:10:00,3.1739681326e+10,3.1739681326e+10,3.2017895825e+10,3.2017895825e+10
2020-03-27 11:15:00,2.5025435484e+10,2.5025435484e+10,3.3485067739e+10,3.3485067739e+10
2020-03-27 11:20:00,3.2309080483e+10,3.2309080483e+10,3.2894220824e+10,3.2894220824e+10
2020-03-27 11:25:00,3.1450086788e+10,3.1450086788e+10,3.3762119307e+10,3.3762119307e+10
2020-03-27 11:30:00,3.5024919633e+10,3.5024919633e+10,4.3530355724e+10,4.3530355724e+10
2020-03-27 11:35:00,3.3665880712e+10,3.3665880712e+10,3.9789139239e+10,3.9789139239e+10
2020-03-27 11:40:00,3.0152964878e+10,3.0152964878e+10,3.7354022900e+10,3.7354022900e+10
2020-03-27 11:45:00,3.5299862189e+10,3.5299862189e+10,4.1035432162e+10,4.1035432162e+10
2020-03-27 11:50:00,3.8155963901e+10,3.8155963901e+10,3.5145773378e+10,3.5145773378e+10
2020-03-27 11:55:00,3.1083064804e+10,3.1083064804e+10,3.8012752997e+10,3.8012752997e+10
2020-03-27 12:00:00,3.0920845100e+10,3.0920845100e+10,3.9288057284e+10,3.9288057284e+10
2020-03-27 12:05:00,3.0396514477e+10,3.0396514477e+10,3.7878982210e+10,3.7878982210e+10
2020-03-27 12:10:00,2.5799282993e+10,2.5799282993e+10,3.4907643029e+10,3.4907643029e+10
2020-03-27 12:15:00,2.4643430192e+10,2.4643430192e+10,3.3178284340e+10,3.3178284340e+10
2020-03-27 12:20:00,2.7679892329e+10,2.7679892329e+10,4.0718497508e+10,4.0718497508e+10
2020-03-27 12:25:00,2.4579784809e+10,2.4579784809e+10,3.3238914014e+10,3.3238914014e+10
2020-03-27 12:30:00,2.3508315703e+10,2.3508315703e+10,3.6656771912e+10,3.6656771912e+10
2020-03-27 12:35:00,2.3035382087e+10,2.3035382087e+10,3.4330948072e+10,3.4330948072e+10
2020-03-27 12:40:00,2.8036605041e+10,2.8036605041e+10,3.5631007660e+10,3.5631007660e+10
2020-03-27 12:45:00,2.4172783083e+10,2.4172783083e+10,3.7045531653e+10,3.7045531653e+10
2020-03-27 12:50:00,3.0010980645e+10,3.0010980645e+10,3.7057317933e+10,3.7057317933e+10
2020-03-27 12:55:00,3.7144956065e+10,3.7144956065e+10,4.2117140680e+10,4.2117140680e+10
2020-03-27 13:00:00,3.5480418487e+10,3.5480418487e+10,4.2440569456e+10,4.2440569456e+10
2020-03-27 13:05:00,3.5184806506e+10,3.5184806506e+10,3.5757113345e+10,3.5757113345e+10
2020-03-27 13:10:00,3.5513345972e+10,3.5513345972e+10,3.2808385132e+10,3.2808385132e+10
2020-03-27 13:15:00,3.6982401868e+10,3.6982401868e+10,3.3655801341e+10,3.3655801341e+10
2020-03-27 13:20:00,3.5128634167e+10,3.5128634167e+10,3.4333480194e+10,3.4333480194e+10
2020-03-27 13:25:00,3.4763739237e+10,3.4763739237e+10,3.4530018742e+10,3.4530018742e+10
2020-03-27 13:30:00,3.2747094434e+10,3.2747094434e+10,3.6552739529e+10,3.6552739529e+10
2020-03-27 13:35:00,3.1430968358e+10,3.1430968358e+10,4.4011897980e+10,4.4011897980e+10
2020-03-27 13:40:00,3.1981891180e+10,3.1981891180e+10,4.3176681659e+10,4.3176681659e+10
2020-03-27 13:45:00,3.2909066001e+10,3.2909066001e+10,4.0292835822e+10,4.0292835822e+10
2020-03-27 13:50:00,3.3394495556e+10,3.3394495556e+10,4.1483777216e+10,4.1483777216e+10
2020-03-27 13:55:00,3.1436106798e+10,3.1436106798e+10,3.6708104480e+10,3.6708104480e+10
2020-03-27 14:00:00,3.3599990081e+10,3.3599990081e+10,3.6823045161e+10,3.6823045161e+10
2020-03-27 14:05:00,3.7390033161e+10,3.7390033161e+10,3.5573570139e+10,3.5573570139e+10
2020-03-27 14:10:00,3.8760334553e+10,3.8760334553e+10,3.3260562640e+10,3.3260562640e+10
2020-03-27 14:15:00,3.4671237200e+10,3.4671237200e+10,3.1754224749e+10,3.1754224749e+10
2020-03-27 14:20:00,3.4212298440e+10,3.4212298440e+10,3.1305884457e+10,3.1305884457e+10
2020-03-27 14:25:00,3.4034109212e+10,3.4034109212e+10,2.7430163807e+10,2.7430163807e+10
2020-03-27 14:30:00,3.0582713869e+10,3.0582713869e+10,3.3144309206e+10,3.3144309206e+10
2020-03-27 14:35:00,3.8621890142e+10,3.8621890142e+10,3.6588219098e+10,3.6588219098e+10
2020-03-27 14:40:00,3.0319550645e+10,3.0319550645e+10,3.5645947445e+10,3.5645947445e+10
2020-03-27 14:45:00,3.6017604864e+10,3.6017604864e+10,3.3220520549e+10,3.3220520549e+10
2020-03-27 14:50:00,2.9774042196e+10,2.9774042196e+10,3.3030810603e+10,3.3030810603e+10
2020-03-27 14:55:00,3.0905486593e+10,3.0905486593e+10,3.8141030006e+10,3.8141030006e+10
2020-03-27 15:00:00,4.1214039363e+10,4.1214039363e+10,3.5244317855e+10,3.5244317855e+10
2020-03-27 15:05:00,4.0188588557e+10,4.0188588557e+10,3.4653525526e+10,3.4653525526e+10
2020-03-27 15:10:00,3.3320243910e+10,3.3320243910e+10,3.7537734517e+10,3.7537734517e+10
2020-03-27 15:15:00,3.3951322549e+10,3.3951322549e+10,4.1026406990e+10,4.1026406990e+10
2020-03-27 15:20:00,3.2953401527e+10,3.2953401527e+10,3.9266499129e+10,3.9266499129e+10
2020-03-27 15:25:00,3.3802685317e+10,3.3802685317e+10,3.6742647316e+10,3.6742647316e+10
2020-03-27 15:30:00,3.3533583128e+10,3.3533583128e+10,3.7475512200e+10,3.7475512200e+10
