DATE,CZAT,CZAT_peak,ATCZ,ATCZ_peak
2020-03-15 11:15:00,2.8540782619e+09,2.8540782619e+09,1.5435647087e+10,1.5435647087e+10
2020-03-15 11:20:00,4.0141992408e+09,4.0141992408e+09,1.5736612280e+10,1.5736612280e+10
2020-03-15 11:25:00,4.1565646522e+09,4.1565646522e+09,1.5426630084e+10,1.5426630084e+10
2020-03-15 11:30:00,3.9638172506e+09,3.9638172506e+09,1.4671366920e+10,1.4671366920e+10
2020-03-15 11:35:00,4.4890600116e+09,4.4890600116e+09,2.4030615382e+10,2.4030615382e+10
2020-03-15 11:40:00,3.8110098254e+09,3.8110098254e+09,1.9461626862e+10,1.9461626862e+10
2020-03-15 11:45:00,3.0873247292e+09,3.0873247292e+09,1.8419703776e+10,1.8419703776e+10
2020-03-15 11:50:00,3.6318659381e+09,3.6318659381e+09,1.6723810138e+10,1.6723810138e+10
2020-03-15 11:55:00,3.7015840688e+09,3.7015840688e+09,1.7417129680e+10,1.7417129680e+10
2020-03-15 12:00:00,4.0084961581e+09,4.0084961581e+09,2.0302952296e+10,2.0302952296e+10
2020-03-15 12:05:00,4.9064179239e+09,4.9064179239e+09,2.3335457927e+10,2.3335457927e+10
2020-03-15 12:10:00,4.4142430617e+09,4.4142430617e+09,1.9943800443e+10,1.9943800443e+10
2020-03-15 12:15:00,4.1311121903e+09,4.1311121903e+09,2.0815944880e+10,2.0815944880e+10
2020-03-15 12:20:00,4.8960068603e+09,4.8960068603e+09,1.9639422009e+10,1.9639422009e+10
2020-03-15 12:25:00,4.2708722104e+09,4.2708722104e+09,2.0657789484e+10,2.0657789484e+10
2020-03-15 12:30:00,3.3651471770e+09,3.3651471770e+09,2.0040519423e+10,2.0040519423e+10
2020-03-15 12:35:00,3.0773506320e+09,3.0773506320e+09,2.5889630724e+10,2.5889630724e+10
2020-03-15 12:40:00,3.1764225715e+09,3.1764225715e+09,1.8090852892e+10,1.8090852892e+10
2020-03-15 12:45:00,3.0543310544e+09,3.0543310544e+09,1.9391390650e+10,1.9391390650e+10
2020-03-15 12:50:00,3.3493231631e+09,3.3493231631e+09,1.8720348593e+10,1.8720348593e+10
2020-03-15 12:55:00,3.0623879223e+09,3.0623879223e+09,1.8078856715e+10,1.8078856715e+10
2020-03-15 13:00:00,3.0634675800e+09,3.0634675800e+09,1.9196791639e+10,1.9196791639e+10
2020-03-15 13:05:00,3.1011798977e+09,3.1011798977e+09,2.0486427465e+10,2.0486427465e+10
2020-03-15 13:10:00,2.5631446242e+09,2.5631446242e+09,1.6290362781e+10,1.6290362781e+10
2020-03-15 13:15:00,2.7896529647e+09,2.7896529647e+09,1.7391466848e+10,1.7391466848e+10
2020-03-15 13:20:00,4.1377067941e+09,4.1377067941e+09,1.6715581638e+10,1.6715581638e+10
2020-03-15 13:25:00,2.6007394517e+09,2.6007394517e+09,1.7060577721e+10,1.7060577721e+10
2020-03-15 13:30:00,2.4917924622e+09,2.4917924622e+09,1.8127394817e+10,1.8127394817e+10
2020-03-15 13:35:00,4.6816487048e+09,4.6816487048e+09,2.1993975877e+10,2.1993975877e+10
2020-03-15 13:40:00,2.7303283425e+09,2.7303283425e+09,1.9956144697e+10,1.9956144697e+10
2020-03-15 13:45:00,3.6425726998e+09,3.6425726998e+09,1.7503569053e+10,1.7503569053e+10
2020-03-15 13:50:00,5.0489497748e+09,5.0489497748e+09,1.8020384631e+10,1.8020384631e+10
2020-03-15 13:55:00,5.5497788753e+09,5.5497788753e+09,1.7218805903e+10,1.7218805903e+10
2020-03-15 14:00:00,5.5470771381e+09,5.5470771381e+09,1.7095572369e+10,1.7095572369e+10
2020-03-15 14:05:00,4.5656278281e+09,4.5656278281e+09,2.0319406208e+10,2.0319406208e+10
2020-03-15 14:10:00,4.2416857955e+09,4.2416857955e+09,1.5980055578e+10,1.5980055578e+10
2020-03-15 14:15:00,4.7393348142e+09,4.7393348142e+09,1.6494728080e+10,1.6494728080e+10
