DATE,DUEE,DUEE_peak,EEDU,DUEE_peak
2020-03-15 09:45:00,1.6041612662e+09,1.6041612662e+09,1.6127686737e+09,1.6127686737e+09
2020-03-15 09:50:00,1.2720288570e+09,1.2720288570e+09,2.2283466557e+09,2.2283466557e+09
2020-03-15 09:55:00,1.5238829110e+09,1.5238829110e+09,3.2949404681e+09,3.2949404681e+09
2020-03-15 10:00:00,9.6875977329e+08,9.6875977329e+08,2.6510441618e+09,2.6510441618e+09
2020-03-15 10:05:00,7.3183452428e+08,7.3183452428e+08,1.6634620411e+09,1.6634620411e+09
2020-03-15 10:10:00,1.5051158610e+09,1.5051158610e+09,1.5254455820e+09,1.5254455820e+09
2020-03-15 10:15:00,4.4773155753e+08,4.4773155753e+08,1.5937210774e+09,1.5937210774e+09
2020-03-15 10:20:00,4.4155922158e+08,4.4155922158e+08,1.6470083698e+09,1.6470083698e+09
2020-03-15 10:25:00,1.0093829830e+09,1.0093829830e+09,1.7224688583e+09,1.7224688583e+09
2020-03-15 10:30:00,6.1308520465e+08,6.1308520465e+08,1.8674885139e+09,1.8674885139e+09
2020-03-15 10:35:00,8.4217242754e+08,8.4217242754e+08,1.7507451462e+09,1.7507451462e+09
2020-03-15 10:40:00,1.3418614936e+09,1.3418614936e+09,1.7419412465e+09,1.7419412465e+09
2020-03-15 10:45:00,1.1741459933e+09,1.1741459933e+09,1.5816954134e+09,1.5816954134e+09
2020-03-15 10:50:00,3.5174447770e+08,3.5174447770e+08,1.7471618243e+09,1.7471618243e+09
2020-03-15 10:55:00,7.9879045326e+08,7.9879045326e+08,1.8112111940e+09,1.8112111940e+09
2020-03-15 11:00:00,7.6723691978e+08,7.6723691978e+08,1.7872520799e+09,1.7872520799e+09
2020-03-15 11:05:00,8.3799784069e+08,8.3799784069e+08,2.0056157171e+09,2.0056157171e+09
2020-03-15 11:10:00,3.6474318950e+08,3.6474318950e+08,2.1175560497e+09,2.1175560497e+09
2020-03-15 11:15:00,1.2334404592e+09,1.2334404592e+09,2.1029624818e+09,2.1029624818e+09
2020-03-15 11:20:00,2.6943159679e+09,2.6943159679e+09,1.9910696959e+09,1.9910696959e+09
2020-03-15 11:25:00,1.0395589218e+09,1.0395589218e+09,1.9486561599e+09,1.9486561599e+09
2020-03-15 11:30:00,1.2522249254e+09,1.2522249254e+09,1.8786958480e+09,1.8786958480e+09
2020-03-15 11:35:00,1.1951695646e+09,1.1951695646e+09,1.8538326419e+09,1.8538326419e+09
2020-03-15 11:40:00,1.3480988556e+09,1.3480988556e+09,1.8342552139e+09,1.8342552139e+09
2020-03-15 11:45:00,2.3380685232e+09,2.3380685232e+09,1.9423461320e+09,1.9423461320e+09
2020-03-15 11:50:00,2.2552116857e+09,2.2552116857e+09,2.3595400661e+09,2.3595400661e+09
2020-03-15 11:55:00,1.6732745184e+09,1.6732745184e+09,2.0350597640e+09,2.0350597640e+09
2020-03-15 12:00:00,2.2371450732e+09,2.2371450732e+09,2.0897504205e+09,2.0897504205e+09
2020-03-15 12:05:00,2.5797826010e+09,2.5797826010e+09,2.2330272030e+09,2.2330272030e+09
2020-03-15 12:10:00,2.3932087435e+09,2.3932087435e+09,1.9484318400e+09,1.9484318400e+09
2020-03-15 12:15:00,1.7371291845e+09,1.7371291845e+09,2.1387716483e+09,2.1387716483e+09
2020-03-15 12:20:00,1.9710639751e+09,1.9710639751e+09,2.1202819466e+09,2.1202819466e+09
2020-03-15 12:25:00,1.5427211587e+09,1.5427211587e+09,2.0264302746e+09,2.0264302746e+09
2020-03-15 12:30:00,1.4377983946e+09,1.4377983946e+09,1.9183057058e+09,1.9183057058e+09
2020-03-15 12:35:00,1.1417430180e+09,1.1417430180e+09,1.9177364378e+09,1.9177364378e+09
2020-03-15 12:40:00,1.8896387319e+09,1.8896387319e+09,1.9518779387e+09,1.9518779387e+09
2020-03-15 12:45:00,1.0828460621e+09,1.0828460621e+09,1.9645086922e+09,1.9645086922e+09
2020-03-15 12:50:00,1.2407597981e+09,1.2407597981e+09,2.2595058357e+09,2.2595058357e+09
2020-03-15 12:55:00,2.2026620842e+09,2.2026620842e+09,2.5378331922e+09,2.5378331922e+09
2020-03-15 13:00:00,1.0639184544e+09,1.0639184544e+09,2.3513574129e+09,2.3513574129e+09
2020-03-15 13:05:00,2.2330542563e+09,2.2330542563e+09,2.1762412309e+09,2.1762412309e+09
2020-03-15 13:10:00,1.0992505358e+09,1.0992505358e+09,2.2361333132e+09,2.2361333132e+09
2020-03-15 13:15:00,1.2029090927e+09,1.2029090927e+09,2.0830207132e+09,2.0830207132e+09
2020-03-15 13:20:00,9.7577058402e+08,9.7577058402e+08,2.0685456654e+09,2.0685456654e+09
2020-03-15 13:25:00,1.3894288857e+09,1.3894288857e+09,2.0753568745e+09,2.0753568745e+09
2020-03-15 13:30:00,1.0982201583e+09,1.0982201583e+09,2.5263149539e+09,2.5263149539e+09
2020-03-15 13:35:00,1.4943161500e+09,1.4943161500e+09,2.3710113163e+09,2.3710113163e+09
2020-03-15 13:40:00,1.4674560155e+09,1.4674560155e+09,2.2385039128e+09,2.2385039128e+09
2020-03-15 13:45:00,1.0233077828e+09,1.0233077828e+09,2.4887010209e+09,2.4887010209e+09
2020-03-15 13:50:00,1.5886037951e+09,1.5886037951e+09,2.4114595265e+09,2.4114595265e+09
2020-03-15 13:55:00,1.2694401980e+09,1.2694401980e+09,2.6451517034e+09,2.6451517034e+09
2020-03-15 14:00:00,1.2103478110e+09,1.2103478110e+09,2.5273305796e+09,2.5273305796e+09
