DATE,LVET,LVET_peak,ETLV,ETLV_peak
2020-03-15 13:40:00,7.6072825243e+08,7.6072825243e+08,2.1683686318e+08,2.1683686318e+08
2020-03-15 13:45:00,6.6618875897e+08,6.6618875897e+08,1.3360962682e+08,1.3360962682e+08
2020-03-15 13:50:00,7.8009650409e+08,7.8009650409e+08,1.1271882618e+08,1.1271882618e+08
2020-03-15 13:55:00,8.5764718808e+08,8.5764718808e+08,1.3434109382e+08,1.3434109382e+08
2020-03-15 14:00:00,7.8890127839e+08,7.8890127839e+08,1.2168700575e+08,1.2168700575e+08
2020-03-15 14:05:00,7.4002216027e+08,7.4002216027e+08,7.5939285411e+07,7.5939285411e+07
2020-03-15 14:10:00,7.5117129843e+08,7.5117129843e+08,1.2579092542e+08,1.2579092542e+08
2020-03-15 14:15:00,6.5272753344e+08,6.5272753344e+08,1.3311887303e+08,1.3311887303e+08
2020-03-15 14:20:00,7.5357315811e+08,7.5357315811e+08,2.7886663250e+08,2.7886663250e+08
2020-03-15 14:25:00,7.6061004262e+08,7.6061004262e+08,1.4890381720e+08,1.4890381720e+08
2020-03-15 14:30:00,7.6603907893e+08,7.6603907893e+08,1.5385704652e+08,1.5385704652e+08
2020-03-15 14:35:00,7.4833305402e+08,7.4833305402e+08,2.0615276612e+08,2.0615276612e+08
2020-03-15 14:40:00,7.6132148749e+08,7.6132148749e+08,1.9487081309e+08,1.9487081309e+08
2020-03-15 14:45:00,6.6632342280e+08,6.6632342280e+08,1.8784283837e+08,1.8784283837e+08
2020-03-15 14:50:00,7.5814187959e+08,7.5814187959e+08,2.0541402950e+08,2.0541402950e+08
2020-03-15 14:55:00,7.8294854720e+08,7.8294854720e+08,1.8045069933e+08,1.8045069933e+08
2020-03-15 15:00:00,7.5896663011e+08,7.5896663011e+08,2.0991296272e+08,2.0991296272e+08
2020-03-15 15:05:00,7.5070842437e+08,7.5070842437e+08,2.0399447749e+08,2.0399447749e+08
2020-03-15 15:10:00,7.5925003156e+08,7.5925003156e+08,1.7202675534e+08,1.7202675534e+08
2020-03-15 15:15:00,7.5789099141e+08,7.5789099141e+08,1.5356726996e+08,1.5356726996e+08
2020-03-15 15:20:00,7.7921477432e+08,7.7921477432e+08,1.1494205796e+08,1.1494205796e+08
2020-03-15 15:25:00,6.2624227623e+08,6.2624227623e+08,7.0668813196e+07,7.0668813196e+07
2020-03-15 15:30:00,7.6365127828e+08,7.6365127828e+08,6.5464667428e+07,6.5464667428e+07
2020-03-15 15:35:00,7.6275854720e+08,7.6275854720e+08,1.5867726430e+08,1.5867726430e+08
2020-03-15 15:40:00,7.5588389189e+08,7.5588389189e+08,1.6728137322e+08,1.6728137322e+08
2020-03-15 15:45:00,6.6242606256e+08,6.6242606256e+08,1.7532762298e+08,1.7532762298e+08
2020-03-15 15:50:00,7.6161679198e+08,7.6161679198e+08,2.2394485976e+08,2.2394485976e+08
2020-03-15 15:55:00,7.6754253770e+08,7.6754253770e+08,2.0220562168e+08,2.0220562168e+08
2020-03-15 16:00:00,7.7390885624e+08,7.7390885624e+08,1.8491703488e+08,1.8491703488e+08
2020-03-15 16:05:00,7.4935669791e+08,7.4935669791e+08,2.7292487432e+08,2.7292487432e+08
2020-03-15 16:10:00,6.9200245757e+08,6.9200245757e+08,2.2115111067e+08,2.2115111067e+08
