DATE,DUEE,DUEE_peak,EEDU,DUEE_peak
2020-03-24 18:50:00,1.0068409132e+09,1.0068409132e+09,1.2579092849e+10,1.2579092849e+10
2020-03-24 18:55:00,1.9244901177e+09,1.9244901177e+09,1.0661952767e+10,1.0661952767e+10
2020-03-24 19:00:00,2.2809784444e+09,2.2809784444e+09,1.0623761512e+10,1.0623761512e+10
2020-03-24 19:05:00,3.2261180391e+09,3.2261180391e+09,1.3243028855e+10,1.3243028855e+10
2020-03-24 19:10:00,3.4239608081e+09,3.4239608081e+09,1.4584131031e+10,1.4584131031e+10
2020-03-24 19:15:00,3.3494840095e+09,3.3494840095e+09,1.5983564973e+10,1.5983564973e+10
2020-03-24 19:20:00,1.9755887095e+09,1.9755887095e+09,1.5338352884e+10,1.5338352884e+10
2020-03-24 19:25:00,3.8423507941e+09,3.8423507941e+09,1.6645675405e+10,1.6645675405e+10
2020-03-24 19:30:00,5.4066010499e+09,5.4066010499e+09,1.7435440882e+10,1.7435440882e+10
2020-03-24 19:35:00,1.1624209581e+09,1.1624209581e+09,1.5608555917e+10,1.5608555917e+10
2020-03-24 19:40:00,8.6830754166e+08,8.6830754166e+08,1.4412043841e+10,1.4412043841e+10
2020-03-24 19:45:00,9.9292187747e+08,9.9292187747e+08,1.5229708133e+10,1.5229708133e+10
2020-03-24 19:50:00,2.1367977126e+09,2.1367977126e+09,1.7044846983e+10,1.7044846983e+10
2020-03-24 19:55:00,5.0362886522e+09,5.0362886522e+09,1.5951905082e+10,1.5951905082e+10
2020-03-24 20:00:00,3.0604277715e+09,3.0604277715e+09,1.6311446171e+10,1.6311446171e+10
2020-03-24 20:05:00,2.6028357476e+09,2.6028357476e+09,1.4723445870e+10,1.4723445870e+10
2020-03-24 20:10:00,4.6401840655e+09,4.6401840655e+09,1.4614001072e+10,1.4614001072e+10
2020-03-24 20:15:00,3.5259085283e+09,3.5259085283e+09,1.5082650396e+10,1.5082650396e+10
2020-03-24 20:20:00,3.0195641958e+09,3.0195641958e+09,1.5130772594e+10,1.5130772594e+10
2020-03-24 20:25:00,4.1048444076e+09,4.1048444076e+09,1.4696963248e+10,1.4696963248e+10
