DATE,IRUI,IRUI_peak,UIIR,IRUI_peak
2020-03-15 10:40:00,1.8871073996e+07,1.8871073996e+07,1.5498638431e+08,1.5498638431e+08
2020-03-15 10:45:00,1.7667662071e+07,1.7667662071e+07,1.3744288932e+08,1.3744288932e+08
2020-03-15 10:50:00,1.4614373200e+07,1.4614373200e+07,1.4638417939e+08,1.4638417939e+08
2020-03-15 10:55:00,1.5630414919e+07,1.5630414919e+07,1.1442330088e+08,1.1442330088e+08
2020-03-15 11:00:00,1.9739565135e+07,1.9739565135e+07,1.1464991731e+08,1.1464991731e+08
2020-03-15 11:05:00,2.7234456865e+07,2.7234456865e+07,1.2576617428e+08,1.2576617428e+08
2020-03-15 11:10:00,2.7025668471e+07,2.7025668471e+07,1.4631847900e+08,1.4631847900e+08
2020-03-15 11:15:00,6.3181552123e+07,6.3181552123e+07,1.5509344561e+08,1.5509344561e+08
2020-03-15 11:20:00,1.7308430939e+07,1.7308430939e+07,1.4244417775e+08,1.4244417775e+08
2020-03-15 11:25:00,2.0164410672e+07,2.0164410672e+07,1.6352956255e+08,1.6352956255e+08
2020-03-15 11:30:00,2.6527530869e+07,2.6527530869e+07,1.4427608662e+08,1.4427608662e+08
2020-03-15 11:35:00,2.8048901633e+07,2.8048901633e+07,1.4915305208e+08,1.4915305208e+08
2020-03-15 11:40:00,2.4871329563e+07,2.4871329563e+07,1.4339462642e+08,1.4339462642e+08
2020-03-15 11:45:00,1.1235834089e+07,1.1235834089e+07,1.5433206102e+08,1.5433206102e+08
2020-03-15 11:50:00,8.6177552063e+06,8.6177552063e+06,1.2984478706e+08,1.2984478706e+08
2020-03-15 11:55:00,8.3106949154e+06,8.3106949154e+06,1.4975943311e+08,1.4975943311e+08
2020-03-15 12:00:00,7.4282572108e+06,7.4282572108e+06,1.4345448460e+08,1.4345448460e+08
2020-03-15 12:05:00,8.7738822946e+06,8.7738822946e+06,1.4122922750e+08,1.4122922750e+08
2020-03-15 12:10:00,1.0212482689e+07,1.0212482689e+07,1.5791236373e+08,1.5791236373e+08
2020-03-15 12:15:00,9.1739944778e+06,9.1739944778e+06,1.5106396699e+08,1.5106396699e+08
2020-03-15 12:20:00,8.3997977404e+06,8.3997977404e+06,1.5049595228e+08,1.5049595228e+08
2020-03-15 12:25:00,8.5313309760e+06,8.5313309760e+06,1.4925273411e+08,1.4925273411e+08
2020-03-15 12:30:00,9.3492273317e+06,9.3492273317e+06,1.3956240251e+08,1.3956240251e+08
2020-03-15 12:35:00,9.7036102489e+06,9.7036102489e+06,1.3013485258e+08,1.3013485258e+08
2020-03-15 12:40:00,8.7571699038e+06,8.7571699038e+06,1.0388387908e+08,1.0388387908e+08
2020-03-15 12:45:00,1.1014820178e+07,1.1014820178e+07,9.9400663328e+07,9.9400663328e+07
2020-03-15 12:50:00,1.1501013769e+07,1.1501013769e+07,1.1454070021e+08,1.1454070021e+08
2020-03-15 12:55:00,1.0543196505e+07,1.0543196505e+07,1.0564293729e+08,1.0564293729e+08
2020-03-15 13:00:00,9.8642706672e+06,9.8642706672e+06,1.2406978486e+08,1.2406978486e+08
2020-03-15 13:05:00,1.1752073376e+07,1.1752073376e+07,1.0994067712e+08,1.0994067712e+08
2020-03-15 13:10:00,9.1125389032e+06,9.1125389032e+06,1.1471128681e+08,1.1471128681e+08
2020-03-15 13:15:00,6.0619817049e+07,6.0619817049e+07,1.1749320956e+08,1.1749320956e+08
2020-03-15 13:20:00,1.4707320294e+07,1.4707320294e+07,1.2357906598e+08,1.2357906598e+08
2020-03-15 13:25:00,1.1729545271e+07,1.1729545271e+07,1.1946629738e+08,1.1946629738e+08
2020-03-15 13:30:00,9.8816027625e+06,9.8816027625e+06,1.0765723612e+08,1.0765723612e+08
2020-03-15 13:35:00,9.8187320833e+06,9.8187320833e+06,1.0982183150e+08,1.0982183150e+08
2020-03-15 13:40:00,7.6601796781e+06,7.6601796781e+06,1.2089368826e+08,1.2089368826e+08
2020-03-15 13:45:00,7.0360474775e+06,7.0360474775e+06,1.1405209408e+08,1.1405209408e+08
2020-03-15 13:50:00,6.9164069001e+06,6.9164069001e+06,1.2719193087e+08,1.2719193087e+08
2020-03-15 13:55:00,7.5512353302e+06,7.5512353302e+06,1.2494504817e+08,1.2494504817e+08
2020-03-15 14:00:00,8.4184015019e+06,8.4184015019e+06,1.2392069875e+08,1.2392069875e+08
2020-03-15 14:05:00,7.4033234105e+06,7.4033234105e+06,1.1298636771e+08,1.1298636771e+08
2020-03-15 14:10:00,1.0148189201e+07,1.0148189201e+07,1.0402721371e+08,1.0402721371e+08
2020-03-15 14:15:00,8.3974935113e+06,8.3974935113e+06,9.6061262129e+07,9.6061262129e+07
2020-03-15 14:20:00,6.5775958684e+06,6.5775958684e+06,8.3315072288e+07,8.3315072288e+07
2020-03-15 14:25:00,7.8937785476e+06,7.8937785476e+06,8.1247773655e+07,8.1247773655e+07
2020-03-15 14:30:00,7.6732460018e+06,7.6732460018e+06,7.5170757541e+07,7.5170757541e+07
2020-03-15 14:35:00,5.7570709120e+06,5.7570709120e+06,9.5063245495e+07,9.5063245495e+07
2020-03-15 14:40:00,7.4547972593e+06,7.4547972593e+06,1.3956479180e+08,1.3956479180e+08
2020-03-15 14:45:00,7.3024006155e+06,7.3024006155e+06,9.4724453515e+07,9.4724453515e+07
2020-03-15 14:50:00,5.1249749815e+06,5.1249749815e+06,8.8048759451e+07,8.8048759451e+07
2020-03-15 14:55:00,1.2137741980e+07,1.2137741980e+07,7.2737294526e+07,7.2737294526e+07
2020-03-15 15:00:00,4.8305141067e+07,4.8305141067e+07,9.0450897885e+07,9.0450897885e+07
2020-03-15 15:05:00,1.0826421329e+07,1.0826421329e+07,9.1328658597e+07,9.1328658597e+07
2020-03-15 15:10:00,8.4650928002e+06,8.4650928002e+06,7.6851760994e+07,7.6851760994e+07
2020-03-15 15:15:00,9.2944879860e+06,9.2944879860e+06,7.6471326614e+07,7.6471326614e+07
2020-03-15 15:20:00,1.0494178367e+07,1.0494178367e+07,8.6417122387e+07,8.6417122387e+07
2020-03-15 15:25:00,7.1617830592e+06,7.1617830592e+06,8.3969714468e+07,8.3969714468e+07
2020-03-15 15:30:00,6.0200923649e+06,6.0200923649e+06,1.1711711664e+08,1.1711711664e+08
2020-03-15 15:35:00,7.5428131244e+06,7.5428131244e+06,7.9407740626e+07,7.9407740626e+07
2020-03-15 15:40:00,7.7146455804e+06,7.7146455804e+06,8.9007313581e+07,8.9007313581e+07
2020-03-15 15:45:00,8.2154506689e+06,8.2154506689e+06,7.7004027296e+07,7.7004027296e+07
2020-03-15 15:50:00,9.5717220889e+06,9.5717220889e+06,9.2927826896e+07,9.2927826896e+07
2020-03-15 15:55:00,8.7410711040e+06,8.7410711040e+06,7.6507697886e+07,7.6507697886e+07
2020-03-15 16:00:00,7.3163651530e+06,7.3163651530e+06,8.4296013579e+07,8.4296013579e+07
2020-03-15 16:05:00,7.2828564689e+06,7.2828564689e+06,8.2560522682e+07,8.2560522682e+07
2020-03-15 16:10:00,7.9809746350e+06,7.9809746350e+06,8.5690054140e+07,8.5690054140e+07
2020-03-15 16:15:00,7.2231139333e+06,7.2231139333e+06,9.2426253414e+07,9.2426253414e+07
2020-03-15 16:20:00,8.3362510701e+06,8.3362510701e+06,9.1842127003e+07,9.1842127003e+07
2020-03-15 16:25:00,6.8932167006e+06,6.8932167006e+06,8.5021549323e+07,8.5021549323e+07
2020-03-15 16:30:00,4.4638945402e+06,4.4638945402e+06,8.0593316161e+07,8.0593316161e+07
2020-03-15 16:35:00,1.1777256761e+07,1.1777256761e+07,8.5487508777e+07,8.5487508777e+07
2020-03-15 16:40:00,9.5133635371e+06,9.5133635371e+06,9.5968658074e+07,9.5968658074e+07
2020-03-15 16:45:00,5.7487953014e+06,5.7487953014e+06,1.0663105569e+08,1.0663105569e+08
2020-03-15 16:50:00,5.5861400496e+06,5.5861400496e+06,1.0314222263e+08,1.0314222263e+08
2020-03-15 16:55:00,4.4940153377e+06,4.4940153377e+06,7.7945323430e+07,7.7945323430e+07
2020-03-15 17:00:00,6.4919614065e+06,6.4919614065e+06,7.4403481559e+07,7.4403481559e+07
2020-03-15 17:05:00,1.1821817398e+07,1.1821817398e+07,8.9550595101e+07,8.9550595101e+07
2020-03-15 17:10:00,4.6036066170e+06,4.6036066170e+06,7.6843568161e+07,7.6843568161e+07
2020-03-15 17:15:00,5.6483934119e+06,5.6483934119e+06,7.6893299175e+07,7.6893299175e+07
2020-03-15 17:20:00,5.4222635717e+06,5.4222635717e+06,6.2836450746e+07,6.2836450746e+07
2020-03-15 17:25:00,5.6807073631e+06,5.6807073631e+06,7.1988849310e+07,7.1988849310e+07
2020-03-15 17:30:00,4.5718229232e+06,4.5718229232e+06,1.0466622612e+08,1.0466622612e+08
2020-03-15 17:35:00,5.8887982786e+06,5.8887982786e+06,1.1073676185e+08,1.1073676185e+08
2020-03-15 17:40:00,9.1764199132e+06,9.1764199132e+06,1.2146307535e+08,1.2146307535e+08
2020-03-15 17:45:00,1.2319498225e+07,1.2319498225e+07,1.1056647053e+08,1.1056647053e+08
2020-03-15 17:50:00,7.0780010749e+06,7.0780010749e+06,9.6091615597e+07,9.6091615597e+07
2020-03-15 17:55:00,6.1837467940e+06,6.1837467940e+06,9.0119380009e+07,9.0119380009e+07
2020-03-15 18:00:00,6.5394202868e+06,6.5394202868e+06,1.0202347271e+08,1.0202347271e+08
2020-03-15 18:05:00,6.5037900084e+06,6.5037900084e+06,1.1262418537e+08,1.1262418537e+08
2020-03-15 18:10:00,5.4555771391e+06,5.4555771391e+06,9.0129201266e+07,9.0129201266e+07
2020-03-15 18:15:00,6.8624537425e+06,6.8624537425e+06,8.9350281807e+07,8.9350281807e+07
2020-03-15 18:20:00,7.2185275189e+06,7.2185275189e+06,8.6517730603e+07,8.6517730603e+07
2020-03-15 18:25:00,9.8052523047e+06,9.8052523047e+06,8.6013306125e+07,8.6013306125e+07
2020-03-15 18:30:00,7.8521145715e+06,7.8521145715e+06,7.9105699835e+07,7.9105699835e+07
