DATE,PLAT,PLAT_peak,ATPL,ATPL_peak
2020-03-28 12:30:00,5.5446637285e+08,5.5446637285e+08,2.7044307215e+07,2.7044307215e+07
2020-03-28 12:35:00,5.9983812512e+08,5.9983812512e+08,4.8433098538e+07,4.8433098538e+07
2020-03-28 12:40:00,6.5913250125e+08,6.5913250125e+08,3.2230164130e+07,3.2230164130e+07
2020-03-28 12:45:00,7.4560876347e+08,7.4560876347e+08,1.3248140511e+08,1.3248140511e+08
2020-03-28 12:50:00,6.4758895402e+08,6.4758895402e+08,3.5245830317e+07,3.5245830317e+07
2020-03-28 12:55:00,6.7379936115e+08,6.7379936115e+08,2.6574033798e+07,2.6574033798e+07
2020-03-28 13:00:00,7.3437787477e+08,7.3437787477e+08,6.8913455487e+07,6.8913455487e+07
2020-03-28 13:05:00,6.6808241920e+08,6.6808241920e+08,5.3542548536e+08,5.3542548536e+08
2020-03-28 13:10:00,6.2294652374e+08,6.2294652374e+08,3.4606437575e+07,3.4606437575e+07
2020-03-28 13:15:00,6.8567878702e+08,6.8567878702e+08,3.5700278219e+07,3.5700278219e+07
2020-03-28 13:20:00,5.9164179709e+08,5.9164179709e+08,1.1137096581e+08,1.1137096581e+08
2020-03-28 13:25:00,5.5970629096e+08,5.5970629096e+08,2.7383315645e+07,2.7383315645e+07
2020-03-28 13:30:00,5.6389820082e+08,5.6389820082e+08,5.2558928483e+08,5.2558928483e+08
2020-03-28 13:35:00,1.0789627706e+09,1.0789627706e+09,3.4907369739e+07,3.4907369739e+07
2020-03-28 13:40:00,6.6238227736e+08,6.6238227736e+08,5.3007791285e+08,5.3007791285e+08
2020-03-28 13:45:00,6.0756358148e+08,6.0756358148e+08,3.6685302522e+07,3.6685302522e+07
2020-03-28 13:50:00,6.4794935547e+08,6.4794935547e+08,2.7052420534e+07,2.7052420534e+07
2020-03-28 13:55:00,6.2726471787e+08,6.2726471787e+08,3.1627429074e+07,3.1627429074e+07
2020-03-28 14:00:00,7.5253833851e+08,7.5253833851e+08,1.0958558406e+08,1.0958558406e+08
2020-03-28 14:05:00,5.8766215666e+08,5.8766215666e+08,3.9962457673e+07,3.9962457673e+07
2020-03-28 14:10:00,7.0685680743e+08,7.0685680743e+08,3.1293360996e+07,3.1293360996e+07
2020-03-28 14:15:00,7.2230735609e+08,7.2230735609e+08,2.9188687573e+07,2.9188687573e+07
2020-03-28 14:20:00,6.5222475752e+08,6.5222475752e+08,2.7892239876e+07,2.7892239876e+07
2020-03-28 14:25:00,6.0466835226e+08,6.0466835226e+08,1.1775850555e+08,1.1775850555e+08
2020-03-28 14:30:00,6.6084818036e+08,6.6084818036e+08,3.0342323340e+07,3.0342323340e+07
2020-03-28 14:35:00,5.5458673200e+08,5.5458673200e+08,3.0159865643e+07,3.0159865643e+07
2020-03-28 14:40:00,5.7320110495e+08,5.7320110495e+08,3.0517105972e+07,3.0517105972e+07
2020-03-28 14:45:00,5.8641881502e+08,5.8641881502e+08,2.8728693045e+07,2.8728693045e+07
2020-03-28 14:50:00,5.4036229627e+08,5.4036229627e+08,3.1071251297e+07,3.1071251297e+07
2020-03-28 14:55:00,6.4366564795e+08,6.4366564795e+08,3.3288999705e+07,3.3288999705e+07
2020-03-28 15:00:00,6.1846047764e+08,6.1846047764e+08,3.0338381294e+07,3.0338381294e+07
