DATE,ATHR,ATHR_peak,HRAT,ATHR_peak
2020-03-22 09:50:00,2.1711828469e+06,2.1711828469e+06,1.4750427989e+06,1.4750427989e+06
2020-03-22 09:55:00,2.0453742979e+06,2.0453742979e+06,1.5126036403e+06,1.5126036403e+06
2020-03-22 10:00:00,2.2354703974e+06,2.2354703974e+06,1.4925996854e+06,1.4925996854e+06
2020-03-22 10:05:00,2.5522473327e+06,2.5522473327e+06,1.6780157290e+06,1.6780157290e+06
2020-03-22 10:10:00,2.2601665669e+06,2.2601665669e+06,1.5563264925e+06,1.5563264925e+06
2020-03-22 10:15:00,2.2317188647e+06,2.2317188647e+06,1.6488303482e+06,1.6488303482e+06
2020-03-22 10:20:00,2.3079482525e+06,2.3079482525e+06,1.5123829691e+06,1.5123829691e+06
2020-03-22 10:25:00,2.1802509465e+06,2.1802509465e+06,1.4604280507e+06,1.4604280507e+06
2020-03-22 10:30:00,2.5082904311e+06,2.5082904311e+06,1.5211018279e+06,1.5211018279e+06
2020-03-22 10:35:00,2.6246012685e+06,2.6246012685e+06,1.5543283535e+06,1.5543283535e+06
2020-03-22 10:40:00,1.9964440348e+06,1.9964440348e+06,1.4978553429e+06,1.4978553429e+06
2020-03-22 10:45:00,2.2608664829e+06,2.2608664829e+06,1.4882109171e+06,1.4882109171e+06
2020-03-22 10:50:00,2.0079736445e+06,2.0079736445e+06,1.4658782069e+06,1.4658782069e+06
2020-03-22 10:55:00,2.3645247220e+06,2.3645247220e+06,1.5900714994e+06,1.5900714994e+06
2020-03-22 11:00:00,2.6513264774e+06,2.6513264774e+06,1.4594349332e+06,1.4594349332e+06
2020-03-22 11:05:00,2.2795200496e+06,2.2795200496e+06,1.4914401237e+06,1.4914401237e+06
2020-03-22 11:10:00,1.9351074762e+06,1.9351074762e+06,1.3835773523e+06,1.3835773523e+06
2020-03-22 11:15:00,1.8368313869e+06,1.8368313869e+06,1.4095589713e+06,1.4095589713e+06
2020-03-22 11:20:00,1.6904568914e+06,1.6904568914e+06,1.3884748503e+06,1.3884748503e+06
2020-03-22 11:25:00,4.0252502804e+06,4.0252502804e+06,1.4086215932e+06,1.4086215932e+06
2020-03-22 11:30:00,4.9278001231e+06,4.9278001231e+06,1.5188897288e+06,1.5188897288e+06
2020-03-22 11:35:00,5.4315696106e+06,5.4315696106e+06,1.3772296867e+06,1.3772296867e+06
2020-03-22 11:40:00,5.1095130689e+06,5.1095130689e+06,1.4813968258e+06,1.4813968258e+06
2020-03-22 11:45:00,4.8754036419e+06,4.8754036419e+06,1.3817020486e+06,1.3817020486e+06
2020-03-22 11:50:00,6.3008240933e+06,6.3008240933e+06,1.3973828872e+06,1.3973828872e+06
2020-03-22 11:55:00,5.0506938211e+06,5.0506938211e+06,1.4371419376e+06,1.4371419376e+06
2020-03-22 12:00:00,4.7791071737e+06,4.7791071737e+06,1.4511486983e+06,1.4511486983e+06
2020-03-22 12:05:00,5.5637027479e+06,5.5637027479e+06,1.4825776921e+06,1.4825776921e+06
2020-03-22 12:10:00,4.9722930937e+06,4.9722930937e+06,1.6057503758e+06,1.6057503758e+06
