DATE,IRIE,IRIE_peak,IEIR,IEIR_peak
2020-03-15 10:45:00,1.0046053602e+08,1.0046053602e+08,5.3587071002e+07,5.3587071002e+07
2020-03-15 10:50:00,1.1282881264e+08,1.1282881264e+08,6.1836576373e+07,6.1836576373e+07
2020-03-15 10:55:00,7.6978013355e+07,7.6978013355e+07,7.0167519915e+07,7.0167519915e+07
2020-03-15 11:00:00,7.7059529615e+07,7.7059529615e+07,5.9254012315e+07,5.9254012315e+07
2020-03-15 11:05:00,8.9071826481e+07,8.9071826481e+07,8.0059874480e+07,8.0059874480e+07
2020-03-15 11:10:00,1.1492366079e+08,1.1492366079e+08,1.0875653539e+08,1.0875653539e+08
2020-03-15 11:15:00,1.2825470901e+08,1.2825470901e+08,1.1558452307e+08,1.1558452307e+08
2020-03-15 11:20:00,1.1720570087e+08,1.1720570087e+08,8.7036873333e+07,8.7036873333e+07
2020-03-15 11:25:00,1.3993508737e+08,1.3993508737e+08,7.8564275008e+07,7.8564275008e+07
2020-03-15 11:30:00,1.2024791709e+08,1.2024791709e+08,9.6956651131e+07,9.6956651131e+07
2020-03-15 11:35:00,1.2640496352e+08,1.2640496352e+08,7.4122762214e+07,7.4122762214e+07
2020-03-15 11:40:00,1.1688407937e+08,1.1688407937e+08,7.2924389740e+07,7.2924389740e+07
2020-03-15 11:45:00,1.3280838030e+08,1.3280838030e+08,6.5563976929e+07,6.5563976929e+07
2020-03-15 11:50:00,1.0288009021e+08,1.0288009021e+08,5.0268755696e+07,5.0268755696e+07
2020-03-15 11:55:00,1.2670197134e+08,1.2670197134e+08,6.3279780905e+07,6.3279780905e+07
2020-03-15 12:00:00,1.1887118847e+08,1.1887118847e+08,4.1109245723e+07,4.1109245723e+07
2020-03-15 12:05:00,1.1023867455e+08,1.1023867455e+08,6.3343817403e+07,6.3343817403e+07
2020-03-15 12:10:00,1.3001407478e+08,1.3001407478e+08,5.1236567854e+07,5.1236567854e+07
2020-03-15 12:15:00,1.2142269306e+08,1.2142269306e+08,7.2973962378e+07,7.2973962378e+07
2020-03-15 12:20:00,1.2184071626e+08,1.2184071626e+08,4.7643949723e+07,4.7643949723e+07
2020-03-15 12:25:00,1.1868196578e+08,1.1868196578e+08,7.1810512386e+07,7.1810512386e+07
2020-03-15 12:30:00,1.1301308865e+08,1.1301308865e+08,4.4825824734e+07,4.4825824734e+07
2020-03-15 12:35:00,1.0702112977e+08,1.0702112977e+08,6.9241087818e+07,6.9241087818e+07
2020-03-15 12:40:00,8.4930048690e+07,8.4930048690e+07,3.8810192005e+07,3.8810192005e+07
2020-03-15 12:45:00,8.0496584213e+07,8.0496584213e+07,5.3499018265e+07,5.3499018265e+07
2020-03-15 12:50:00,9.5488073554e+07,9.5488073554e+07,7.0649967390e+07,7.0649967390e+07
2020-03-15 12:55:00,9.0440275418e+07,9.0440275418e+07,4.1968388817e+07,4.1968388817e+07
2020-03-15 13:00:00,1.0692052293e+08,1.0692052293e+08,5.7177202514e+07,5.7177202514e+07
2020-03-15 13:05:00,9.2204539672e+07,9.2204539672e+07,7.1535101784e+07,7.1535101784e+07
2020-03-15 13:10:00,9.7235862412e+07,9.7235862412e+07,4.3791594328e+07,4.3791594328e+07
2020-03-15 13:15:00,1.0259366330e+08,1.0259366330e+08,1.1221907970e+08,1.1221907970e+08
2020-03-15 13:20:00,1.1307124806e+08,1.1307124806e+08,6.2078296553e+07,6.2078296553e+07
2020-03-15 13:25:00,1.0899958146e+08,1.0899958146e+08,7.6756488261e+07,7.6756488261e+07
2020-03-15 13:30:00,9.6152039177e+07,9.6152039177e+07,4.6344146453e+07,4.6344146453e+07
2020-03-15 13:35:00,9.7804551628e+07,9.7804551628e+07,5.9629755601e+07,5.9629755601e+07
2020-03-15 13:40:00,1.0601149848e+08,1.0601149848e+08,7.6294039037e+07,7.6294039037e+07
2020-03-15 13:45:00,9.8969294757e+07,9.8969294757e+07,4.5009069975e+07,4.5009069975e+07
2020-03-15 13:50:00,1.1541443691e+08,1.1541443691e+08,6.5404695551e+07,6.5404695551e+07
