DATE,GRIT,GRIT_peak,ITGR,GRIT_peak
2020-03-22 07:10:00,4.2943314114e+09,4.2943314114e+09,5.3579093512e+09,5.3579093512e+09
2020-03-22 07:15:00,4.4507543262e+09,4.4507543262e+09,5.1212808669e+09,5.1212808669e+09
2020-03-22 07:20:00,3.9764940048e+09,3.9764940048e+09,4.6435856836e+09,4.6435856836e+09
2020-03-22 07:25:00,4.2823393845e+09,4.2823393845e+09,5.0627170596e+09,5.0627170596e+09
2020-03-22 07:30:00,4.1475336130e+09,4.1475336130e+09,5.4758819731e+09,5.4758819731e+09
2020-03-22 07:35:00,3.9968423778e+09,3.9968423778e+09,6.3159164463e+09,6.3159164463e+09
2020-03-22 07:40:00,4.2910502517e+09,4.2910502517e+09,7.0340766639e+09,7.0340766639e+09
2020-03-22 07:45:00,4.4746056568e+09,4.4746056568e+09,7.2272553316e+09,7.2272553316e+09
2020-03-22 07:50:00,4.6323789206e+09,4.6323789206e+09,7.5711629239e+09,7.5711629239e+09
2020-03-22 07:55:00,4.0663333803e+09,4.0663333803e+09,6.7460549236e+09,6.7460549236e+09
2020-03-22 08:00:00,4.1227073928e+09,4.1227073928e+09,7.0451393786e+09,7.0451393786e+09
2020-03-22 08:05:00,4.1963030096e+09,4.1963030096e+09,6.3459844809e+09,6.3459844809e+09
2020-03-22 08:10:00,3.7965789692e+09,3.7965789692e+09,6.0893874355e+09,6.0893874355e+09
2020-03-22 08:15:00,3.0776478833e+09,3.0776478833e+09,6.2575702248e+09,6.2575702248e+09
2020-03-22 08:20:00,3.4220977856e+09,3.4220977856e+09,5.8949308771e+09,5.8949308771e+09
2020-03-22 08:25:00,3.7333900880e+09,3.7333900880e+09,5.3900660688e+09,5.3900660688e+09
2020-03-22 08:30:00,4.0671301569e+09,4.0671301569e+09,5.5975494928e+09,5.5975494928e+09
2020-03-22 08:35:00,4.2065454698e+09,4.2065454698e+09,4.2103759696e+09,4.2103759696e+09
2020-03-22 08:40:00,4.4443276209e+09,4.4443276209e+09,5.3190181434e+09,5.3190181434e+09
2020-03-22 08:45:00,4.2626286800e+09,4.2626286800e+09,5.5557170393e+09,5.5557170393e+09
2020-03-22 08:50:00,5.1709052419e+09,5.1709052419e+09,4.8994647118e+09,4.8994647118e+09
2020-03-22 08:55:00,4.7191658782e+09,4.7191658782e+09,4.3034328069e+09,4.3034328069e+09
2020-03-22 09:00:00,4.6947225911e+09,4.6947225911e+09,4.3959334373e+09,4.3959334373e+09
2020-03-22 09:05:00,4.7566757634e+09,4.7566757634e+09,5.1381986193e+09,5.1381986193e+09
2020-03-22 09:10:00,5.0883370381e+09,5.0883370381e+09,6.6724481687e+09,6.6724481687e+09
2020-03-22 09:15:00,4.3253793641e+09,4.3253793641e+09,4.7303850082e+09,4.7303850082e+09
2020-03-22 09:20:00,4.6194640519e+09,4.6194640519e+09,4.5255010173e+09,4.5255010173e+09
2020-03-22 09:25:00,5.0242999907e+09,5.0242999907e+09,4.5689066547e+09,4.5689066547e+09
2020-03-22 09:30:00,5.1089177862e+09,5.1089177862e+09,4.7611574727e+09,4.7611574727e+09
2020-03-22 09:35:00,4.9982077569e+09,4.9982077569e+09,5.7352003445e+09,5.7352003445e+09
2020-03-22 09:40:00,4.6184471555e+09,4.6184471555e+09,6.1460897724e+09,6.1460897724e+09
2020-03-22 09:45:00,4.9009907474e+09,4.9009907474e+09,7.1167810147e+09,7.1167810147e+09
2020-03-22 09:50:00,4.5423958114e+09,4.5423958114e+09,6.7283012588e+09,6.7283012588e+09
2020-03-22 09:55:00,4.1851366397e+09,4.1851366397e+09,6.1459536670e+09,6.1459536670e+09
2020-03-22 10:00:00,4.2892716460e+09,4.2892716460e+09,7.0520701477e+09,7.0520701477e+09
2020-03-22 10:05:00,4.5888412664e+09,4.5888412664e+09,6.5026344961e+09,6.5026344961e+09
2020-03-22 10:10:00,4.4442187885e+09,4.4442187885e+09,6.0239192150e+09,6.0239192150e+09
2020-03-22 10:15:00,4.1630821148e+09,4.1630821148e+09,6.4186982126e+09,6.4186982126e+09
2020-03-22 10:20:00,4.9187780633e+09,4.9187780633e+09,5.9266475575e+09,5.9266475575e+09
2020-03-22 10:25:00,5.3116297164e+09,5.3116297164e+09,5.7135215243e+09,5.7135215243e+09
2020-03-22 10:30:00,4.9481087634e+09,4.9481087634e+09,5.1859234512e+09,5.1859234512e+09
