DATE,DEDU,DEDU_peak,DUDE,DEDU_peak
2020-03-15 08:55:00,1.1625100435e+10,1.1625100435e+10,3.2289773446e+09,3.2289773446e+09
2020-03-15 09:00:00,1.3401138772e+10,1.3401138772e+10,4.0457403686e+09,4.0457403686e+09
2020-03-15 09:05:00,1.1514141438e+10,1.1514141438e+10,2.7109990406e+09,2.7109990406e+09
2020-03-15 09:10:00,1.3757819056e+10,1.3757819056e+10,3.5790061041e+09,3.5790061041e+09
2020-03-15 09:15:00,1.8801583007e+10,1.8801583007e+10,3.6357759920e+09,3.6357759920e+09
2020-03-15 09:20:00,1.6605807910e+10,1.6605807910e+10,4.6984488342e+09,4.6984488342e+09
2020-03-15 09:25:00,1.3876816493e+10,1.3876816493e+10,3.1448148271e+09,3.1448148271e+09
2020-03-15 09:30:00,2.1177901830e+10,2.1177901830e+10,3.4102379755e+09,3.4102379755e+09
2020-03-15 09:35:00,2.0190316706e+10,2.0190316706e+10,3.1076552357e+09,3.1076552357e+09
2020-03-15 09:40:00,1.8441319421e+10,1.8441319421e+10,7.7842219740e+09,7.7842219740e+09
2020-03-15 09:45:00,1.4716228464e+10,1.4716228464e+10,5.4648939165e+09,5.4648939165e+09
2020-03-15 09:50:00,1.8767175575e+10,1.8767175575e+10,6.0038549881e+09,6.0038549881e+09
2020-03-15 09:55:00,1.9634276138e+10,1.9634276138e+10,6.5067517538e+09,6.5067517538e+09
2020-03-15 10:00:00,1.7703133730e+10,1.7703133730e+10,4.8962137220e+09,4.8962137220e+09
2020-03-15 10:05:00,1.3556689985e+10,1.3556689985e+10,3.5159339715e+09,3.5159339715e+09
2020-03-15 10:10:00,1.3362528531e+10,1.3362528531e+10,3.8009364760e+09,3.8009364760e+09
2020-03-15 10:15:00,1.2371386224e+10,1.2371386224e+10,4.5880450582e+09,4.5880450582e+09
2020-03-15 10:20:00,1.7911252269e+10,1.7911252269e+10,5.9000101208e+09,5.9000101208e+09
2020-03-15 10:25:00,1.3700639028e+10,1.3700639028e+10,4.2294627419e+09,4.2294627419e+09
2020-03-15 10:30:00,1.7818410608e+10,1.7818410608e+10,6.9409432870e+09,6.9409432870e+09
2020-03-15 10:35:00,1.5304606857e+10,1.5304606857e+10,6.0571526203e+09,6.0571526203e+09
2020-03-15 10:40:00,1.4897005412e+10,1.4897005412e+10,9.2611560530e+09,9.2611560530e+09
2020-03-15 10:45:00,1.6091178119e+10,1.6091178119e+10,3.2549535793e+09,3.2549535793e+09
2020-03-15 10:50:00,1.3501377817e+10,1.3501377817e+10,4.9644370102e+09,4.9644370102e+09
2020-03-15 10:55:00,1.7573018971e+10,1.7573018971e+10,6.2383983390e+09,6.2383983390e+09
2020-03-15 11:00:00,2.0016190617e+10,2.0016190617e+10,3.4376015068e+09,3.4376015068e+09
2020-03-15 11:05:00,1.9644889803e+10,1.9644889803e+10,3.6152644317e+09,3.6152644317e+09
2020-03-15 11:10:00,1.7306565967e+10,1.7306565967e+10,2.1141429363e+09,2.1141429363e+09
2020-03-15 11:15:00,1.6905241208e+10,1.6905241208e+10,6.7944905286e+09,6.7944905286e+09
2020-03-15 11:20:00,1.6941479052e+10,1.6941479052e+10,4.5080956786e+09,4.5080956786e+09
